group,n,med_r_um,med_p_GeV,med_eta,frac_below_5GeV,frac_above_25GeV
worst 5 percent,73,2296.2657623720593,3.048295497894287,2.2798073291778564,0.821917808219178,0.0
the rest,1379,79.2300305918615,7.224016189575195,3.598311424255371,0.32269760696156635,0.09717186366932559
eta 2.0-2.5,158,884.9226765839027,3.71497642993927,2.302207827568054,0.7025316455696202,0.0
eta 2.5-3.0,255,286.48569312483664,4.731943607330322,2.7843408584594727,0.5607843137254902,0.00392156862745098
eta 3.0-3.5,292,133.41163230238658,5.414635896682739,3.2531862258911133,0.4280821917808219,0.030821917808219176
eta 3.5-4.0,302,51.19613068247352,7.842329502105713,3.7602308988571167,0.2682119205298013,0.08609271523178808
eta 4.0-4.5,249,28.388964890796668,12.230441093444824,4.251284599304199,0.1285140562248996,0.18072289156626506
eta 4.5-5.0,196,16.479534892542297,15.448696613311768,4.709067344665527,0.0663265306122449,0.27040816326530615
charge positive,739,84.00372891264557,6.719738483428955,3.5396382808685303,0.35588633288227334,0.08660351826792964
charge negative,713,91.63190803764937,6.9940972328186035,3.5158443450927734,0.3394109396914446,0.09817671809256662
