step,z_mm,lever_mm,local_pos_med_um,local_tx_med_mrad,local_tx_bias_mrad,local_ty_med_mrad,carried_to_end_um
0,2648.2,5096.896875,0.31751577280501786,0.0006075745475897509,-0.00011848406776798076,0.0003464227506036477,3.0967448129397406
1,2729.1031249999996,5015.99375,0.3233889332288842,0.0005237687144381276,-4.842607056108241e-05,0.00035732299892392294,2.6272205980671828
2,2810.00625,4935.090625000001,0.3349035939546864,0.0004657065245765313,4.869212155006464e-06,0.0003782578724791097,2.298303903438972
3,2890.9093749999997,4854.1875,0.3547416771427101,0.00043591519055183325,5.385692875779216e-05,0.0004084633044645902,2.1160140690368268
4,2971.8125,4773.284375,0.38732995319471153,0.0004445833567904428,7.085189240516043e-05,0.0004324630147219122,2.1221227903528708
5,3052.715625,4692.38125,0.41693941211069013,0.00042861588810290396,6.766149242103114e-05,0.0004874620257236395,2.0112291567861647
6,3133.6187499999996,4611.478125,0.4365540572509765,0.0004195458967876098,3.8026825460203695e-05,0.0004999333576751613,1.9347267254695701
7,3214.521875,4530.575000000001,0.4539890032713562,0.0004083868456808415,-4.108670038742435e-06,0.0005133507199675535,1.8502272333704788
8,3295.4249999999997,4449.671875,0.46560196366776474,0.0004339299717708023,-3.645504811011172e-05,0.0005489719192694129,1.9308459911080829
9,3376.328125,4368.76875,0.4624143368625465,0.00038527205285050683,-6.135331570718792e-05,0.0005850912715007692,1.6831645047416428
10,3457.23125,4287.865625,0.4692184759934688,0.00041385544203090263,-7.047315771224749e-05,0.0005953504752902183,1.7745565236034877
11,3538.1343749999996,4206.9625,0.47599592514611405,0.0004211655110497592,-6.82012315372793e-05,0.0005964281214222711,1.7718275112796724
12,3619.0375,4126.059375,0.4880498577955197,0.0004224267587706054,-5.669044115391708e-05,0.0006133835011197519,1.74295788827632
13,3699.940625,4045.15625,0.4799019775017919,0.00044514349442116574,-3.0359641422367245e-05,0.0005945548966247716,1.8006749886046187
14,3780.84375,3964.253125,0.4982096711664421,0.00042632790928087694,1.6574994232600865e-05,0.0006276174545384594,1.6900717466414328
15,3861.746875,3883.3500000000004,0.49314557087376787,0.00044378746814162026,5.185959145448393e-05,0.0006353457595621725,1.7233820644077613
