N,q,split,n_tracks,pos_med_um,pos_p95_um,x_med_um,y_med_um,tx_med_mrad,ty_med_mrad,loss_on_rk6_states,n_states
64,2,train,11567,83.21853007345226,1292.2868209952098,36.56933288448272,58.45261933035317,0.033082210578044835,0.04463559251446231,1.9898658004746913e-08,32000
64,2,val,1463,85.0987744190661,1448.2569477433824,39.14399346922437,61.79116525943584,0.033587564982368034,0.04296639464909137,3.1136112090704144e-08,32000
64,2,test,1452,80.60804977050395,1245.9848375278864,37.528512182007034,55.20403473673241,0.032320184385037365,0.03889776871061944,1.6934627958105376e-08,32000
128,8,train,11567,97.49350513129684,1476.5959569447643,53.481571585393795,65.57604354179603,0.03931524891409577,0.035030719502116,6.155684637763958e-09,32000
128,8,val,1463,101.90615765409206,1859.8263687122408,54.87675359012201,66.34617341367743,0.03824022011261752,0.03365015450624252,6.191222759706833e-09,32000
128,8,test,1452,95.54362855938336,1479.428343204285,51.26792775755007,61.19879090681479,0.03816547492976885,0.035045716670852475,3.4110032475391295e-09,32000
256,16,train,11567,83.98453614148593,1229.205164499498,37.0361011625846,62.91060341999355,0.03495562534344687,0.03388296782359801,1.2450169642807225e-09,32000
256,16,val,1463,87.55076662436068,1303.0647575468704,39.36400524821693,66.35519035765469,0.03581714847315787,0.03326496902233966,8.07886738308077e-10,32000
256,16,test,1452,84.35302863300365,1115.0249149872482,37.63044125247461,61.26577954022849,0.034883127171515815,0.032579010956432404,6.438478714346442e-10,32000
