N,q,dz_mm,split,comparator,pos_med_um,pos_p95_um,slope_med_mrad,n,all_legs_converged,total_restarts,total_train_wall_s,n_parameters_per_leg
1,1,5177.8,val,vs_rk6_endpoint,173574.98429940257,720728.7084450353,69.48889276694476,1463,True,35,264.1,18312
1,1,5177.8,val,vs_real_scifi_state,172581.14645508488,710320.3655109992,68.95787319196067,1463,True,35,264.1,18312
1,1,5177.8,val,straight_line_vs_rk6_endpoint,452941.9385569637,1271615.6766418347,171.65128524149225,1463,True,35,264.1,18312
1,1,5177.8,val,rk6_truth_vs_real_scifi_state,1761.31884536818,12672.446897111296,0.5095407295575005,1463,True,35,264.1,18312
1,1,5177.8,test,vs_rk6_endpoint,171524.1322932768,694265.9185733411,68.12580992578228,1452,True,35,264.1,18312
1,1,5177.8,test,vs_real_scifi_state,170426.95457011467,682365.8057158664,67.67183686846612,1452,True,35,264.1,18312
1,1,5177.8,test,straight_line_vs_rk6_endpoint,450541.20897316607,1251923.9406943007,171.8266523561743,1452,True,35,264.1,18312
1,1,5177.8,test,rk6_truth_vs_real_scifi_state,1693.9571842638497,12200.180162149127,0.4893077381701444,1452,True,35,264.1,18312
1,1,5177.8,test,exact_scheme_vs_rk6_endpoint,170691.68281929282,684297.5553126378,68.20484836082976,1452,,,4.0,
1,2,5177.8,val,vs_rk6_endpoint,4833.093521710424,17763.613241971543,3.9706793822760766,1463,True,61,447.2,18828
1,2,5177.8,val,vs_real_scifi_state,4013.207872395924,22548.763370496374,4.363698402976262,1463,True,61,447.2,18828
1,2,5177.8,val,straight_line_vs_rk6_endpoint,452941.9385569637,1271615.6766418347,171.65128524149225,1463,True,61,447.2,18828
1,2,5177.8,val,rk6_truth_vs_real_scifi_state,1761.31884536818,12672.446897111296,0.5095407295575005,1463,True,61,447.2,18828
1,2,5177.8,test,vs_rk6_endpoint,4767.940404871127,15448.79439631279,4.121726849533464,1452,True,61,447.2,18828
1,2,5177.8,test,vs_real_scifi_state,3854.100781248434,20904.388209714296,4.480714469008134,1452,True,61,447.2,18828
1,2,5177.8,test,straight_line_vs_rk6_endpoint,450541.20897316607,1251923.9406943007,171.8266523561743,1452,True,61,447.2,18828
1,2,5177.8,test,rk6_truth_vs_real_scifi_state,1693.9571842638497,12200.180162149127,0.4893077381701444,1452,True,61,447.2,18828
1,3,5177.8,val,vs_rk6_endpoint,18121.01361694772,86334.52132086027,4.293391455988949,1463,True,50,387.1,19344
1,3,5177.8,val,vs_real_scifi_state,19367.634114855035,99919.738105704,4.689345610647572,1463,True,50,387.1,19344
1,3,5177.8,val,straight_line_vs_rk6_endpoint,452941.9385569637,1271615.6766418347,171.65128524149225,1463,True,50,387.1,19344
1,3,5177.8,val,rk6_truth_vs_real_scifi_state,1761.31884536818,12672.446897111296,0.5095407295575005,1463,True,50,387.1,19344
1,3,5177.8,test,vs_rk6_endpoint,17496.009713703643,76954.716537054,4.055743029985681,1452,True,50,387.1,19344
1,3,5177.8,test,vs_real_scifi_state,18898.62620255303,88981.81234769076,4.502040047208444,1452,True,50,387.1,19344
1,3,5177.8,test,straight_line_vs_rk6_endpoint,450541.20897316607,1251923.9406943007,171.8266523561743,1452,True,50,387.1,19344
1,3,5177.8,test,rk6_truth_vs_real_scifi_state,1693.9571842638497,12200.180162149127,0.4893077381701444,1452,True,50,387.1,19344
1,3,5177.8,test,exact_scheme_vs_rk6_endpoint,17535.46941857016,77576.27783493571,4.041628611677714,1452,,,6.1,
1,4,5177.8,val,vs_rk6_endpoint,4946.233027704579,40076.47979362115,1.5281160309333075,1463,True,86,695.1,19860
1,4,5177.8,val,vs_real_scifi_state,3509.5791703740815,35493.892324380955,1.1064223080287232,1463,True,86,695.1,19860
1,4,5177.8,val,straight_line_vs_rk6_endpoint,452941.9385569637,1271615.6766418347,171.65128524149225,1463,True,86,695.1,19860
1,4,5177.8,val,rk6_truth_vs_real_scifi_state,1761.31884536818,12672.446897111296,0.5095407295575005,1463,True,86,695.1,19860
1,4,5177.8,test,vs_rk6_endpoint,4642.326611306629,34124.45555902608,1.4460751968634127,1452,True,86,695.1,19860
1,4,5177.8,test,vs_real_scifi_state,3381.4236034652936,28838.377179306823,1.0813381438643608,1452,True,86,695.1,19860
1,4,5177.8,test,straight_line_vs_rk6_endpoint,450541.20897316607,1251923.9406943007,171.8266523561743,1452,True,86,695.1,19860
1,4,5177.8,test,rk6_truth_vs_real_scifi_state,1693.9571842638497,12200.180162149127,0.4893077381701444,1452,True,86,695.1,19860
1,5,5177.8,val,vs_rk6_endpoint,471.0333094000134,5490.825730593698,0.2945750803251823,1463,True,61,517.3,20376
1,5,5177.8,val,vs_real_scifi_state,2230.0947747569353,16760.33099856011,0.7438160672570902,1463,True,61,517.3,20376
1,5,5177.8,val,straight_line_vs_rk6_endpoint,452941.9385569637,1271615.6766418347,171.65128524149225,1463,True,61,517.3,20376
1,5,5177.8,val,rk6_truth_vs_real_scifi_state,1761.31884536818,12672.446897111296,0.5095407295575005,1463,True,61,517.3,20376
1,5,5177.8,test,vs_rk6_endpoint,456.41447320812745,4764.182284716607,0.2959086009364613,1452,True,61,517.3,20376
1,5,5177.8,test,vs_real_scifi_state,2136.827363561565,16971.700501347048,0.7231360066684844,1452,True,61,517.3,20376
1,5,5177.8,test,straight_line_vs_rk6_endpoint,450541.20897316607,1251923.9406943007,171.8266523561743,1452,True,61,517.3,20376
1,5,5177.8,test,rk6_truth_vs_real_scifi_state,1693.9571842638497,12200.180162149127,0.4893077381701444,1452,True,61,517.3,20376
1,5,5177.8,test,exact_scheme_vs_rk6_endpoint,371.0695064641243,4013.706853264986,0.2732250008700282,1452,,,7.8,
1,6,5177.8,val,vs_rk6_endpoint,337.976352295982,5785.589647999412,0.11103143337920507,1463,True,79,688.5,20892
1,6,5177.8,val,vs_real_scifi_state,2131.7770842034633,19604.94247526803,0.5680837189931294,1463,True,79,688.5,20892
1,6,5177.8,val,straight_line_vs_rk6_endpoint,452941.9385569637,1271615.6766418347,171.65128524149225,1463,True,79,688.5,20892
1,6,5177.8,val,rk6_truth_vs_real_scifi_state,1761.31884536818,12672.446897111296,0.5095407295575005,1463,True,79,688.5,20892
1,6,5177.8,test,vs_rk6_endpoint,324.0139473637669,4920.318483920422,0.10856270820591186,1452,True,79,688.5,20892
1,6,5177.8,test,vs_real_scifi_state,2008.6864258049015,16794.02926867192,0.548229910446901,1452,True,79,688.5,20892
1,6,5177.8,test,straight_line_vs_rk6_endpoint,450541.20897316607,1251923.9406943007,171.8266523561743,1452,True,79,688.5,20892
1,6,5177.8,test,rk6_truth_vs_real_scifi_state,1693.9571842638497,12200.180162149127,0.4893077381701444,1452,True,79,688.5,20892
1,7,5177.8,val,vs_rk6_endpoint,330.2592790091694,6438.500035582034,0.1338523655152954,1463,True,37,324.5,21408
1,7,5177.8,val,vs_real_scifi_state,1871.5493856623198,14470.766490488806,0.5448380188043944,1463,True,37,324.5,21408
1,7,5177.8,val,straight_line_vs_rk6_endpoint,452941.9385569637,1271615.6766418347,171.65128524149225,1463,True,37,324.5,21408
1,7,5177.8,val,rk6_truth_vs_real_scifi_state,1761.31884536818,12672.446897111296,0.5095407295575005,1463,True,37,324.5,21408
1,7,5177.8,test,vs_rk6_endpoint,326.1960330927707,4568.529071235561,0.12746379728206803,1452,True,37,324.5,21408
1,7,5177.8,test,vs_real_scifi_state,1880.5899794642755,14647.920328573542,0.5556592110334337,1452,True,37,324.5,21408
1,7,5177.8,test,straight_line_vs_rk6_endpoint,450541.20897316607,1251923.9406943007,171.8266523561743,1452,True,37,324.5,21408
1,7,5177.8,test,rk6_truth_vs_real_scifi_state,1693.9571842638497,12200.180162149127,0.4893077381701444,1452,True,37,324.5,21408
1,8,5177.8,val,vs_rk6_endpoint,229.98879728660881,3039.0954237235687,0.11295742574227857,1463,True,55,514.4,21924
1,8,5177.8,val,vs_real_scifi_state,1822.4547256968435,14852.513854348856,0.5438582380226931,1463,True,55,514.4,21924
1,8,5177.8,val,straight_line_vs_rk6_endpoint,452941.9385569637,1271615.6766418347,171.65128524149225,1463,True,55,514.4,21924
1,8,5177.8,val,rk6_truth_vs_real_scifi_state,1761.31884536818,12672.446897111296,0.5095407295575005,1463,True,55,514.4,21924
1,8,5177.8,test,vs_rk6_endpoint,225.63428206032654,2988.328883129086,0.10970167091164246,1452,True,55,514.4,21924
1,8,5177.8,test,vs_real_scifi_state,1867.4564537547553,14363.555449481102,0.5460850046349105,1452,True,55,514.4,21924
1,8,5177.8,test,straight_line_vs_rk6_endpoint,450541.20897316607,1251923.9406943007,171.8266523561743,1452,True,55,514.4,21924
1,8,5177.8,test,rk6_truth_vs_real_scifi_state,1693.9571842638497,12200.180162149127,0.4893077381701444,1452,True,55,514.4,21924
1,9,5177.8,val,vs_rk6_endpoint,225.5541188590655,2838.8397410676967,0.11027173460691903,1463,True,72,707.1,22440
1,9,5177.8,val,vs_real_scifi_state,1790.8922645724488,14269.114815590805,0.5461219726128619,1463,True,72,707.1,22440
1,9,5177.8,val,straight_line_vs_rk6_endpoint,452941.9385569637,1271615.6766418347,171.65128524149225,1463,True,72,707.1,22440
1,9,5177.8,val,rk6_truth_vs_real_scifi_state,1761.31884536818,12672.446897111296,0.5095407295575005,1463,True,72,707.1,22440
