N,q,leg,outer,phase,loss,train_endpoint_med_um,val_endpoint_med_um,test_endpoint_med_um,val_endpoint_p95_um,test_endpoint_p95_um,val_slope_med_mrad,wall_s
1,16,0,40,stall,4.754766772535038e-06,283.3066320212225,289.0192290022924,290.46424272320337,2289.9563561452046,2232.3669271630843,0.1240328939673685,14.1
1,16,0,41,stall,4.669280613700767e-06,276.85092896547303,280.04084814088515,279.6953590058422,2198.8577634137,2245.2830156957248,0.12032019537061567,14.0
1,16,0,42,stall,4.588366473503657e-06,270.3756167665574,277.8467483157101,275.137827545322,2196.521107582746,2209.2105696730323,0.12108807599608626,13.9
1,16,0,43,stall,4.510143162238117e-06,266.67448392417725,270.9706936554097,271.44469675876337,2164.0358423813686,2222.196882933304,0.11952375813339966,14.2
1,16,0,44,stall,4.435234639248279e-06,269.03844835689483,276.1689013150601,269.99275612310214,2220.3513318841174,2145.9051302790667,0.11733736397520622,14.4
1,16,0,45,stall,4.366473083024938e-06,261.1279635114272,264.17991258526996,261.69670330855865,2180.956850897291,2137.3569891098123,0.11684879341311571,14.5
1,16,0,46,stall,4.296104707426328e-06,252.3891093953523,261.7193695207334,256.4983512561696,2139.62646633636,2127.1720895318626,0.11823363647101015,14.3
1,16,0,47,stall,4.2294679515969425e-06,256.84640674057846,258.20757661426796,259.78522697538153,2123.9665376897506,2152.8901152989024,0.11717297296015561,14.6
1,16,0,48,stall,4.167212124208621e-06,244.5927467564033,258.17773449978176,257.95067769638536,2187.8864311106086,2087.107404519573,0.11327916585817527,14.6
1,16,0,49,stall,4.108312449517182e-06,245.98937415514044,250.84304859359463,248.06154386112667,2201.613487695592,2095.6064247504573,0.11104227705560632,14.3
1,16,0,50,stall,4.046611222389609e-06,237.193117095714,245.23140556107137,249.52960337373042,2173.744250981673,2011.3381698089372,0.11113696119038202,14.4
1,16,0,51,stall,3.991760604947521e-06,236.58804519355846,243.47336463597458,250.85308922646732,2188.841783873408,1933.0144228499664,0.11531835082141673,14.1
1,16,0,52,stall,3.929242829449778e-06,242.28089057136515,245.50343415029374,251.9821011651402,2145.26923899595,1919.814067017928,0.11495260650806055,14.3
1,16,0,53,stall,3.878519542404855e-06,240.7231089766526,249.57199152204623,255.0105046447868,2179.740255429516,1924.339109035944,0.11606200373598038,14.0
1,16,0,54,stall,3.8254018973561115e-06,243.4378302233995,249.17361500286006,253.22513621514986,2187.892665782092,1954.4585564773001,0.1164343157902504,14.9
1,16,0,55,stall,3.777991263842141e-06,242.1982029284777,249.3498113891377,252.54979898953422,2125.692373766297,1969.0096634056094,0.11686038438823987,15.6
