N,q01,q02,q03,q04,q05,q06,q07,q08,q09,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,q20
1,-1451.4,-338.6,+364.17,-181.55,+55.721,-10.822,+68.075,+269.25,+253.84,+72.734,+223.38,+276.97,+100.17,+85.621,+20.925,+151.74,+244.79,+251.79,+252.92,+326.22
4,+0.97898,-195.65,-164.41,-244.03,-80.485,+16.484,+42.822,-82.756,+58.718,-152.25,-14.876,-41.018,+6.8265,-71.558,+128.51,+54.752,+167.39,-241.05,-96.668,-38.855
16,+6.5769,+151.82,+61.844,+108.69,+64.043,+299.21,+502.55,+139.42,+14.103,-35.403,+94.323,+79.923,+197.9,+103.03,+187.79,+32.307,-66.036,-79.486,-212.57,-166.52
64,-21.443,-161.73,+263.88,-146.9,+197.64,+27.129,+224.28,-68.653,-243.56,-115.95,-511.7,-391.43,+372.04,-348.12,-553.02,-145.33,+87.552,-77.601,+125.33,+125.45
128,+80.986,-476.63,-51.518,-405.97,-396.94,-266.3,+226.08,-541.44,-928.21,+48.028,,,,,,,,,,
