N,q01,q02,q03,q04,q05,q06,q07,q08,q09,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,q20
1,-0.53475,-0.042734,+0.14255,-0.03574,+0.063561,+0.042692,-0.022147,+0.14947,+0.11514,+0.09738,+0.089945,+0.21606,+0.095585,+0.13032,+0.068241,+0.052098,+0.10997,+0.10558,+0.13771,+0.1248
4,-0.004813,-0.030498,+0.024171,+0.00086023,+0.003966,-0.0050577,+0.028006,-0.0091483,+0.058744,+0.041603,+0.0099673,+0.028906,+0.04308,+0.012689,+0.037774,+0.032514,+0.04854,-0.022361,+0.015556,-0.0031786
16,+0.025587,+0.11391,+0.059383,+0.076054,+0.055473,+0.065727,+0.029882,+0.050091,+0.01609,-0.0088787,-0.00035678,+0.014893,-0.0051495,-0.022934,+0.0075141,+0.017262,-0.014152,+0.027477,+0.014264,+0.02647
64,+0.010304,-0.064166,+0.005781,+0.0046513,+0.049552,-0.029479,-0.081963,-0.04668,-0.05213,+0.025805,-0.14359,-0.056681,+0.021882,-0.26754,-0.11751,-0.13234,-0.1349,-0.018769,-0.02793,-0.074385
128,-0.027593,-0.099254,-0.01196,-0.13636,-0.1143,-0.13972,-0.15841,-0.063098,-0.2251,+0.0050132,,,,,,,,,,
