N,q01,q02,q03,q04,q05,q06,q07,q08,q09,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,q20
1,-65.17,+4.3253,+3.5912,-1.176,+0.21814,+0.043963,-0.087791,+0.011542,+0.039181,+0.089078,-0.025069,+0.00045721,+0.0074617,+0.074588,+0.042519,+0.049755,-0.0020758,-0.047343,+0.036871,+0.011283
4,-1.6386,-0.005881,-0.094634,+0.013983,-0.088008,-0.078542,-0.059454,-0.14383,-0.16727,-0.16695,-0.11759,-0.093058,-0.13397,-0.074784,-0.18897,-0.14881,-0.11817,-0.1171,-0.19991,-0.18428
16,-0.51439,-0.38474,-0.43618,-0.49613,-0.43937,-0.38352,-0.2354,-0.23721,-0.31921,-0.21797,-0.33195,-0.40996,-0.29154,-0.30812,-0.22515,-0.1516,-0.010441,-0.25114,-0.1982,-0.2196
64,+0.84487,+0.84442,+1.117,+0.819,+0.86072,+0.82368,+0.67504,+1.0203,+0.94443,+0.96629,+1.1739,+1.1036,+0.93364,+0.82009,+1.1117,+1.408,+1.2265,+1.2909,+1.1892,+1.2486
128,+0.83689,+0.8845,+1.0111,+0.80007,+0.85229,+0.66235,+0.56066,+1.1418,+1.0437,+0.93332,,,,,,,,,,
