restart,round,in_round,phase,loss_before,loss_after,gain,factor,factor_renewed,n_iter,func_evals,early_stop,wall_s
0,1,0,train,1.584495073473624e-06,1.174355771609578e-09,0.9992588454257323,631115.8783269302,1,200,206,0,116.13
1,1,1,train,1.174355771609578e-09,5.213423838176554e-10,0.5560609515265541,851530706.601284,1,200,208,0,115.69
2,1,2,train,5.213423838176554e-10,3.048949929666064e-10,0.4151732097169249,851530706.601284,0,200,213,0,120.61
3,1,3,train,3.048949929666064e-10,2.2196936262235954e-10,0.27198095166269026,851530706.601284,0,200,209,0,118.88
4,1,4,train,2.2196936262235954e-10,1.842371926370667e-10,0.16998818908845206,851530706.601284,0,200,205,0,113.16
5,1,5,train,1.842371926370667e-10,1.5845679224312288e-10,0.13993048865398885,851530706.601284,0,200,212,0,119.9
6,1,6,train,1.5845679224312288e-10,1.3655759257328975e-10,0.1382029723044805,851530706.601284,0,200,211,0,117.56
7,1,7,train,1.3655759257328975e-10,1.1786924929267183e-10,0.13685319818880068,851530706.601284,0,200,215,0,119.32
8,1,8,train,1.1786924929267183e-10,1.0342798217313784e-10,0.12251937809221146,851530706.601284,0,200,209,0,118.24
9,1,9,train,1.0342798217313784e-10,9.486452391925422e-11,0.08279633880460362,9668563371.235512,1,200,212,0,118.81
10,1,10,train,9.486452391925422e-11,8.475254615360346e-11,0.10659388091440553,9668563371.235512,0,200,211,0,118.28
11,1,11,train,8.475254615360346e-11,7.471114996303348e-11,0.11847899144376382,9668563371.235512,0,200,211,0,120.02
12,1,12,train,7.471114996303348e-11,6.762784663634091e-11,0.09480918618167884,9668563371.235512,0,200,213,0,120.95
13,1,13,train,6.762784663634091e-11,6.127251148637693e-11,0.09397512217325034,9668563371.235512,0,200,209,0,118.16
14,1,14,train,6.127251148637693e-11,5.648074929672206e-11,0.0782041093699946,9668563371.235512,0,200,215,0,120.19
15,1,15,train,5.648074929672206e-11,5.2274022422030844e-11,0.07448072001649882,9668563371.235512,0,200,216,0,123.33
16,1,16,train,5.2274022422030844e-11,4.880002588117157e-11,0.06645741765981192,9668563371.235512,0,200,213,0,121.75
17,1,17,train,4.880002588117157e-11,4.5873511089151584e-11,0.05996953360529088,9668563371.235512,0,200,213,0,118.03
18,1,18,train,4.5873511089151584e-11,4.3302063263720796e-11,0.05605517790939046,9668563371.235512,0,200,222,0,122.73
19,1,19,train,4.3302063263720796e-11,4.1140836886108724e-11,0.04991047111195701,9668563371.235512,0,200,213,0,120.35
20,1,20,train,4.1140836886108724e-11,3.920950491086517e-11,0.046944401753180535,9668563371.235512,0,200,213,0,118.58
21,1,21,train,3.920950491086517e-11,3.7476919429350076e-11,0.044187894885532784,9668563371.235512,0,200,210,0,119.5
22,1,22,train,3.7476919429350076e-11,3.5658683978940905e-11,0.04851613948251089,9668563371.235512,0,200,215,0,121.14
23,1,23,train,3.5658683978940905e-11,3.398783225905803e-11,0.04685679709519381,9668563371.235512,0,200,217,0,121.93
24,1,24,train,3.398783225905803e-11,3.246597224735568e-11,0.04477661299792845,9668563371.235512,0,200,213,0,118.27
25,2,0,train,7.599067827477498e-11,4.64019168388719e-11,0.3893735667013389,13159508806.91045,1,200,215,0,118.63
26,2,1,train,4.64019168388719e-11,4.0231378790871016e-11,0.13298024022213867,13159508806.91045,0,200,213,0,119.15
27,2,2,train,4.0231378790871016e-11,3.694192236752967e-11,0.081763452364893,13159508806.91045,0,200,215,0,121.09
28,2,3,train,3.694192236752967e-11,3.4702847203983504e-11,0.06061068347418249,13159508806.91045,0,200,220,0,125.02
29,2,4,train,3.4702847203983504e-11,3.275264814373518e-11,0.05619709094141593,13159508806.91045,0,200,213,0,121.25
