network,mode,seed,width,depth,converged,particle,n_legs,step,cum_dz_mm,p_GeV,end_err_um,slope_err_mrad
w100_data_s0,data,0,100,4,True,37,4,0,69.79500000000007,6.150146484375,1014.0001476588623,0.6195509167882252
w100_data_s0,data,0,100,4,True,37,4,1,139.88400000000001,6.150146484375,1931.5027549080241,1.3407726821952348
w100_data_s0,data,0,100,4,True,37,4,2,824.9570000000003,6.150146484375,278.93672776622225,3.8668712009637396
w100_data_s0,data,0,100,4,True,37,4,3,894.7540000000008,6.150146484375,376.3006103894213,5.16072407880086
w100_data_s0,data,0,100,4,True,70,4,0,69.82700000000023,2.9479775428771973,292.33688908493605,0.8015845903085461
w100_data_s0,data,0,100,4,True,70,4,1,542.2049999999999,2.9479775428771973,1305.9010438430505,2.6496791900654237
w100_data_s0,data,0,100,4,True,70,4,2,1227.4650000000001,2.9479775428771973,4368.913120475554,5.267644043936537
w100_data_s0,data,0,100,4,True,70,4,3,1297.2920000000013,2.9479775428771973,5583.527999104945,5.310871972363684
w100_data_s0,data,0,100,4,True,81,4,0,472.20400000000063,9.942654609680176,92.8558295012536,0.013531374354176784
w100_data_s0,data,0,100,4,True,81,4,1,542.0039999999999,9.942654609680176,12.233894351183494,0.04780595062916365
w100_data_s0,data,0,100,4,True,81,4,2,612.206000000001,9.942654609680176,115.72599692746621,0.10032447908526337
w100_data_s0,data,0,100,4,True,81,4,3,682.0060000000003,9.942654609680176,218.99252200960717,0.14429293913204716
w100_data_s0,data,0,100,4,True,163,4,0,473.09799999999996,1.7458233833312988,12682.967765689227,6.092685274713183
w100_data_s0,data,0,100,4,True,163,4,1,543.0310000000009,1.7458233833312988,5949.103215316427,5.150237446428396
w100_data_s0,data,0,100,4,True,163,4,2,683.2970000000005,1.7458233833312988,3074.944138979731,4.944383211040348
w100_data_s0,data,0,100,4,True,163,4,3,1159.3880000000008,1.7458233833312988,20113.9143352724,8.73402657831701
w100_data_s0,data,0,100,4,True,188,4,0,69.78600000000006,2.9586055278778076,1513.1794577789606,0.5155069147043667
w100_data_s0,data,0,100,4,True,188,4,1,681.8640000000005,2.9586055278778076,1554.0347215455768,3.039655729037194
w100_data_s0,data,0,100,4,True,188,4,2,751.6510000000007,2.9586055278778076,2616.4124542572154,3.732230836974604
w100_data_s0,data,0,100,4,True,188,4,3,1226.2490000000007,2.9586055278778076,1857.1786471509313,5.689267668442799
w100_data_s0,data,0,100,4,True,224,4,0,475.246000000001,8.64513874053955,464.4127611734632,0.03744783425452258
w100_data_s0,data,0,100,4,True,224,4,1,545.0540000000001,8.64513874053955,361.475835555666,0.024957106202497248
w100_data_s0,data,0,100,4,True,224,4,2,615.2620000000006,8.64513874053955,269.10908197891104,0.008471472916011386
w100_data_s0,data,0,100,4,True,224,4,3,684.8880000000008,8.64513874053955,323.66404123035863,0.02481701082820975
w100_data_s0,data,0,100,4,True,287,4,0,69.83899999999994,1.9725977182388306,524.603937390907,0.795167946832126
w100_data_s0,data,0,100,4,True,287,4,1,140.07699999999932,1.9725977182388306,1272.4217142097132,1.5392262190363215
w100_data_s0,data,0,100,4,True,287,4,2,685.369999999999,1.9725977182388306,9057.49961635729,2.116127379992033
w100_data_s0,data,0,100,4,True,287,4,3,755.2080000000005,1.9725977182388306,11665.08824692255,1.6580690108939644
w100_data_s0,data,0,100,4,True,290,4,0,55.0,4.232845783233643,606.489580023208,0.11716278759461851
w100_data_s0,data,0,100,4,True,290,4,1,5223.359,4.232845783233643,1640.907479219777,1.6760853037436907
w100_data_s0,data,0,100,4,True,290,4,2,6590.207,4.232845783233643,10634.784221184076,7.797950323064969
