network,mode,seed,width,depth,converged,split,step,n,end_med_um,end_p95_um,slope_med_mrad,cum_dz_med_mm
w100_data_s1,data,1,100,4,True,test,2,4563,1207.776842069734,25867.522844734303,0.5019217925644124,752.393
w100_data_s1,data,1,100,4,True,test,3,4563,2015.0570389235227,40763.18361224763,0.8837243280977458,1994.9869999999999
w100_data_s1,data,1,100,4,True,test,4,2914,3989.4045999789396,71138.31018739274,1.4959291279718934,6269.4015
w100_data_s1,data,1,100,4,True,test,5,1481,8458.826033412379,118861.36529885425,2.3638728899130768,7783.540000000001
w100_data_s1,data,1,100,4,True,test,6,853,9947.54960762134,94885.96909864763,2.4657894690120754,8330.801
w100_data_s2,data,2,100,4,True,val,0,4551,154.1705367898487,2393.353412339877,0.1320609171588244,55.0
w100_data_s2,data,2,100,4,True,val,1,4551,487.924123144461,7440.366934678963,0.3619632426871411,373.71799999999996
w100_data_s2,data,2,100,4,True,val,2,4551,900.3750034906161,15509.2684944685,0.5704094559063968,821.8929999999991
w100_data_s2,data,2,100,4,True,val,3,4551,1489.3871803841207,24501.718236517747,0.8221002224764253,2099.987
w100_data_s2,data,2,100,4,True,val,4,2932,2856.991297830985,53508.912471740325,1.2363957643946668,6281.1775
w100_data_s2,data,2,100,4,True,val,5,1524,4486.341941093713,113593.74291232594,1.8979977970713657,7759.312
w100_data_s2,data,2,100,4,True,val,6,856,5290.056134634,111201.50349557566,2.1222715532563177,8181.928
w100_data_s2,data,2,100,4,True,test,0,4563,151.6301434230991,2641.1517734840977,0.13546354250096315,69.21399999999994
w100_data_s2,data,2,100,4,True,test,1,4563,472.4246641014247,7511.771896517799,0.37102435868460737,335.087
w100_data_s2,data,2,100,4,True,test,2,4563,855.2019698384115,15409.028594726531,0.5498785491636002,752.393
w100_data_s2,data,2,100,4,True,test,3,4563,1403.3330775746435,23738.18570353109,0.7937844904797459,1994.9869999999999
w100_data_s2,data,2,100,4,True,test,4,2914,2866.197895686383,57516.09844183643,1.1679144946959699,6269.4015
w100_data_s2,data,2,100,4,True,test,5,1481,4540.518271799612,186376.17672029274,1.887232596904112,7783.540000000001
