leg,q,band,n,n_available,converged_frac,ceiling_med_um,ceiling_p95_um,wall_s
D,8,1-5GeV,100,938,0.99,13086.637584267237,138965.81639560265,2.0
D,8,5-20GeV,100,1381,1.0,670.4745503710683,3373.874168439159,1.7
D,8,20-200GeV,100,407,1.0,161.7884978605275,718.3639424537545,1.6
D,8,all,100,2726,0.99,751.7584060826152,37320.52854770568,1.8
D,16,1-5GeV,100,938,0.99,1986.448191939644,80594.62497114125,3.3
D,16,5-20GeV,100,1381,1.0,73.30642095701023,724.568761465798,3.1
D,16,20-200GeV,100,407,1.0,19.091299380107785,86.33703828873536,3.0
D,16,all,100,2726,1.0,216.32614640338943,12641.899695815962,3.1
