network,mode,seed,width,depth,converged,variant,n,med_um,p95_um,slope_med_mrad,first_step_med_um,straight_med_um,label_vs_rk4_med_um
w50_physics_s3,physics,3,50,4,True,composite_two_steps,2726,76586.28082744872,920214.7671301352,29.419229321245854,17393.992812852164,948414.482682055,0.0451482050038976
w50_physics_s3,physics,3,50,4,True,single_giant_step,2726,28511.90024582911,318082.4428598905,,,948414.482682055,0.0451482050038976
w50_physics_s4,physics,4,50,4,True,composite_two_steps,2726,44193.88269842847,710836.841257174,23.881652390879943,10667.761734535332,948414.482682055,0.0451482050038976
w50_physics_s4,physics,4,50,4,True,single_giant_step,2726,15871.684774819612,184490.97463572526,,,948414.482682055,0.0451482050038976
w50_physics_s5,physics,5,50,4,True,composite_two_steps,2726,50998.770348534745,617858.2619525308,7.820852461429295,13524.540792220705,948414.482682055,0.0451482050038976
w50_physics_s5,physics,5,50,4,True,single_giant_step,2726,18874.550073482424,247731.75531797347,,,948414.482682055,0.0451482050038976
w50_physics_s6,physics,6,50,4,True,composite_two_steps,2726,44976.808366898,617756.0460300138,14.146284992141434,9878.475429735048,948414.482682055,0.0451482050038976
w50_physics_s6,physics,6,50,4,True,single_giant_step,2726,19945.33400844253,227745.0508591845,,,948414.482682055,0.0451482050038976
w50_physics_s7,physics,7,50,4,True,composite_two_steps,2726,36710.553405157385,614663.6961083456,13.1445262123511,10030.913902394743,948414.482682055,0.0451482050038976
w50_physics_s7,physics,7,50,4,True,single_giant_step,2726,17964.40340708739,209506.37537163455,,,948414.482682055,0.0451482050038976
w50_physics_s8,physics,8,50,4,True,composite_two_steps,2726,49729.34744009646,734703.4307663346,14.640799121743932,13013.85932010072,948414.482682055,0.0451482050038976
w50_physics_s8,physics,8,50,4,True,single_giant_step,2726,14959.848495382346,206476.60362800118,,,948414.482682055,0.0451482050038976
w50_physics_s9,physics,9,50,4,True,composite_two_steps,2726,53892.23263405173,577737.0978593557,7.412916107002065,8435.086175900808,948414.482682055,0.0451482050038976
w50_physics_s9,physics,9,50,4,True,single_giant_step,2726,13734.122165180679,192221.16964576754,,,948414.482682055,0.0451482050038976
