phase,restart,loss,rel_gain,loss_over_start,wall_s,train_own_um,test_own_um,test_straight_um
as_trained,0,1.5788069695107963e-09,0.0,1.0,0.04,,,
as_trained,1,1.5788069695107963e-09,0.0,1.0,0.04,2.0675295306205044,2.1119370875339882,8.259249513562494
rescaled,0,5.582438346314226e-10,0.6464141307886434,0.3535858692113566,10.35,,,
rescaled,1,2.4007763445587814e-10,0.5699412701720422,0.1520626897981504,11.43,,,
rescaled,2,1.4418258196549749e-10,0.3994335111961643,0.09132375569014203,11.36,,,
rescaled,3,9.066385371432213e-11,0.37118719557943725,0.05742554692573654,11.06,,,
rescaled,4,6.257112112394075e-11,0.3098559286802473,0.03963190075309132,11.09,1.0794506079907507,1.0951539160686252,8.259249513562494
rescaled,5,4.568924714942829e-11,0.2698029645508969,0.02893909643912036,11.36,,,
rescaled,6,3.616094198668977e-11,0.2085458999045413,0.022903966529799695,11.11,,,
rescaled,7,2.9200627363103764e-11,0.19248156273550557,0.018495375259302137,10.93,,,
rescaled,8,2.4566782569163857e-11,0.15868990540233965,0.015560345909022708,11.14,,,
rescaled,9,2.087210282201425e-11,0.1503933100212788,0.013220173982688719,11.12,0.5919563302647646,0.6081665553896443,8.259249513562494
rescaled,10,1.7215147928805382e-11,0.17520778449557076,0.010903896588535841,11.18,,,
rescaled,11,1.4645689319984753e-11,0.14925567990741817,0.009276428089573747,10.93,,,
rescaled,12,1.2613422152657593e-11,0.13876213832789924,0.007989211091819505,11.23,,,
rescaled,13,1.08845588418936e-11,0.1370653649612234,0.006894166957767011,11.18,,,
rescaled,14,9.567936092751974e-12,0.12096243570975741,0.0060602317303657845,11.09,0.38779622164497596,0.3953566120298291,8.259249513562494
rescaled,15,8.585266710542573e-12,0.10270442576992181,0.005437819110465907,10.97,,,
rescaled,16,7.755221335529327e-12,0.09668253800362,0.004912076957661476,11.14,,,
rescaled,17,7.0477285602368495e-12,0.09122792821543473,0.004463958353579244,11.04,,,
rescaled,18,6.503196569155358e-12,0.07726347381676,0.004119057424208367,11.33,,,
rescaled,19,5.944646823099667e-12,0.0858884919310129,0.0037652777938658676,11.39,0.2885416717948175,0.2862784985069311,8.259249513562494
rescaled,20,5.553192271417337e-12,0.06584992571151897,0.0035173345308565683,11.54,,,
rescaled,21,5.200989228126246e-12,0.06342352759941408,0.0032942527671624144,11.63,,,
rescaled,22,4.86196943741442e-12,0.06518371329793445,0.0030795211392567723,11.19,,,
rescaled,23,4.568526521391052e-12,0.060354743031749584,0.0028936574322360894,11.29,,,
rescaled,24,4.3136117457126026e-12,0.05579802907674306,0.002732197050694046,11.22,0.2546337543449795,0.24668771572944337,8.259249513562494
rescaled,25,4.060765583888436e-12,0.058615883099696175,0.0025720469077652294,11.5,,,
rescaled,26,3.806644528629451e-12,0.06257959244612414,0.0024110892605249674,11.41,,,
rescaled,27,3.5861756805275964e-12,0.05791684683025346,0.002271446573129074,11.65,,,
rescaled,28,3.3989015463343427e-12,0.05222112659179652,0.002152829074087198,11.25,,,
rescaled,29,3.2299634527119998e-12,0.0497037326087129,0.002045825433436505,11.16,0.16332048491563,0.15700993274236907,8.259249513562494
rescaled,30,3.0670460061253876e-12,0.050439408671890854,0.001942635208328053,11.0,,,
rescaled,31,2.9156774594540945e-12,0.04935320382184864,0.0018467599369399392,11.12,,,
rescaled,32,2.7856009417828136e-12,0.04461279393216399,0.0017643708164310613,11.02,,,
rescaled,33,2.6727517576561342e-12,0.0405116118515004,0.0016928933107536914,11.14,,,
rescaled,34,2.566544648567773e-12,0.039736989708875674,0.0016256228266860475,10.95,0.12864967571601937,0.12996266926279532,8.259249513562494
rescaled,35,2.47078157628122e-12,0.0373120617013198,0.0015649674874736639,11.31,,,
rescaled,36,2.3818688797805457e-12,0.035985656261245544,0.0015086511054094114,11.17,,,
rescaled,37,2.297293075439533e-12,0.03550816968094617,0.0014550816659691871,11.24,,,
rescaled,38,2.2110675161467117e-12,0.03753354772826449,0.00140046728881101,11.35,,,
rescaled,39,2.1373601920264706e-12,0.03333562796340695,0.001353781832296285,10.91,0.1170881250942557,0.11647738902809124,8.259249513562494
