phase,restart,loss,rel_gain,loss_over_start,wall_s,train_own_um,test_own_um,test_straight_um
as_trained,0,8.910106971383238e-07,0.00013757456348372478,0.9998624254365163,10.02,,,
as_trained,1,8.90896529359013e-07,0.0001281328941139304,0.9997343101702293,9.99,55.974629240054696,54.764451871349706,37944.337327163375
rescaled,0,8.624175261390788e-07,0.03196667882455938,0.9677761245671251,9.99,,,
rescaled,1,8.367729595865555e-07,0.029735674166236386,0.9389986490611342,10.28,,,
rescaled,2,8.136747975641118e-07,0.02760385808099778,0.913078663614202,10.2,,,
rescaled,3,7.909378811511932e-07,0.02794349349517255,0.8875640559169177,9.74,,,
rescaled,4,7.672874858252718e-07,0.02990171022217159,0.8610243727132747,9.76,40.25646023464624,40.63893784218919,37944.337327163375
rescaled,5,7.430977802504683e-07,0.03152626104514888,0.8338794935728804,9.79,,,
rescaled,6,7.198464353515806e-07,0.031289751519713374,0.8077876114216006,10.05,,,
rescaled,7,6.942482569928213e-07,0.03556061001574159,0.7790621911962896,9.77,,,
rescaled,8,6.71017331376992e-07,0.03346198623019298,0.7529932228820154,10.01,,,
rescaled,9,6.487026448523612e-07,0.033255007704255476,0.7279524274538218,9.86,47.57580662600702,48.35145734710977,37944.337327163375
rescaled,10,6.284465369785718e-07,0.031225566959726996,0.7052217001868667,9.92,,,
rescaled,11,6.099631485417027e-07,0.029411234447615914,0.6844802594251245,9.96,,,
rescaled,12,5.915523563628676e-07,0.030183449972103312,0.6638202837578739,9.66,,,
rescaled,13,5.731729369355432e-07,0.031069810186082975,0.6431955135438451,9.84,,,
rescaled,14,5.542542842062388e-07,0.033006884153415524,0.6219656337403068,9.8,36.77310863326966,37.01155507528142,37944.337327163375
rescaled,15,5.35526154516059e-07,0.0337897788503355,0.600949552523713,9.69,,,
rescaled,16,5.182258714458481e-07,0.03230520661655581,0.5815357530633077,9.73,,,
rescaled,17,5.004143940379429e-07,0.0343701045997786,0.5615483084020108,9.94,,,
rescaled,18,4.839731225773171e-07,0.032855312829748795,0.5430984630604465,9.7,,,
rescaled,19,4.6564157011363165e-07,0.037877211788257655,0.5225274075532287,9.68,36.955902172849164,35.66487538839169,37944.337327163375
rescaled,20,4.487427399803735e-07,0.03629149804888396,0.5035641051615224,9.86,,,
rescaled,21,4.3364133689806265e-07,0.03365269615943283,0.48661781533372495,9.7,,,
rescaled,22,4.18331221914315e-07,0.03530593991168938,0.4694373159855949,9.71,,,
rescaled,23,4.028019671816618e-07,0.0371219118228617,0.45201090533521676,9.92,,,
rescaled,24,3.873499097794299e-07,0.0383614248717487,0.43467112294898874,9.73,41.92781099425247,43.30492350024073,37944.337327163375
rescaled,25,3.727926630327736e-07,0.03758164486199496,0.4183354671745553,9.72,,,
rescaled,26,3.581808089605522e-07,0.03919565893102564,0.40193853288443016,9.89,,,
rescaled,27,3.433515810114466e-07,0.041401514481304295,0.38529766889462125,9.81,,,
rescaled,28,3.304802838309365e-07,0.037487222696321314,0.3708539293763951,9.8,,,
rescaled,29,3.162545463017773e-07,0.04304564666991344,0.35489028216630975,9.74,42.67533172883731,43.95921780340828,37944.337327163375
rescaled,30,3.0275966089761413e-07,0.042670960977383245,0.33974677278473864,10.03,,,
rescaled,31,2.901305273419984e-07,0.04171339576142073,0.32557478119290334,9.81,,,
rescaled,32,2.776997029824997e-07,0.04284562701271892,0.31162532555316463,10.0,,,
rescaled,33,2.6607475835331507e-07,0.041861566664755205,0.29858020121309475,9.88,,,
rescaled,34,2.556438296155247e-07,0.03920299994762884,0.2868749616005748,10.03,35.71388021834565,34.55433257094853,37944.337327163375
rescaled,35,2.4530602044653066e-07,0.040438328531306966,0.2752742176559647,10.08,,,
rescaled,36,2.3594980553623152e-07,0.038140991783520095,0.2647749859821336,9.64,,,
rescaled,37,2.265642850213611e-07,0.03977761496153982,0.2542428685382892,9.96,,,
rescaled,38,2.1774846820623307e-07,0.03891088489210404,0.24435005354595749,9.91,,,
rescaled,39,2.1008469154945543e-07,0.03519554796371358,0.23575001951644478,9.57,34.239910432205534,32.72156623057754,37944.337327163375
