phase,restart,loss,rel_gain,loss_over_start,wall_s,train_own_um,test_own_um,test_straight_um
as_trained,0,5.319928037462479e-09,0.0,1.0,0.04,,,
as_trained,1,5.319928037462479e-09,0.0,1.0,0.04,9.098901711880103,8.618879572225069,13.918359509432321
rescaled,0,1.1280623788844427e-09,0.787955331173519,0.21204466882648107,9.89,,,
rescaled,1,5.95109207455526e-10,0.47245008911294595,0.11186414614348499,11.82,,,
rescaled,2,3.624326491449541e-10,0.39098127771441077,0.06812735935387365,12.04,,,
rescaled,3,2.4733406118706576e-10,0.31757234959219943,0.046491993772351886,10.64,,,
rescaled,4,1.7578331356468522e-10,0.28928788569991853,0.03304242319197443,10.74,2.5707926429419103,2.5432764879838032,13.918359509432321
rescaled,5,1.383877706131268e-10,0.21273659139322967,0.026013090710741187,11.0,,,
rescaled,6,1.1431721712721574e-10,0.17393555354831225,0.02148848937846596,11.19,,,
rescaled,7,9.845516195754078e-11,0.1387547350109404,0.01850685972897151,11.0,,,
rescaled,8,8.658850545177788e-11,0.12052853572959892,0.01627625502488549,10.69,,,
rescaled,9,7.648065699300571e-11,0.11673429869281372,0.014376257809210098,10.91,2.2015882383357166,2.205643162648485,13.918359509432321
rescaled,10,6.848044312120177e-11,0.10460440830856847,0.012872437867386238,10.81,,,
rescaled,11,6.252958749261572e-11,0.0868986145147131,0.011753840851283646,11.14,,,
rescaled,12,5.696462440260751e-11,0.08899727813917518,0.010707781007838356,11.09,,,
rescaled,13,5.2154149541136555e-11,0.08444670551098656,0.009803544178393296,11.12,,,
rescaled,14,4.7995270777404734e-11,0.07974204929660501,0.009021789475238412,11.07,1.8394427942731717,1.8651234215383283,13.918359509432321
rescaled,15,4.4639533904877166e-11,0.06991807355543424,0.00839100333510705,10.77,,,
rescaled,16,4.164534440573809e-11,0.06707483786724627,0.007828178146861223,10.85,,,
rescaled,17,3.886956136171563e-11,0.06665290162998386,0.0073064073588964915,10.92,,,
rescaled,18,3.638188378452626e-11,0.06400065990041233,0.006838792466425887,10.97,,,
rescaled,19,3.420942214360861e-11,0.05971273103350488,0.0064304294912842395,10.94,1.5409525701386428,1.5886975913872448,13.918359509432321
rescaled,20,3.227568184292264e-11,0.05652654092104425,0.006066939555505271,11.16,,,
rescaled,21,3.027225732714221e-11,0.062072260023214296,0.005690350905870824,11.17,,,
rescaled,22,2.8344131739698982e-11,0.06369282497194101,0.005327916381594267,11.39,,,
rescaled,23,2.652614587694038e-11,0.06413976196040316,0.004986185093133879,11.4,,,
rescaled,24,2.4919286548620573e-11,0.06057643412557263,0.004684139780301742,11.24,1.3772530478064482,1.387984869097636,13.918359509432321
rescaled,25,2.3377263615788556e-11,0.061880701512996426,0.004394281924711737,11.06,,,
rescaled,26,2.1974120392562648e-11,0.0600217051185688,0.004130529630818832,11.1,,,
rescaled,27,2.0830951333332355e-11,0.0520234275050759,0.003915645322012361,11.01,,,
rescaled,28,1.9767986299885924e-11,0.05102815596067099,0.0037158371618340423,11.35,,,
rescaled,29,1.8835979921176143e-11,0.04714725944114803,0.0035406456231239936,11.48,1.326448342609865,1.3262497834602982,13.918359509432321
rescaled,30,1.7985147023524384e-11,0.04517062033471479,0.0033807124639420897,11.36,,,
rescaled,31,1.7191755862228584e-11,0.04411368782574046,0.003231576769679159,11.25,,,
rescaled,32,1.6441443709558372e-11,0.04364371845918873,0.003090538742964027,11.12,,,
rescaled,33,1.583321375871288e-11,0.036993706975494575,0.0029762082583104023,11.09,,,
rescaled,34,1.5254079125794895e-11,0.03657720041828484,0.0028673468923596282,11.02,1.3507700655281951,1.3554487163105478,13.918359509432321
rescaled,35,1.4689879104089815e-11,0.03698682936231852,0.0027612928221293484,11.12,,,
rescaled,36,1.4165132163903915e-11,0.03572166499585452,0.0026626548449817863,10.98,,,
rescaled,37,1.3620854535464034e-11,0.03842375928032838,0.0025603456361716057,11.31,,,
rescaled,38,1.3103251304332263e-11,0.03800078987585613,0.0024630504796418836,11.2,,,
rescaled,39,1.260960963552024e-11,0.03767321997776325,0.0023702594371059994,11.15,1.302970410904436,1.2991966635524932,13.918359509432321
