mode,seed,phase,outer,loss,wall_s
physics,0,stall,0,1.8679041742709386e-08,15.7
physics,0,stall,1,1.3902225274899137e-08,18.7
physics,0,stall,2,1.3475747103899637e-08,18.3
physics,0,stall,3,1.3221065240444974e-08,17.8
physics,0,stall,4,1.3032901089345728e-08,17.4
physics,0,stall,5,1.2891284252899584e-08,16.8
physics,0,stall,6,1.277637037098485e-08,15.6
physics,0,stall,7,1.2678471168654025e-08,16.2
physics,0,confirm,8,1.2638826269733442e-08,17.3
physics,0,confirm,9,1.2603275330798691e-08,17.6
