mode,seed,phase,outer,loss,wall_s
physics,0,stall,0,2.7842772260205616e-08,15.0
physics,0,stall,1,2.1493981012149375e-08,18.1
physics,0,stall,2,2.0993062977626695e-08,17.5
physics,0,stall,3,2.0656458503304476e-08,17.0
physics,0,stall,4,2.039327750840983e-08,16.9
physics,0,stall,5,2.0176575999276796e-08,16.7
physics,0,stall,6,1.9990219002339948e-08,16.6
physics,0,stall,7,1.9825926464796033e-08,16.2
physics,0,confirm,8,1.9800961010760972e-08,15.5
physics,0,confirm,9,1.977742597571908e-08,15.9
