restart,round,in_round,phase,loss_before,loss_after,gain,factor,factor_renewed,n_iter,func_evals,early_stop,wall_s
0,1,0,train,7.881635580414379e-06,5.4113796501607666e-09,0.9993134192015161,126877.21854141152,1,200,206,0,75.53
1,1,1,train,5.4113796501607666e-09,2.186204448970496e-09,0.5959986934375329,184795757.20958537,1,200,205,0,73.24
2,1,2,train,2.186204448970496e-09,1.4226026984822787e-09,0.34928194883502517,184795757.20958537,0,200,207,0,75.82
3,1,3,train,1.4226026984822787e-09,1.0821007595099322e-09,0.23935139398766447,184795757.20958537,0,200,208,0,76.25
4,1,4,train,1.0821007595099322e-09,8.988533489519295e-10,0.169344128952458,184795757.20958537,0,200,205,0,75.47
5,1,5,train,8.988533489519295e-10,7.637081713751882e-10,0.1503528664985469,184795757.20958537,0,200,208,0,76.35
6,1,6,train,7.637081713751882e-10,6.603648072307734e-10,0.1353178714302968,184795757.20958537,0,200,213,0,76.71
7,1,7,train,6.603648072307734e-10,5.784306759049925e-10,0.12407404275429224,184795757.20958537,0,200,215,0,78.22
8,1,8,train,5.784306759049925e-10,5.011954082356487e-10,0.13352553881846638,184795757.20958537,0,200,211,0,77.59
9,1,9,train,5.011954082356487e-10,4.476282615708647e-10,0.10687876581582352,1995229771.7975636,1,200,205,0,74.98
10,1,10,train,4.476282615708647e-10,4.000005516563655e-10,0.10640014048120862,1995229771.7975636,0,200,207,0,76.16
11,1,11,train,4.000005516563655e-10,3.557772075486354e-10,0.11055820779397761,1995229771.7975636,0,200,209,0,75.25
12,1,12,train,3.557772075486354e-10,3.1963753977079807e-10,0.10157949135315801,1995229771.7975636,0,200,214,0,77.54
13,1,13,train,3.1963753977079807e-10,2.890725327862515e-10,0.09562395895821171,1995229771.7975636,0,200,217,0,79.46
14,1,14,train,2.890725327862515e-10,2.667094125633956e-10,0.07736162272944774,1995229771.7975636,0,200,215,0,79.0
15,1,15,train,2.667094125633956e-10,2.461504255716503e-10,0.07708384490126881,1995229771.7975636,0,200,212,0,77.73
16,1,16,train,2.461504255716503e-10,2.2718865484496771e-10,0.07703326404025711,1995229771.7975636,0,200,213,0,77.15
17,1,17,train,2.2718865484496771e-10,2.1261431334736256e-10,0.06415083318113135,1995229771.7975636,0,200,211,0,75.96
18,1,18,train,2.1261431334736256e-10,1.9791658264163744e-10,0.06912860415804853,1995229771.7975636,0,200,211,0,77.31
