N,q,dz_mm,network_vs_rk6_med_um,network_vs_rk6_p95_um,exact_scheme_vs_rk6_med_um,network_over_exact,network_vs_real_scifi_med_um,material_floor_med_um,network_real_over_floor,straight_line_vs_rk6_med_um,network_over_straight,all_legs_converged,total_restarts,total_train_wall_s
1,1,5177.8,171524.1322932768,694265.9185733411,170691.68281929282,1.0048769187826525,170426.95457011467,1693.9571842638497,100.60877344085756,450541.20897316607,0.3807068673789009,True,35,264.1
1,2,5177.8,4767.940404871127,15448.79439631279,4685.9698399334775,1.0174927640888984,3854.100781248434,1693.9571842638497,2.275205546545928,450541.20897316607,0.010582695455844756,True,61,447.2
1,3,5177.8,17496.009713703643,76954.716537054,17535.46941857016,0.9977497206419391,18898.62620255303,1693.9571842638497,11.156495794647778,450541.20897316607,0.038833317275414184,True,50,387.1
1,4,5177.8,4642.326611306629,34124.45555902608,4676.923411553389,0.99260265837125,3381.4236034652936,1693.9571842638497,1.9961682826917337,450541.20897316607,0.010303889009147492,True,86,695.1
1,5,5177.8,456.41447320812745,4764.182284716607,371.0695064641243,1.22999725188212,2136.827363561565,1693.9571842638497,1.2614411883675651,450541.20897316607,0.0010130360200531871,True,61,517.3
1,6,5177.8,324.0139473637669,4920.318483920422,196.1911714167428,1.6515215492317294,2008.6864258049015,1693.9571842638497,1.185795275385207,450541.20897316607,0.0007191660627498004,True,79,688.5
1,7,5177.8,326.1960330927707,4568.529071235561,67.30644277047304,4.8464310349182655,1880.5899794642755,1693.9571842638497,1.1101756271847754,450541.20897316607,0.0007240093172302884,True,37,324.5
1,8,5177.8,225.63428206032654,2988.328883129086,17.858041901682498,12.634883673280461,1867.4564537547553,1693.9571842638497,1.1024224644534353,450541.20897316607,0.0005008072015755726,True,55,514.4
1,9,5177.8,222.43732509502934,2432.587257456875,11.47305578444957,19.387801233958783,1802.9146897115847,1693.9571842638497,1.064321286547207,450541.20897316607,0.0004937113868051914,True,72,707.1
1,10,5177.8,226.10210290355326,2503.5155447461443,41.08370398051875,5.503449810921803,1858.2454266004902,1693.9571842638497,1.0969848847791486,450541.20897316607,0.0005018455546360904,True,90,907.7
1,11,5177.8,220.5174851213485,2041.4155097413193,65.7381237234489,3.354484013706183,1799.4679197833534,1693.9571842638497,1.0622865421273064,450541.20897316607,0.0004894502006241174,True,67,819.6
1,12,5177.8,280.86483867809875,2154.621386639156,35.96724417523944,7.808906273432303,1891.7026451312395,1693.9571842638497,1.1167358081445988,450541.20897316607,0.0006233943379302,True,52,618.7
1,13,5177.8,264.0531962655146,2216.82398497801,8.052651251929888,32.790839688013556,1855.5218418034087,1693.9571842638497,1.0953770609082842,450541.20897316607,0.0005860800100113405,True,63,788.7
1,14,5177.8,229.54104462297664,2298.944813932729,19.373077746251965,11.8484552444118,1781.2287268125715,1693.9571842638497,1.051519331987513,450541.20897316607,0.0005094784673440336,True,65,1440.3
1,15,5177.8,232.77115054623465,1947.885722904551,13.131545971020842,17.72610407486843,1853.3708226034378,1693.9571842638497,1.0941072418007218,450541.20897316607,0.0005166478579767347,True,63,1381.9
1,16,5177.8,211.42911627640615,1776.6594072051353,16.466171240267613,12.840211193684267,1796.243715760312,1693.9571842638497,1.0603831858601038,450541.20897316607,0.0004692780861450539,True,71,939.0
1,17,5177.8,217.31165668467156,2015.3044273176138,19.636806341637225,11.066547833895536,1812.2437311102146,1693.9571842638497,1.0698285340061704,450541.20897316607,0.0004823346951546323,True,84,1133.9
1,18,5177.8,284.85574199741137,2494.094432430036,35.16290884454065,8.101028935256524,1855.3345684640306,1693.9571842638497,1.0952665071462897,450541.20897316607,0.0006322523585503522,True,61,798.8
1,19,5177.8,282.0865837182396,2390.413116531096,31.775459875575507,8.877498069982867,1896.6705928965553,1693.9571842638497,1.1196685550944427,450541.20897316607,0.0006261060655498007,True,47,706.8
1,20,5177.8,265.9575751051122,1995.110671722398,13.549049970748683,19.629241583675118,1834.215978357875,1693.9571842638497,1.082799491862587,450541.20897316607,0.0005903068793890338,True,58,775.7
4,1,1294.45,4857.67006911324,15710.21417335822,4741.249318205462,1.024554867946038,3669.8214552816635,1693.9571842638497,2.166419251544704,450541.20897316607,0.010781855182979631,True,74,553.3000000000001
4,2,1294.45,289.50212391205184,3097.9326520933096,145.9104116017329,1.9841087468264915,1810.5658439060903,1693.9571842638497,1.068838020656889,450541.20897316607,0.0006425652485193522,True,71,581.2
4,3,1294.45,251.224713990581,2673.7270702849537,30.00050031980095,8.374017476794128,1901.4766676721706,1693.9571842638497,1.122505742964515,450541.20897316607,0.0005576065163121267,True,67,576.1
4,4,1294.45,242.66153738781782,2621.0850041007943,37.21276112312921,6.520922663730911,1916.67978030506,1693.9571842638497,1.1314806525868597,450541.20897316607,0.0005386000937425251,True,69,618.6
4,5,1294.45,211.98930568031216,2253.177426895313,2.6101223419345843,81.2181491551039,1841.241419824442,1693.9571842638497,1.0869468466669647,450541.20897316607,0.00047052145610267164,True,64,519.0
4,6,1294.45,217.08451441725174,2193.2955882871397,3.4926304001245967,62.15502058548979,1880.0792915195893,1693.9571842638497,1.1098741508845298,450541.20897316607,0.0004818305408999361,True,63,542.9
4,7,1294.45,230.82317791222806,2092.107502601752,4.896892092190797,47.136668230923014,1888.7597664761984,1693.9571842638497,1.114998527720761,450541.20897316607,0.0005123242298707814,True,71,673.7
4,8,1294.45,237.3630615337987,2092.0649904078755,11.951775943884968,19.86006620675011,1869.3861705946517,1693.9571842638497,1.1035616413215539,450541.20897316607,0.0005268398468472523,True,65,632.0
4,9,1294.45,241.6042285398703,2132.9403693743825,4.377895108845564,55.18730406576152,1842.069385995103,1693.9571842638497,1.087435622993989,450541.20897316607,0.0005362533409330379,True,60,604.4
4,10,1294.45,254.57120741845074,2049.9942972071563,2.4410885237386992,104.28593840118383,1873.0992508244526,1693.9571842638497,1.1057535976852055,450541.20897316607,0.000565034235156085,True,67,701.5
4,11,1294.45,254.77047885584625,2145.226452183151,7.047669539872459,36.149606251325004,1855.4970168135724,1693.9571842638497,1.095362405880361,450541.20897316607,0.0005654765286320795,True,69,738.4000000000001
4,12,1294.45,286.0549565458541,2307.8196062243596,6.257939706841853,45.7107242872775,1879.5807181515443,1693.9571842638497,1.1095798262270493,450541.20897316607,0.0006349140785541137,True,70,786.0
4,13,1294.45,253.9080920633694,2013.8235956863043,10.010305076093573,25.364670720150983,1845.9962763803048,1693.9571842638497,1.089753798696233,450541.20897316607,0.0005635624156157755,True,68,789.8
4,14,1294.45,226.42498103463282,2087.217461631105,11.545949861812232,19.610771200689552,1869.1844777349331,1693.9571842638497,1.1034425752308685,450541.20897316607,0.0005025621996946312,True,71,853.9
4,15,1294.45,315.61098040376123,2278.990791512229,7.100278904260904,44.45050464346716,1916.4815404457797,1693.9571842638497,1.1313636249186743,450541.20897316607,0.0007005152339406956,True,79,974.3000000000001
4,16,1294.45,242.6664628894173,2081.8008779078014,9.42170661156183,25.756104800761847,1889.704920765439,1693.9571842638497,1.1155564841425767,450541.20897316607,0.0005386110261533708,True,76,932.7
4,17,1294.45,241.9174444953569,2080.5562561021165,3.2533734374737833,74.35895360454032,1922.0423989754352,1693.9571842638497,1.1346463870695205,450541.20897316607,0.0005369485402827277,True,73,1078.1999999999998
4,18,1294.45,239.90488542068533,2142.3902335513512,12.111877119068026,19.807407477986807,1896.6146642446233,1693.9571842638497,1.1196355385268155,450541.20897316607,0.0005324815591618256,True,86,1141.8999999999999
4,19,1294.45,220.30528277787198,2134.345670333042,9.542988725392831,23.08556460846109,1848.7564406775334,1693.9571842638497,1.0913832166784991,450541.20897316607,0.0004889792063193784,True,81,1276.8999999999999
4,20,1294.45,253.5118717323428,2204.6871491057814,6.676763548426834,37.969275067719714,1866.840283270676,1693.9571842638497,1.102058718256186,450541.20897316607,0.0005626829836722922,True,77,1203.6
16,1,323.6125,754.8048684806474,3895.518694339795,386.5430486711716,1.9527058398164405,1933.6664123349437,1693.9571842638497,1.141508433800979,450541.20897316607,0.0016753292561205054,True,158,1716.4
16,2,323.6125,742.081648626197,3890.96528996229,1.636174820987435,453.54667429630115,2072.0063295388372,1693.9571842638497,1.2231751479830217,450541.20897316607,0.0016470893979209677,True,145,1689.6000000000004
16,3,323.6125,755.7125816415464,4191.38445429269,8.577446526373933,88.1046100745579,2003.4021092297253,1693.9571842638497,1.1826757652675575,450541.20897316607,0.0016773439734045642,True,162,1929.5
16,4,323.6125,841.1079317534984,4443.245415626887,5.98432772684987,140.5517829479327,2053.8361887965093,1693.9571842638497,1.212448701700246,450541.20897316607,0.0018668834614939613,True,159,1463.3999999999996
16,5,323.6125,755.8689045779374,4428.385183971609,0.9880131208319654,765.0393386896028,2100.1485360550873,1693.9571842638497,1.2397884406787754,450541.20897316607,0.0016776909404150786,True,160,2107.1
