N,q,dz_mm,network_vs_rk6_med_um,network_vs_rk6_p95_um,exact_scheme_vs_rk6_med_um,network_over_exact,network_vs_real_scifi_med_um,material_floor_med_um,network_real_over_floor,straight_line_vs_rk6_med_um,network_over_straight,all_legs_converged,total_restarts,total_train_wall_s
16,6,323.6125,1051.0685470853218,4785.604251320592,1.1104692198387056,946.5084923632447,2174.6957707930787,1693.9571842638497,1.283796185048293,450541.20897316607,0.00233290213226183,True,168,1688.3999999999999
16,7,323.6125,820.8779920988718,4618.117060980055,0.16412050975134207,5001.678299333696,2129.9297053348596,1693.9571842638497,1.2573692683150504,450541.20897316607,0.0018219820423746472,True,161,2187.4000000000005
16,8,323.6125,971.1077053271424,5071.978340326789,0.3833914990991616,2532.9401085024374,2187.6251916097544,1693.9571842638497,1.2914288577845254,450541.20897316607,0.002155424822382853,True,174,1846.8999999999999
16,9,323.6125,858.9689135355627,5267.365577092324,0.7778690420394696,1104.2590296220812,2125.2428882685876,1693.9571842638497,1.2546024822889272,450541.20897316607,0.0019065268535440945,True,152,1677.8000000000004
16,10,323.6125,830.5654664294764,4973.003015560797,0.2889372986558669,2874.552611564023,2075.664058973871,1693.9571842638497,1.2253344289076002,450541.20897316607,0.0018434839031093919,True,156,1777.2999999999997
16,11,323.6125,810.224220454387,5086.7655624957715,0.5718584138492133,1416.826614477383,2119.360872740145,1693.9571842638497,1.2511301303410245,450541.20897316607,0.0017983354337353045,True,162,1777.6
16,12,323.6125,841.4953956616955,5189.430124634931,1.0907474867920541,771.4850649223844,2045.932015188896,1693.9571842638497,1.2077826017060789,450541.20897316607,0.001867743458094672,True,198,2465.5
16,13,323.6125,833.1052571870572,4944.499447441194,1.1429960568705155,728.8785050300796,2080.145736888454,1693.9571842638497,1.2279801143807727,450541.20897316607,0.0018491211027861303,True,177,2300.9
16,14,323.6125,830.6848702500815,4920.6186080758225,0.5999507646947677,1384.5884014710819,2069.522418903887,1693.9571842638497,1.2217088118453525,450541.20897316607,0.0018437489261932455,True,179,2362.8
16,15,323.6125,717.9271777965255,5289.965880066383,1.259970021578738,569.7970312793358,2027.9246019028392,1693.9571842638497,1.1971522189234807,450541.20897316607,0.001593477274659874,True,174,2435.6000000000004
16,16,323.6125,933.5956941285319,5375.74090531972,1.4029603181029415,665.4469710097886,2063.828132185208,1693.9571842638497,1.218347282538959,450541.20897316607,0.002072164933050855,True,168,2321.8
16,17,323.6125,796.6085359024646,5948.2938569221105,0.5441444571943066,1463.965175736425,2162.756803427641,1693.9571842638497,1.276748210355458,450541.20897316607,0.0017681147030213392,True,179,2659.2
16,18,323.6125,903.5351828763396,5312.108345984517,2.1975877650390885,411.1486227082578,2126.0905186042082,1693.9571842638497,1.2551028670350677,450541.20897316607,0.002005444041257841,True,179,2684.7999999999997
16,19,323.6125,862.7902087718553,5500.153457655785,1.7729735814668857,486.63455439534414,2111.2863334934104,1693.9571842638497,1.2463634577699916,450541.20897316607,0.0019150084200693894,True,179,2827.5
16,20,323.6125,943.941645191238,5816.157401500281,1.1671970458877468,808.7251835642668,2107.280281292688,1693.9571842638497,1.2439985501808641,450541.20897316607,0.0020951283176573058,True,190,2971.6000000000004
64,1,80.903125,2069.0765638463163,9246.13231511467,24.76375436275191,83.55262023429258,3341.226189826024,1693.9571842638497,1.9724383950578037,450541.20897316607,0.004592424672011632,True,676,7943.7
64,2,80.903125,2224.9091963900582,9660.904304648748,0.14024368738319026,15864.594249514419,3391.8571528814427,1693.9571842638497,2.002327558447386,450541.20897316607,0.0049383034272511405,True,771,9843.699999999997
64,3,80.903125,2318.5786342180563,10075.05565141721,0.06610613792190634,35073.57572389239,3392.127015346446,1693.9571842638497,2.002486867352894,450541.20897316607,0.005146207689863391,True,723,7924.800000000002
64,4,80.903125,2363.890931974936,10143.387337950051,0.4742137214464037,4984.864049831393,3300.1763511338067,1693.9571842638497,1.9482052921945479,450541.20897316607,0.005246780727033846,True,755,9671.800000000003
64,5,80.903125,2456.976812933604,10232.216369929814,0.5952927571115652,4127.342023872695,3364.791812451698,1693.9571842638497,1.98634997608511,450541.20897316607,0.005453389754365266,True,862,10192.600000000004
64,6,80.903125,2272.0585040859974,9460.162551318153,0.3024246743166259,7512.807971836477,3356.9620579072534,1693.9571842638497,1.9817278081713163,450541.20897316607,0.005042953804967749,True,854,11546.300000000003
64,7,80.903125,1982.5968187053604,9771.847652330602,0.02626164325647551,75494.01228792102,3371.3795826634796,1693.9571842638497,1.990238958801426,450541.20897316607,0.004400478311903856,True,826,10819.1
64,8,80.903125,2219.012884629965,9718.02900736129,0.1028861860845609,21567.646436093815,3261.2972204180437,1693.9571842638497,1.925253631386982,450541.20897316607,0.0049252162519991104,True,868,13943.500000000007
64,9,80.903125,2421.650744689302,9682.89175264883,0.08894289274508083,27227.02927630197,3369.638535444182,1693.9571842638497,1.9892111599671511,450541.20897316607,0.005374981680828964,True,860,11841.900000000001
64,10,80.903125,2339.638713964291,10464.908024360302,0.11615974176493182,20141.562631044166,3326.4729836160996,1693.9571842638497,1.963729080355534,450541.20897316607,0.005192951648743941,True,867,13503.300000000001
64,11,80.903125,2370.5527473334487,10206.936062705374,0.053531706083909114,44283.1533076433,3453.1971719463854,1693.9571842638497,2.038538638417273,450541.20897316607,0.005261566977937943,True,969,16372.299999999997
64,12,80.903125,2480.8979728421878,10365.839559536278,0.022715013571428244,109218.42353476513,3559.4290029659132,1693.9571842638497,2.1012508675139565,450541.20897316607,0.005506484031719168,True,939,17068.100000000002
64,13,80.903125,2308.1152955151083,10257.01989931653,0.006511956371468841,354442.68417211284,3390.860877015055,1693.9571842638497,2.001739423236152,450541.20897316607,0.005122983757191849,True,909,17832.1
64,14,80.903125,2439.985861594323,9952.552664937937,0.016320989260520946,149499.87544544478,3590.3126983506013,1693.9571842638497,2.119482553457134,450541.20897316607,0.005415677440816845,True,908,18243.899999999994
64,15,80.903125,2538.849503556008,10283.350683282508,0.010883218379831305,233281.1320097173,3517.726985920703,1693.9571842638497,2.076632761795226,450541.20897316607,0.005635110513735981,True,924,16045.299999999997
64,16,80.903125,2287.7009096040692,10560.029326004438,0.07188098834376433,31826.23058357721,3477.2104025926415,1693.9571842638497,2.052714457540288,450541.20897316607,0.005077672949868439,True,890,18058.099999999995
64,17,80.903125,2535.5647296863426,11013.039597322064,0.017416088851973655,145587.49391078143,3580.7337228815327,1693.9571842638497,2.1138277614954166,450541.20897316607,0.0056278197847099915,True,957,19294.1
64,18,80.903125,2581.458592501235,10048.589310862963,0.021636092611743152,119312.60596934814,3634.4620112087396,1693.9571842638497,2.1455453803504385,450541.20897316607,0.005729683636230898,True,900,21029.100000000002
64,19,80.903125,2399.789224698093,9867.766083999888,0.02863151625831506,83816.35129090151,3287.890082567159,1693.9571842638497,1.940952293901095,450541.20897316607,0.005326458883012016,True,994,21982.600000000002
64,20,80.903125,2447.053671490835,10584.573721623865,0.019278046494264345,126934.73232461022,3569.2869986186724,1693.9571842638497,2.1070703744910726,450541.20897316607,0.005431364818032838,True,876,19301.499999999993
128,1,40.4515625,2718.2768742717844,11701.373172049127,6.094530066434345,446.01910970014046,3851.4860972728115,1693.9571842638497,2.2736620104991427,450541.20897316607,0.006033359036051424,True,2044,21818.400000000005
128,2,40.4515625,2772.1985735385033,12970.5917349873,0.5051889823448619,5487.448599277035,4105.338515134107,1693.9571842638497,2.4235196457566794,450541.20897316607,0.0061530410944132165,True,2243,25073.400000000005
128,3,40.4515625,2908.7516844922447,13921.110251418893,0.4143941863787859,7019.286901465934,4377.529477050955,1693.9571842638497,2.584203141446764,450541.20897316607,0.006456127933605931,True,2431,26930.29999999998
128,4,40.4515625,3197.925646811569,13590.609922462667,0.11486002154015296,27841.93842148665,4238.586813656702,1693.9571842638497,2.5021806058803566,450541.20897316607,0.007097964810144671,True,2366,26662.300000000014
128,5,40.4515625,3009.6663788826772,13537.993010662824,0.035336302005362086,85172.08106343378,4118.584396032283,1693.9571842638497,2.4313391355414415,450541.20897316607,0.00668011342567763,True,2596,31713.79999999999
128,6,40.4515625,2670.6963088818156,12523.73742487453,0.04170845289763747,64032.49517397214,4155.367455776087,1693.9571842638497,2.453053415031799,450541.20897316607,0.005927751459114321,True,2541,32268.50000000002
128,7,40.4515625,2539.3699197086335,12477.587892408086,0.027841736688571928,91207.31038128657,3939.8619718198306,1693.9571842638497,2.3258332668732673,450541.20897316607,0.005636265604862522,True,2421,32351.100000000024
128,8,40.4515625,3116.1112812940246,13224.74010547528,0.011448192310581362,272192.42975276173,4627.050017195281,1693.9571842638497,2.7315035233349643,450541.20897316607,0.006916373506423512,True,2715,36252.6
128,9,40.4515625,2919.174291814123,13653.92305157988,0.009518902025718035,306671.3244791405,4298.222578376994,1693.9571842638497,2.5373856070895267,450541.20897316607,0.006479261460826743,True,2619,35236.2
128,10,40.4515625,3419.792698182704,14233.883834165166,0.009524898587187636,359037.17681391584,4824.285573715088,1693.9571842638497,2.8479383177630893,450541.20897316607,0.00759041044431162,True,2649,38743.39999999998
128,11,40.4515625,3356.995079014382,14178.395114575942,0.0024453234175325633,1372822.5293003307,4864.0891909223,1693.9571842638497,2.871435734095079,450541.20897316607,0.007451027813116918,True,2864,41078.400000000016
128,12,40.4515625,3238.6121301071285,14598.668756320374,0.00382931526843322,845741.8371384762,5056.065673352095,1693.9571842638497,2.984765919895036,450541.20897316607,0.007188270607894644,True,2993,46584.80000000002
128,13,40.4515625,3208.124515932511,14351.141088156364,0.0066223586543401325,484438.352463738,4649.346844880058,1693.9571842638497,2.744666091959428,450541.20897316607,0.007120601738616067,True,2969,48317.90000000001
128,14,40.4515625,3265.142020430886,14290.867492861831,0.007613602747369441,428856.3678422831,5156.795833680824,1693.9571842638497,3.044230327416354,450541.20897316607,0.007247155100135037,True,2793,46175.00000000003
128,15,40.4515625,3242.708015350331,13846.669008930852,0.00206809758651616,1567966.6358553593,4677.747584077224,1693.9571842638497,2.761432005207412,450541.20897316607,0.007197361641437475,True,3004,50524.799999999974
128,16,40.4515625,3567.401344937707,13458.868078421316,0.00016958246362719365,21036381.171936527,5143.736941675172,1693.9571842638497,3.036521223475024,450541.20897316607,0.007918035628901105,True,3166,55646.299999999996
128,17,40.4515625,3203.373610768068,14324.879155941715,0.0006012619131468,5327750.753415765,4882.059688970344,1693.9571842638497,2.8820443245689007,450541.20897316607,0.007110056853775741,True,3247,56056.6
128,18,40.4515625,3460.6932735456157,13066.746046396489,0.0011759662470467447,2942850.853276279,4501.954079600679,1693.9571842638497,2.6576551765427956,450541.20897316607,0.007681191430708245,True,3053,58148.299999999996
128,19,40.4515625,3479.9932429000646,14228.95463539793,0.0064381355286968756,540528.1121201311,4985.1801186758785,1693.9571842638497,2.94291978863817,450541.20897316607,0.0077240287316477875,True,3036,55660.300000000025
128,20,40.4515625,3104.7396667435123,13913.292507845506,0.0033196035360560927,935274.2377278424,4676.835416758422,1693.9571842638497,2.760893522105669,450541.20897316607,0.006891133607555149,True,3006,60118.3
