pid,name,n,median_P_GeV,median_dx_over_bend,median_abs_dx_um,implied_dp_MeV
13,muon,42,7.399601459503174,0.0011073951943124734,811.2344927273423,8.19428309608138
211,pion,6139,9.248236656188965,0.0016526750759538191,810.7822578288051,15.284330218205993
321,kaon,909,10.441449165344238,0.001476484912717877,698.4656259599831,15.41664215954144
2212,proton,893,9.823638916015625,0.00122793208418271,395.1557330520927,12.062761408401444
