network,band,n,nn_vs_rk6_pos_med_um,nn_vs_true_pos_med_um,rk6_vs_true_pos_med_um,nn_vs_true_over_rk6_vs_true_pct,rk6_vs_true_over_nn_vs_rk6
"N = 64, q = 2, dz = 81 mm",all,1452,80.60804977050395,1698.2630399615175,1693.957184269278,0.25418916913753087,21.014739707660436
"N = 64, q = 2, dz = 81 mm",1-2 GeV,5,2214.3463387761813,13750.020853150887,17033.803590953128,-19.278035702761652,7.692474881940701
"N = 64, q = 2, dz = 81 mm",2-5 GeV,500,335.3012259386361,5217.196206675397,5219.285262555715,-0.0400257080276023,15.565959378600374
"N = 64, q = 2, dz = 81 mm",5-10 GeV,430,76.89185853141822,1685.8814561662427,1629.8731971007498,3.436356838379906,21.196954114911648
"N = 64, q = 2, dz = 81 mm",10-25 GeV,383,24.155317823464806,622.9269730870683,613.4686171761246,1.5417831729488851,25.396834836103576
"N = 64, q = 2, dz = 81 mm",25-200 GeV,134,17.068166304980537,275.8066667905439,254.5188989893461,8.363924205914808,14.91190643690159
"N = 128, q = 8, dz = 40 mm",all,1452,95.54362855938336,1649.4861879106252,1693.957184269278,-2.625272750198604,17.729671876722062
"N = 128, q = 8, dz = 40 mm",1-2 GeV,5,2419.1232238889597,15091.186826574245,17033.803590953128,-11.40448023840449,7.04131291153071
"N = 128, q = 8, dz = 40 mm",2-5 GeV,500,382.9270605534525,5250.8425169434,5219.285262555715,0.6046278906057134,13.62997238955161
"N = 128, q = 8, dz = 40 mm",5-10 GeV,430,97.33150736227003,1675.25849611593,1629.8731971007498,2.7845907949104465,16.74558671976923
"N = 128, q = 8, dz = 40 mm",10-25 GeV,383,27.670024622153733,627.8632841656417,613.4686171761246,2.346439016844526,22.170873555528278
"N = 128, q = 8, dz = 40 mm",25-200 GeV,134,20.01761427084925,270.31755114617795,254.5188989893461,6.207260922299196,12.71474689968377
"N = 256, q = 16, dz = 20 mm",all,1452,84.35302863300365,1698.8172956724698,1693.957184269278,0.28690875119656845,20.081758909205387
"N = 256, q = 16, dz = 20 mm",1-2 GeV,5,1577.0809808882404,17097.730390096258,17033.803590953128,0.3752937434190029,10.800842694431191
"N = 256, q = 16, dz = 20 mm",2-5 GeV,500,316.11424621667794,5129.847555522588,5219.285262555715,-1.713600666259285,16.510756237724884
"N = 256, q = 16, dz = 20 mm",5-10 GeV,430,79.2773808173024,1687.7031724573044,1629.8731971007498,3.548127269006174,20.559120146222437
"N = 256, q = 16, dz = 20 mm",10-25 GeV,383,35.821710162110776,610.3231756557363,613.4686171761246,-0.5127306323943759,17.125609425118977
"N = 256, q = 16, dz = 20 mm",25-200 GeV,134,22.607478604797393,274.0867170121106,254.5188989893461,7.688159150642715,11.25817272410627
