band,n,median_P_GeV,x_over_X0_air,theta0_air_urad,highland_air_width_um,measured_halfwidth68_dx_um,ratio_measured_over_air,effective_x_over_X0
1-2 GeV,89,1.8634867668151855,0.017032236842105263,805.0598548931395,2406.6493306374527,9998.462622918625,4.154515780772398,0.2351846210896417
2-5 GeV,5117,3.4400217533111572,0.017032236842105263,436.1072381718223,1303.7008198249787,4372.214714490183,3.353694841641007,0.1582570518483425
5-10 GeV,4286,6.876570463180542,0.017032236842105263,218.16374806601488,652.1796299507753,1520.7558570792853,2.331805207093125,0.08088290576472928
10-25 GeV,3697,14.57797908782959,0.017032236842105263,102.90990109458824,307.639293004036,647.0504531364008,2.1032763624505924,0.06687063549482065
25-50 GeV,1016,32.0595760345459,0.017032236842105263,46.79470447366346,139.88828720551234,311.59260548500356,2.227438849310074,0.07433132915028295
50-100 GeV,240,62.49602508544922,0.017032236842105263,24.005020863907884,71.76071076321448,166.83784543287214,2.3249190770055126,0.08044277442325609
100-200 GeV,37,120.24674987792969,0.017032236842105263,12.47616578086716,37.296302682278636,85.88444058042,2.302760177384233,0.07903399538950928
