leg,component,sigma_pop,sigma_corr,median_abs_corr
A vertex fetch,x_mm,408.1020493391263,1478.804799188645,0.03939963368812016
A vertex fetch,y_mm,209.00389650694666,125.8217460144729,0.00023181104504388372
A vertex fetch,tx,0.2174008430380756,0.2877141493393421,0.00020293670240789652
A vertex fetch,ty,0.12961467448132274,0.026836183539759268,2.205371856689453e-06
A vertex fetch,qop,0.12527460847595878,0.0,0.0
B cross-magnet,x_mm,705.8865649299024,986.1241613002824,529.674442681048
B cross-magnet,y_mm,428.0081218425481,83.18795555340421,1.590221695635364
B cross-magnet,tx,0.2694659434178042,0.37059146542717836,0.20255660824477673
B cross-magnet,ty,0.07251808134455544,0.025717586931997972,0.00040791742503643036
B cross-magnet,qop,0.08277145240319504,0.0,0.0
C plane-to-plane,x_mm,643.1256993828531,129.26098418619026,0.005737466097343713
C plane-to-plane,y_mm,342.3796544064297,7.039111097684026,4.353776421339717e-05
C plane-to-plane,tx,0.24556796556401173,0.052068830117981156,0.00017236173152923584
C plane-to-plane,ty,0.12375295525348513,0.0033472201839191396,1.494772732257843e-06
C plane-to-plane,qop,0.12718964866672794,0.0,0.0
D downstream->PV,x_mm,902.0075061767254,2366.4693543131716,1316.9814637953805
D downstream->PV,y_mm,507.5209920354065,195.86733959434756,3.8467803256800153
D downstream->PV,tx,0.3568808304595003,0.45616415404719846,0.25742150470614433
D downstream->PV,ty,0.08085630110303452,0.03815658227523617,0.0005358979105949402
D downstream->PV,qop,0.09820341738406238,0.0,0.0
