detector,z_lo,z_hi,z_mid,n_states
VP,-288.2155095,-199.2879085,-243.751709,69698
VP,-138.20693699999998,-124.2846815,-131.24580924999998,17226
VP,-63.21368050000001,275.71331050000003,106.24981500000001,229550
VP,311.786938,325.7147235,318.75083075,17883
VP,386.785257,400.7109235,393.74809025,17434
VP,486.7980415,500.7145965000001,493.7563190000001,16746
VP,586.7875895,600.7102580000001,593.74892375,16698
VP,636.7862285,650.714758,643.75049325,16748
VP,686.78602,700.715649,693.7508345,16787
VP,736.7881175,750.7127805,743.750449,16812
UT,2306.714162,2328.2863405000003,2317.5002512500005,49527
UT,2361.714046,2383.2868479999997,2372.500447,50446
UT,2586.7130355,2608.2868575,2597.4999465,54057
UT,2641.7140385000002,2663.2864675,2652.500253,56554
FT,7817.3689985,7835.033671500001,7826.201335000001,45448
FT,7886.991384000001,7904.8113175,7895.90135075,47339
FT,7956.778532,7975.322465500001,7966.050498750001,48637
FT,8027.0226005,8045.1010145,8036.0618075,49650
FT,8499.161223000001,8517.1754375,8508.16833025,47369
FT,8568.7503205,8587.021946,8577.88613325,49778
FT,8638.912263000002,8657.410612,8648.1614375,51640
FT,8708.6471395,8727.1011305,8717.874135,53299
FT,9184.0925725,9202.2027255,9193.147648999999,52669
FT,9253.790252499999,9272.067500000001,9262.92887625,55189
FT,9323.906481,9342.3909595,9333.14872025,57153
FT,9393.6015945,9412.174919000001,9402.88825675,59476
