tag,mode,seed,q,width,depth,restarts,final_loss,converged,wall_s,outer_cap,n_params,train_endpoint_med_um,train_endpoint_p95_um,train_stage_med_um,train_slope_med_mrad,train_rho_mean,train_rho_median,train_straight_med_um,train_n,val_endpoint_med_um,val_endpoint_p95_um,val_stage_med_um,val_slope_med_mrad,val_rho_mean,val_rho_median,val_straight_med_um,val_n,test_endpoint_med_um,test_endpoint_p95_um,test_stage_med_um,test_slope_med_mrad,test_rho_mean,test_rho_median,test_straight_med_um,test_n
data_w200_d4_s0,data,0,8,200,4,50,1.514551847422697e-06,True,1116.8,400,129036,144.71098549864791,874.0968803094313,221.2390493793066,0.04072922617324526,4.0388644243249096e-07,7.774827844531142e-08,519709.92299877864,1979,150.68246885022063,5614.196658265056,224.80003141635052,0.03948724708775081,1.433559084853634e-05,1.0344689657057998e-07,524796.0910229248,2062,142.32417125178642,2971.529493917635,215.968243795281,0.04038692906588141,6.914648811336183e-06,9.36716878606927e-08,520444.29371907085,2018
data_w200_d4_s1,data,1,8,200,4,51,1.1634261101420629e-06,True,1140.2,400,129036,109.53026841946212,788.0388054325521,186.45810524589024,0.04025614972904233,3.038269236420727e-07,3.897672365175745e-08,519709.92299877864,1979,111.54315089052602,4795.277108781438,187.88407625793013,0.04225641903275127,1.9769536748713702e-05,4.812294933274088e-08,524796.0910229248,2062,106.73474453186316,2710.4400396606043,183.74742674761535,0.04053819071729928,6.459426853933921e-06,5.0446565814680324e-08,520444.29371907085,2018
data_w200_d4_s2,data,2,8,200,4,55,1.322488228316678e-06,True,1063.0,400,129036,116.4107383241344,775.9497139360857,194.70053336931414,0.03865357396951041,2.565885352682129e-07,5.457588370820386e-08,519709.92299877864,1979,121.00294737384587,5114.75112841618,198.27677882054218,0.042378532625798535,1.4995456191318578e-05,7.223707203391505e-08,524796.0910229248,2062,113.73337327790978,2822.688912446022,191.70343661959066,0.03935726610842724,8.036442493391094e-06,6.539191973084692e-08,520444.29371907085,2018
data_w200_d4_s3,data,3,8,200,4,45,1.4990642450612428e-06,True,846.1,400,129036,138.08691831263786,906.4917043820508,225.41877322929338,0.040296441932874405,4.657164901387136e-07,7.252704310626884e-08,519709.92299877864,1979,150.82844539386997,5180.875790087847,231.0831616963327,0.041288094218766905,1.6579718148918803e-05,1.04043156645242e-07,524796.0910229248,2062,137.02152788135535,2999.4298613158826,219.1816079665756,0.0380894915246871,9.432334298664679e-06,1.0039910182058022e-07,520444.29371907085,2018
data_w200_d4_s4,data,4,8,200,4,50,1.3603346150545295e-06,True,1649.4,400,129036,113.49539679451937,822.3189809353014,209.40832804896203,0.03515007417315488,3.694098640883639e-07,4.508657638535725e-08,519709.92299877864,1979,111.1998996703596,5048.777660627564,212.26028783620166,0.040818028421318875,2.2940882272599085e-05,5.806042926326083e-08,524796.0910229248,2062,105.43942033110909,2995.752434957209,205.4672637161019,0.03792358665824502,6.5276830316216275e-06,5.420898780992008e-08,520444.29371907085,2018
data_w200_d4_s5,data,5,8,200,4,55,1.2703883228045711e-06,True,1845.5,400,129036,114.86639733527682,754.7789867442013,204.61735189931574,0.03584787137000944,2.55703521281239e-07,4.396153577222312e-08,519709.92299877864,1979,119.23095270802264,4598.137180789355,202.45558345116876,0.03700151111956165,3.754379062915367e-05,5.48972491172986e-08,524796.0910229248,2062,116.03236537074935,2737.5659201633257,193.50141781069397,0.035276365770303686,8.604662340518012e-06,5.4072217058022117e-08,520444.29371907085,2018
data_w200_d4_s6,data,6,8,200,4,52,1.1513729987521096e-06,True,983.0,400,129036,124.43730899701677,744.6217680122902,201.85937274710852,0.03512416561474163,2.3253024654317258e-07,5.4291623836768916e-08,519709.92299877864,1979,130.0517212747252,4994.024969765008,201.86408247781173,0.03550209814455474,1.607933964697596e-05,7.277454397186808e-08,524796.0910229248,2062,127.6810221087743,2818.943957461379,192.5844652818789,0.035472984660403495,5.754956395245952e-06,6.767873259319707e-08,520444.29371907085,2018
data_w200_d4_s7,data,7,8,200,4,55,1.3678189440165408e-06,True,1113.1,400,129036,130.9667727566648,900.6955529522879,204.21134894962734,0.04315224827841635,3.4949728783519085e-07,6.128030824862835e-08,519709.92299877864,1979,131.0615049694306,4925.763496302889,208.0818433963323,0.04292059748660132,2.121017412294578e-05,7.724545556658533e-08,524796.0910229248,2062,129.22013027544034,3121.3856464093633,203.30969526396814,0.040462507767106796,9.03795964585047e-06,7.605807211762561e-08,520444.29371907085,2018
data_w200_d4_s8,data,8,8,200,4,46,1.1564517221269364e-06,True,1670.3,400,129036,129.5172213110618,757.705402160359,193.91799690112066,0.035563271062272195,2.961284548234696e-07,5.830501696196395e-08,519709.92299877864,1979,135.16045227447648,4809.14446967005,207.24882270206814,0.0399690439752548,1.497310075958263e-05,8.335119602318841e-08,524796.0910229248,2062,131.08730072999464,2925.07230641177,195.7608298857565,0.03664331735203988,8.01843844314321e-06,7.358785069563729e-08,520444.29371907085,2018
data_w200_d4_s9,data,9,8,200,4,50,2.026692198993612e-06,True,1709.0,400,129036,162.50655762468114,989.796747951095,264.4901981699945,0.04626246484637497,3.406054192064477e-07,1.0552399938249427e-07,519709.92299877864,1979,166.0718983985987,5112.745102238019,258.9317016608419,0.04781567049526314,1.6716577939018915e-05,1.2623222828025607e-07,524796.0910229248,2062,158.98783761974755,2759.483849965454,252.89213231567942,0.0454904928094621,7.646970570608367e-06,1.2053581482340486e-07,520444.29371907085,2018
w032_d2_s0,physics,0,8,32,2,49,0.0002118933494030906,True,284.1,150,2436,1400.4329665176272,10755.436464625274,1854.401145516004,0.39905546208399145,3.5840692491135854e-05,7.302446239327613e-06,519709.92299877864,1979,1512.1964059559616,16130.811765682012,1893.630327322583,0.397145789060355,4.9753887186451626e-05,7.882493907332263e-06,524796.0910229248,2062,1435.3582452368698,11051.064833690252,1867.5494595987489,0.369226555711491,5.003591411382667e-05,7.807020847131528e-06,520444.29371907085,2018
w032_d2_s1,physics,1,8,32,2,92,0.0001831593873694418,True,342.2,150,2436,1094.7314328422094,9838.902792931818,1598.0209666939231,0.3886914997427498,3.9117320053160425e-05,5.48203998983249e-06,519709.92299877864,1979,1116.6031188442817,12888.531476162887,1648.432898560559,0.392939444747855,5.2973165477359194e-05,5.64503912804401e-06,524796.0910229248,2062,1058.9797198515712,10506.387048419208,1582.8141694468768,0.37482556301540393,5.6533712672566756e-05,5.554693903142878e-06,520444.29371907085,2018
w032_d2_s2,physics,2,8,32,2,83,0.00015614504625574468,False,467.4,150,2436,751.6790729306422,8259.75121012392,1002.5151973992479,0.3731095951057528,2.1003023870297285e-05,2.326398870761159e-06,519709.92299877864,1979,778.7569094720652,13167.97587414879,1023.3558941113472,0.3820460684795073,2.8546357835680894e-05,2.6420249017281187e-06,524796.0910229248,2062,723.6349440744334,7874.930825495316,986.2680474236072,0.3753141817929434,2.6050584625440794e-05,2.4374683684851377e-06,520444.29371907085,2018
w032_d2_s3,physics,3,8,32,2,66,0.00015739037388196587,False,384.5,150,2436,926.338670278767,8465.809342275652,1140.2094933883404,0.42056679142193043,2.54406628784725e-05,3.6929005453336924e-06,519709.92299877864,1979,964.7703449971984,11476.780138854967,1185.660240768101,0.4143680959482893,3.249457138661038e-05,4.112623240626481e-06,524796.0910229248,2062,921.7655758512393,8568.548184257508,1117.3579571393475,0.39907102325348154,2.6210524662955617e-05,3.916384718365289e-06,520444.29371907085,2018
w032_d2_s4,physics,4,8,32,2,60,0.00013121660636590833,True,234.0,150,2436,980.0613541392238,8466.214470446683,1196.8374061407303,0.4279988637683474,2.977538410389297e-05,4.211274541806911e-06,519709.92299877864,1979,1029.9458556489185,12862.538579582635,1237.8376413419687,0.43726388824789564,4.713704220334606e-05,4.492402601494126e-06,524796.0910229248,2062,910.3380832482628,9333.315244062494,1131.6956740582214,0.43055638474216035,4.425179947605214e-05,4.057310877706563e-06,520444.29371907085,2018
w032_d2_s5,physics,5,8,32,2,82,0.00013805749069802976,True,298.3,150,2436,880.4560577070788,9340.296832470089,1215.8446381752128,0.33619669931217455,2.4853188793346168e-05,2.7877923701125e-06,519709.92299877864,1979,874.5019596923669,13306.294225385738,1249.7188081292165,0.3498110424922096,3.3647370262596684e-05,2.966543285489293e-06,524796.0910229248,2062,852.8371853905696,9635.23373792062,1231.4734923587025,0.33368900106672816,3.979158763512977e-05,2.8222398764592275e-06,520444.29371907085,2018
w032_d2_s6,physics,6,8,32,2,74,0.00013536144655167007,False,409.3,150,2436,684.074750577139,8663.282954179493,1062.9322943031525,0.3127482447962231,1.956938911751818e-05,2.13298353531443e-06,519709.92299877864,1979,685.3987846913299,11876.020743785451,1048.760265041011,0.32385756106777586,2.4152233252986125e-05,2.3210300055109783e-06,524796.0910229248,2062,654.1052475531473,9033.15806331035,1022.9494818194951,0.30881606476191453,2.816019008826335e-05,2.0393694516577407e-06,520444.29371907085,2018
w032_d2_s7,physics,7,8,32,2,92,9.344184186603991e-05,False,338.1,150,2436,672.5417766614044,7012.782816237307,868.9626860353314,0.25598207160704156,1.773191242164091e-05,2.112730697492529e-06,519709.92299877864,1979,674.2283787875465,9790.360080055922,918.3289844673013,0.2539073264849062,2.847765195469714e-05,2.2105824345684164e-06,524796.0910229248,2062,638.1760898726867,8071.690340555761,872.222941636096,0.24939832863364944,1.8716713477987013e-05,2.1293777137380446e-06,520444.29371907085,2018
w032_d2_s8,physics,8,8,32,2,77,0.00014820942003526281,False,422.3,150,2436,1096.9573568081614,8939.698345337176,1403.9244730919904,0.3217916074546301,2.5682361486355466e-05,3.7421548465844606e-06,519709.92299877864,1979,1099.8835977331396,13679.007839222842,1387.1051478544841,0.3303048230210871,3.589312899184955e-05,4.150021916905693e-06,524796.0910229248,2062,1064.931175229603,9989.01412275554,1349.008456780794,0.3106801185049704,4.0259092861138716e-05,3.840696165162769e-06,520444.29371907085,2018
w032_d2_s9,physics,9,8,32,2,81,0.0003619354588023131,True,295.9,150,2436,1652.5830453531398,14800.284579124938,2189.13966325762,0.6201625670876655,7.099023317050142e-05,1.167402780779707e-05,519709.92299877864,1979,1642.8209958052378,21352.818878584138,2141.834321867378,0.6074015243069074,8.323627187567036e-05,1.1872034559388526e-05,524796.0910229248,2062,1599.7384005011384,14756.59132569821,2172.8199605022382,0.5878607969566204,8.737890571024854e-05,1.1446058922931335e-05,520444.29371907085,2018
w032_d4_s0,physics,0,8,32,4,97,4.943028037999054e-05,True,406.5,150,4548,465.76551331034466,4848.578821649646,651.4130126938653,0.18183487090612205,1.1346266862504875e-05,1.009726510796097e-06,519709.92299877864,1979,477.5066360205642,8877.023079664032,642.9752335577064,0.1877322014556832,0.00011984349474140493,1.034944436282194e-06,524796.0910229248,2062,449.8183546446626,5458.214122425406,623.0429381557769,0.1758678725577549,2.0221470590660446e-05,9.960433459867081e-07,520444.29371907085,2018
w032_d4_s1,physics,1,8,32,4,98,5.368292799705715e-05,True,607.1,150,4548,410.253267647704,5201.450865141957,582.148844505781,0.178594616099155,1.1446525158416042e-05,7.677506319882197e-07,519709.92299877864,1979,407.2972874512857,8824.994321684382,586.1969173806472,0.18130911607587563,4.6037065190095814e-05,7.635284108058935e-07,524796.0910229248,2062,387.1358276683381,6498.771482026235,565.4208914540391,0.17188364021856983,1.6883019061405582e-05,7.456007575061962e-07,520444.29371907085,2018
w032_d4_s2,physics,2,8,32,4,110,4.775710067458793e-05,False,457.6,150,4548,491.5690277360909,5127.1044827599035,654.754376772587,0.20343901128045197,1.3001243399686243e-05,9.937486216141605e-07,519709.92299877864,1979,497.93513775168384,8911.488569005978,684.3321859308311,0.1999491125305019,6.716122159099607e-05,1.1024223578955598e-06,524796.0910229248,2062,487.3383614584128,5361.89595288614,670.1037718245715,0.19766318352283652,2.256334749794767e-05,1.0487743482582704e-06,520444.29371907085,2018
w032_d4_s3,physics,3,8,32,4,81,6.509022182786891e-05,True,515.6,150,4548,426.18596173042533,5950.182472667114,633.230869315355,0.2502316861249243,1.1834047988217887e-05,7.9119130583974e-07,519709.92299877864,1979,447.4867742251121,10519.783976541827,655.5628390443502,0.2546463735584731,4.722790670156307e-05,8.623533508456078e-07,524796.0910229248,2062,410.5238852834532,6587.414182600377,621.5819480262326,0.23666162402514146,2.242892261199065e-05,8.236499381964417e-07,520444.29371907085,2018
w032_d4_s4,physics,4,8,32,4,99,6.039954924230804e-05,False,642.8,150,4548,616.1676353208918,5391.196615187303,770.1390834005224,0.21068123723496507,1.5125392962777717e-05,1.3120035386225822e-06,519709.92299877864,1979,628.2958064415993,9816.722216157894,771.0921252905223,0.2143325857418188,5.3019248868205756e-05,1.4562288853810147e-06,524796.0910229248,2062,578.3222866304527,6689.033937936772,740.5273883117616,0.20137601969265861,2.227309328317275e-05,1.3448173985560933e-06,520444.29371907085,2018
w032_d4_s5,physics,5,8,32,4,98,5.5901986358115585e-05,False,641.5,150,4548,493.57431576882504,6000.400546115718,649.0984181119757,0.20724003131722402,1.2530581723694992e-05,1.1886992580473826e-06,519709.92299877864,1979,508.64471741772377,8456.919591539494,661.2137747628069,0.20540449911559192,0.00011498080865027577,1.2857032953343853e-06,524796.0910229248,2062,488.58635672756634,6651.74663515972,605.4486825262444,0.1860812799800611,2.1535853785080442e-05,1.2992800783082962e-06,520444.29371907085,2018
w032_d4_s6,physics,6,8,32,4,92,6.882100538206803e-05,False,579.0,150,4548,586.6873554539409,5367.910833150924,718.0208619196344,0.23764840297363019,1.5243903888361057e-05,1.3407245004960666e-06,519709.92299877864,1979,594.2289198774091,10457.867037575923,714.745901958068,0.24740049396250463,4.581819920132856e-05,1.3869555039186651e-06,524796.0910229248,2062,545.8781246645117,6815.375586017754,676.0405918966228,0.2422587849554309,1.9042322153948488e-05,1.3498591840266129e-06,520444.29371907085,2018
