leg,q,p_GeV,dz_mm,converged,n_evals,residual,err_x_mm,err_y_mm,err_tx,err_ty,wall_s
A,2,8.055789947509766,-105.38589859008789,1,15,1.4454087849302601e-15,2.4865118051775603e-06,9.139205295327635e-09,2.201528577841505e-08,7.761850190357578e-11,0.00630950927734375
A,2,3.6785106658935547,-7827.635303914547,1,21,5.684341886080802e-14,14.979224691995515,4.085294414416353,0.0498314666679501,0.0001259124449856236,0.00804448127746582
A,2,1.1132805347442627,-19.135299682617188,1,15,1.3799860776667061e-14,1.0129674876679928e-12,1.4034551298891529e-11,2.199085358256525e-11,5.0453863309485314e-11,0.005870819091796875
A,2,4.457874298095703,-282.16429138183594,1,32,1.086425633972047e-15,2.7903107339855016e-05,1.3857886013796117e-05,4.784059119133932e-07,9.44105467519385e-08,0.012305736541748047
A,2,2.029374837875366,-36.79439830780029,1,15,1.0928419085474983e-14,6.133249463857737e-11,1.5889622950737703e-11,8.265152451336633e-11,4.452063717685917e-11,0.00732421875
A,2,199.90037536621094,-398.76099395751953,1,27,1.4690016303614976e-15,3.3575421252707294e-06,1.5645466387576024e-06,7.030422546211446e-10,7.351607069633337e-09,0.010490655899047852
A,2,7.07179069519043,-2293.2232627868652,1,16,7.105427357601002e-15,0.8937662120781047,0.005787295866333864,0.00044095401963884645,3.252415192819824e-06,0.006213188171386719
A,2,1.0006492137908936,-45.39060020446777,1,16,1.3770638139986788e-14,8.995809652745379e-11,8.957703329093292e-11,1.27675647831893e-15,2.6922908347160046e-15,0.00623774528503418
A,2,3.069549083709717,-9143.742893218994,1,21,2.2737367544323206e-13,702.6473848658718,12.378533032803553,0.2032987597166942,0.0022236110200274557,0.008148908615112305
A,2,2.82137393951416,-2272.0743370056152,1,27,1.4210854715202004e-14,1.7515534908604282,0.20366846875146338,0.0010116804887345537,4.717468551557191e-05,0.010514497756958008
A,2,30.44393539428711,-298.4199905395508,1,18,8.365641494218292e-16,2.147993590953523e-06,2.053215619052251e-06,5.488734682306418e-08,1.425734881196905e-08,0.006964921951293945
A,2,4.036323547363281,-8592.99785232544,1,20,1.3493980238754588e-12,292.8279936613835,6.3589746926585775,0.11283112861794992,0.0014101311340235306,0.007848739624023438
A,2,4.9447922706604,-29.954798698425293,1,15,2.2212592008796772e-14,6.02629057766535e-13,9.12950270937074e-13,9.539535827940426e-12,1.3676754173630457e-11,0.005940437316894531
A,2,1.874666690826416,-38.47639846801758,1,15,1.2793585635328952e-14,1.009314853916976e-11,1.621036638255191e-11,1.4730577868604655e-11,9.954770341380481e-11,0.005795478820800781
A,2,5.519657135009766,-2288.9615364074707,1,17,3.552713678800501e-15,1.1173851787748958,0.0020287323242973443,0.0005579801749255736,6.147850209192729e-06,0.00649714469909668
A,2,3.3514626026153564,-48.355200588703156,1,15,1.3644377291286694e-14,3.498479284047562e-12,1.0602629885170245e-13,2.0556473190325164e-16,1.6653345369377348e-16,0.005864858627319336
A,2,9.218462944030762,-2299.312364578247,1,16,5.684341886080802e-14,0.6924791927058038,0.021388797634232848,0.00034567928134562886,1.0405865871448983e-05,0.006100177764892578
A,2,23.26853370666504,-284.03039169311523,1,26,1.7279472123987727e-15,1.0278614161696176e-05,3.163539608608268e-06,4.563890866268738e-08,1.0070063526101958e-08,0.009993314743041992
A,2,2.2048487663269043,-9166.832578659058,1,22,5.684341886080802e-14,1031.0970877332275,10.272679430286473,0.29588935719246323,0.0011130583772263336,0.008429765701293945
A,2,18.49923324584961,-647.6951904296875,1,30,1.6999157158005757e-15,0.00014496643693173716,3.37796084860717e-05,6.763176578824387e-07,1.9320055899552102e-07,0.011528730392456055
A,2,2.3891072273254395,-7862.165752410889,1,22,5.684341886080802e-14,42.60660989791012,14.449962515365655,0.07816565874720041,0.0018469439436792634,0.008419513702392578
A,2,15.220085144042969,-606.4361910820007,1,32,4.2012834183813297e-16,0.0001761502813032445,0.00013188247840673073,2.7860172042114273e-07,2.3197010650625322e-07,0.012354373931884766
A,2,1.348832368850708,-2242.0462646484375,1,17,2.842170943040401e-14,4.321966444559475,0.0567231959480301,0.0021933565533850813,5.3449676417793857e-05,0.006621599197387695
A,2,1.4721050262451172,-15.454002380371094,1,15,1.84458364923569e-14,3.769951018028905e-11,3.59824670059794e-12,1.1098200136672176e-10,2.3176904839772305e-11,0.005942344665527344
A,2,1.7380659580230713,-323.7021026611328,1,34,1.463672932855431e-15,0.00016918946269639523,4.524121799728831e-05,7.377027273422487e-08,7.195268590491632e-08,0.01297616958618164
A,2,6.239363670349121,-49.51180171966553,1,15,1.2355669601598479e-14,3.076989324446444e-07,2.9357008490826786e-08,5.8688705562026655e-09,5.086119025943248e-10,0.0057909488677978516
A,2,10.724223136901855,-157.31089401245117,1,15,1.7614314835949193e-15,7.026601360760054e-06,5.346156795038581e-08,6.367655010653533e-08,1.8638261281567203e-09,0.005780220031738281
A,2,43.24116897583008,-194.49989318847656,1,15,9.931461306556671e-16,2.4918230924764195e-06,1.7216495243332908e-09,2.6701378160604028e-08,1.0154266958523062e-09,0.005811214447021484
A,2,1.6027175188064575,-20.224000930786133,1,15,2.47666081030053e-14,2.540928578653734e-11,3.6821962146049714e-11,0.0,2.220446049250313e-16,0.005918979644775391
A,2,2.5881831645965576,-2367.2904357910156,1,17,5.684341886080802e-14,8.323296649290796,0.6385790654091181,0.005002548043801069,0.00029982033828147847,0.006564617156982422
A,2,1.2273989915847778,-24.018701553344727,1,15,1.991543865584311e-14,8.504419390931162e-11,2.3445314578651733e-09,2.995637071734336e-10,1.992352449686763e-09,0.005874156951904297
A,2,12.66734504699707,-99.77239990234375,1,15,3.3512593860320376e-15,8.079339522959472e-07,5.578915790449557e-08,1.588470880352355e-08,1.1076639883089712e-09,0.00583195686340332
A,4,8.055789947509766,-105.38589859008789,1,23,1.9481757786848908e-15,1.5666870795127963e-07,4.5993396591281765e-10,9.967487737960745e-10,7.86926079854311e-13,0.00892329216003418
A,4,3.6785106658935547,-7827.635303914547,1,28,5.357042934250877e-13,50.34133517725121,0.08630534328995054,0.01820578844714513,3.2117897674585616e-05,0.010854959487915039
A,4,1.1132805347442627,-19.135299682617188,1,24,2.6315619605296603e-14,5.093259147770368e-12,1.2146283978609063e-11,1.8162027437540473e-11,4.137651332669634e-11,0.009386777877807617
A,4,4.457874298095703,-282.16429138183594,1,48,1.4942190585157892e-15,9.832082961680477e-07,2.452075408471144e-06,5.2892714631769255e-08,1.762835391896922e-08,0.018454551696777344
A,4,2.029374837875366,-36.79439830780029,1,23,1.1846602800298645e-14,5.963607385695013e-11,3.373357149172307e-11,8.265152451336633e-11,4.4520540032344513e-11,0.008927106857299805
A,4,199.90037536621094,-398.76099395751953,1,26,1.5083605382679958e-15,1.4636826865532804e-06,9.867706725341652e-08,5.59437082509745e-09,8.851020923128505e-10,0.01012730598449707
A,4,7.07179069519043,-2293.2232627868652,1,26,1.4210854715202004e-14,0.015234880262254613,0.0014471446424195733,1.0521572729668693e-06,2.334757476754601e-06,0.010109186172485352
A,4,1.0006492137908936,-45.39060020446777,1,24,1.3246748262110003e-14,1.759703494030873e-14,2.200323256928982e-14,0.0,0.0,0.009313821792602539
A,4,3.069549083709717,-9143.742893218994,1,29,1.4066438985826935e-12,165.3365527192127,2.5813255268584996,0.0386220826249114,0.00031522663653812955,0.011301994323730469
A,4,2.82137393951416,-2272.0743370056152,1,47,1.4210854715202004e-14,0.09953044442997072,0.020149172738281873,2.7953438523228846e-05,2.373029932575821e-05,0.018178224563598633
A,4,30.44393539428711,-298.4199905395508,1,42,1.4982424650152471e-15,1.151380327732432e-06,2.815445993842314e-07,1.6167238815062435e-10,2.053858416672938e-09,0.016327381134033203
A,4,4.036323547363281,-8592.99785232544,1,28,4.547473508864641e-13,107.20340034589844,0.9503257039410897,0.030030265952362634,2.2501616014330983e-05,0.010935306549072266
A,4,4.9447922706604,-29.954798698425293,1,23,1.6924988835561802e-14,4.440892098500626e-16,1.0130785099704553e-15,9.539535827940426e-12,1.3676750704183505e-11,0.008812427520751953
A,4,1.874666690826416,-38.47639846801758,1,25,1.837955616423425e-14,1.0533685035341023e-11,7.175349203691894e-11,1.3074985538708006e-11,8.783029858960845e-11,0.009769916534423828
A,4,5.519657135009766,-2288.9615364074707,1,29,3.9968028886505635e-15,0.030104644069382402,0.0016272881916856718,1.337811924067428e-05,2.614727040953224e-06,0.011191844940185547
A,4,3.3514626026153564,-48.355200588703156,1,23,1.301021431158924e-14,4.996003610813204e-16,5.551115123125783e-16,0.0,2.7755575615628914e-17,0.009017705917358398
A,4,9.218462944030762,-2299.312364578247,1,24,5.684341886080802e-14,0.02261504438840234,0.000959066800701347,1.1644217541212365e-05,1.6622693664244959e-06,0.009380817413330078
A,4,23.26853370666504,-284.03039169311523,1,43,1.3806637040245096e-15,3.517427703880749e-06,5.495388012421998e-07,2.7022793409187118e-08,1.852927512813185e-09,0.016716957092285156
A,4,2.2048487663269043,-9166.832578659058,1,31,5.551115123125783e-13,279.39407933953044,9.87028753733506,0.06425216996112992,0.003400260723966368,0.012047529220581055
