mode,seed,outer,loss,wall_s
data,2,0,0.019202285313014503,76.2
data,2,1,0.009080371837364945,71.5
data,2,2,0.005617863119056914,93.5
data,2,3,0.003786090932642152,85.7
data,2,4,0.0023561530842028874,140.3
data,2,5,0.0014924011507504713,136.7
data,2,6,0.0010386053107845064,141.3
data,2,7,0.0007441592683097148,139.2
data,2,8,0.0005582681309596659,140.9
data,2,9,0.0004495340195372983,139.4
data,2,10,0.0003717885630009735,138.2
data,2,11,0.000314864702958938,151.3
data,2,12,0.0002678098680538303,147.2
data,2,13,0.00023219138845498533,150.2
data,2,14,0.00020292893050439576,143.5
data,2,15,0.00017962607056149288,171.7
data,2,16,0.0001618451883906891,171.2
data,2,17,0.00014684621370824593,143.6
data,2,18,0.00013557556672486322,169.2
data,2,19,0.0001259383655493774,48.0
data,2,20,0.00011737899613087225,34.3
data,2,21,0.00010969396745390093,19.3
data,2,22,0.00010282401502176908,17.0
data,2,23,9.652136589092724e-05,17.2
data,2,24,9.097840779013327e-05,32.1
data,2,25,8.491231687152884e-05,16.7
data,2,26,8.046412982550699e-05,14.2
data,2,27,7.629939510259606e-05,13.5
data,2,28,7.212684859866312e-05,43.6
data,2,29,6.910902254995326e-05,75.8
data,2,30,6.606323189385948e-05,7.7
data,2,31,6.347099925088408e-05,8.2
data,2,32,6.0965109685065314e-05,25.5
data,2,33,5.8297161482851235e-05,13.2
data,2,34,5.579080798626665e-05,52.3
data,2,35,5.3216057442320574e-05,47.5
data,2,36,5.0821552721826865e-05,14.1
data,2,37,4.8522893978296244e-05,19.5
data,2,38,4.64440609142879e-05,56.3
data,2,39,4.480149870218291e-05,64.5
data,2,40,4.309977565611329e-05,48.7
data,2,41,4.1510744432848374e-05,43.2
data,2,42,3.994370503690527e-05,61.3
data,2,43,3.843596256933353e-05,35.4
data,2,44,3.7063721658937877e-05,37.7
data,2,45,3.5920544190543825e-05,16.4
data,2,46,3.477455170710867e-05,11.4
data,2,47,3.366773125866836e-05,23.7
data,2,48,3.267847896229719e-05,32.5
