row,arm,0.05-0.2 mm,0.5-2 mm,5-20 mm,50-200 mm,500-2000 mm,full crossing
q=2,physics,1.5e-05 [1.25e-05-1.71e-05],0.00156 [0.00127-0.00186],0.154 [0.125-0.167],11 [8.15-13.2],487 [389-540],9.71e+03 [9.56e+03-9.74e+03]
q=2,twin,5.4e-07 [5.34e-07-5.67e-07],5.32e-05 [4.71e-05-6.3e-05],0.00581 [0.00579-0.00631],0.776 [0.768-1.02],143 [143-163],906 [885-1.16e+03]
q=4,physics,1.19e-05 [8.15e-06-1.43e-05],0.00127 [0.000828-0.00142],0.133 [0.083-0.152],10.6 [6.5-11.1],385 [361-394],3.59e+03 [3.57e+03-3.71e+03]
q=4,twin,8.84e-07 [7.78e-07-1.02e-06],5.92e-05 [5.72e-05-7.34e-05],0.0067 [0.00629-0.00816],0.977 [0.924-1.26],169 [165-188],1.32e+03 [1.05e+03-1.83e+03]
q=6,physics,1.28e-05 [7.05e-06-1.78e-05],0.00133 [0.000723-0.00187],0.127 [0.0772-0.18],9.38 [7.15-12],380 [349-423],807 [759-917]
q=6,twin,8.03e-07 [5.63e-07-1.12e-06],6.49e-05 [5.02e-05-7.68e-05],0.0063 [0.00586-0.00801],1.03 [0.797-1.05],172 [138-177],919 [897-1.21e+03]
q=8,physics,1.98e-05 [1.62e-05-2.17e-05],0.00214 [0.00177-0.00236],0.216 [0.152-0.233],13.8 [12.1-20.8],366 [347-386],759 [704-801]
q=8,twin,6.79e-07 [6.47e-07-9.04e-07],7.44e-05 [6.67e-05-7.55e-05],0.0075 [0.00673-0.00778],0.968 [0.894-1.05],182 [162-188],1.12e+03 [1.12e+03-1.33e+03]
q=10,physics,2.27e-05 [1.17e-05-2.58e-05],0.00244 [0.00121-0.00271],0.247 [0.125-0.268],19 [9.84-23.2],363 [335-367],815 [648-849]
q=10,twin,9.47e-07 [9.28e-07-1.09e-06],7.8e-05 [5.35e-05-0.000101],0.00882 [0.005-0.0106],1.2 [0.767-1.33],217 [166-248],1.34e+03 [945-2.2e+03]
q=12,physics,1.23e-05 [7.38e-06-1.72e-05],0.00126 [0.000773-0.00182],0.135 [0.0753-0.179],11.6 [8.58-15],319 [309-321],791 [707-804]
q=12,twin,9.18e-07 [8.62e-07-9.22e-07],7.06e-05 [6.38e-05-8.95e-05],0.00738 [0.00686-0.00851],0.976 [0.891-1.03],178 [151-182],1.15e+03 [1.05e+03-1.61e+03]
q=14,physics,1.24e-05 [8.64e-06-1.61e-05],0.00125 [0.000874-0.00172],0.129 [0.0942-0.171],11.7 [7.8-13.2],338 [335-373],794 [745-855]
q=14,twin,1.08e-06 [7.37e-07-1.11e-06],8.3e-05 [6.04e-05-9.11e-05],0.00904 [0.00599-0.00961],1.07 [0.82-1.11],184 [146-214],1.59e+03 [1.07e+03-1.88e+03]
q=16,physics,1.14e-05 [8.02e-06-2.86e-05],0.00125 [0.000851-0.00293],0.11 [0.0858-0.296],8.88 [8.09-16.3],318 [288-345],780 [741-861]
q=16,twin,1.28e-06 [6.67e-07-1.78e-06],8.89e-05 [7.78e-05-9.47e-05],0.00861 [0.00691-0.00952],0.996 [0.986-1.18],178 [176-187],1.24e+03 [1.09e+03-1.35e+03]
q=18,physics,1.32e-05 [1.01e-05-1.5e-05],0.00139 [0.00103-0.00152],0.139 [0.11-0.158],11.8 [7.96-12.8],333 [324-394],788 [747-847]
q=18,twin,1.12e-06 [7.24e-07-1.23e-06],7.33e-05 [6.78e-05-7.85e-05],0.00791 [0.00713-0.00805],1.06 [0.898-1.1],206 [163-207],1.3e+03 [1.21e+03-1.53e+03]
q=20,physics,1.14e-05 [8.72e-06-2.36e-05],0.00113 [0.00091-0.00246],0.122 [0.0906-0.256],11.3 [8.8-22],355 [311-365],734 [710-750]
q=20,twin,1.09e-06 [9.59e-07-1.15e-06],8.17e-05 [6.92e-05-9.12e-05],0.00823 [0.00743-0.00848],1.05 [0.973-1.26],205 [199-208],1.26e+03 [1.04e+03-1.54e+03]
exact scheme q=2,exact scheme,1.42e-11,2.34e-10,3.18e-09,0.00321,12.8,9.26e+03
exact scheme q=4,exact scheme,1.42e-11,2.35e-10,3.07e-09,0.000749,1.22,3.62e+03
exact scheme q=6,exact scheme,1.42e-11,2.34e-10,3.07e-09,0.000348,0.825,233
exact scheme q=8,exact scheme,1.42e-11,2.34e-10,3.05e-09,0.000201,0.696,32.6
exact scheme q=10,exact scheme,1.42e-11,2.31e-10,3.04e-09,0.000137,0.504,32.5
exact scheme q=12,exact scheme,1.42e-11,2.34e-10,3.02e-09,9.71e-05,0.396,41.5
exact scheme q=14,exact scheme,1.42e-11,2.34e-10,3.04e-09,6.5e-05,0.304,20.4
exact scheme q=16,exact scheme,1.42e-11,2.34e-10,3.01e-09,5.34e-05,0.219,36.1
exact scheme q=18,exact scheme,1.42e-11,2.27e-10,3e-09,4.21e-05,0.167,38.6
exact scheme q=20,exact scheme,1.42e-11,2.34e-10,2.98e-09,3.41e-05,0.146,23.6
straight line,straight line,0.000131,0.0139,1.42,141,1.6e+04,4.56e+05
median |dz| [mm],note,0.101,1,10.1,99.8,999,5.18e+03
fine reference floor [um],note,5e-05 over a whole crossing; far lower per short step,,,,,
