row,arm,direction,0.05-0.2 mm,0.5-2 mm,5-20 mm,50-200 mm,500-2000 mm,full crossing
q=2,physics,forward,6.9e-06 [6.57e-06-8.29e-06],0.000691 [0.000667-0.000905],0.0803 [0.0713-0.0909],8.42 [6.86-8.7],514 [510-543],5.4e+03 [5.3e+03-5.46e+03]
q=2,physics,backward,7.03e-06 [6.31e-06-8.68e-06],0.000734 [0.000688-0.000908],0.0718 [0.0702-0.0882],7.5 [6.81-8.87],466 [465-513],2.53e+04 [2.51e+04-2.55e+04]
q=2,twin,forward,5.25e-07 [4.97e-07-5.86e-07],5.74e-05 [5.57e-05-6.27e-05],0.00677 [0.00564-0.00717],1.36 [1.12-1.43],263 [260-269],1.61e+03 [1.57e+03-1.71e+03]
q=2,twin,backward,5.54e-07 [5.38e-07-6.14e-07],5.73e-05 [5.64e-05-6.18e-05],0.00609 [0.00604-0.007],1.27 [1.25-1.3],280 [275-341],2.05e+03 [1.97e+03-2.23e+03]
q=4,physics,forward,6.95e-06 [5.9e-06-8.57e-06],0.000754 [0.000618-0.000909],0.0785 [0.062-0.0982],7.38 [6.99-11.2],440 [425-508],5.3e+03 [5.14e+03-5.47e+03]
q=4,physics,backward,7.38e-06 [5.79e-06-8.58e-06],0.000801 [0.000587-0.000922],0.0771 [0.0662-0.0865],8.19 [7.34-8.73],476 [422-531],3.02e+03 [2.94e+03-3.37e+03]
q=4,twin,forward,5.01e-07 [4.91e-07-5.83e-07],4.9e-05 [4.54e-05-5.92e-05],0.00545 [0.00532-0.00754],1.11 [1.03-1.6],271 [241-273],1.15e+03 [1.13e+03-1.63e+03]
q=4,twin,backward,4.73e-07 [4.68e-07-5.86e-07],5.41e-05 [5.13e-05-6.57e-05],0.00511 [0.00493-0.00643],1.03 [0.98-1.3],286 [215-287],1.9e+03 [1.82e+03-2.28e+03]
q=6,physics,forward,8.46e-06 [8.14e-06-8.84e-06],0.000908 [0.00083-0.000959],0.086 [0.0802-0.0989],9.07 [6.84-10.5],469 [406-502],1.11e+03 [1.07e+03-1.25e+03]
q=6,physics,backward,8.42e-06 [8.32e-06-8.97e-06],0.000833 [0.000798-0.000918],0.0927 [0.083-0.0934],9.19 [8.73-13],476 [416-498],1.05e+03 [1.03e+03-1.1e+03]
