row,arm,direction,0.05-0.2 mm,0.5-2 mm,5-20 mm,50-200 mm,500-2000 mm,full crossing
q=2,physics,forward,2.1e-05 [1.52e-05-3.5e-05],0.00231 [0.00146-0.00378],0.236 [0.138-0.371],8.78 [8.56-15],221 [210-241],5.16e+03 [5.09e+03-5.45e+03]
q=2,physics,backward,2.2e-05 [1.41e-05-3.57e-05],0.00222 [0.00151-0.00358],0.212 [0.194-0.363],16.5 [15.8-26.6],294 [293-301],2.5e+04 [2.5e+04-2.53e+04]
q=2,twin,forward,3.29e-06 [2.64e-06-3.68e-06],0.00022 [0.000197-0.000312],0.0261 [0.0186-0.0288],3.47 [2.28-3.57],566 [500-780],5.83e+03 [4.06e+03-6.53e+03]
q=2,twin,backward,2.98e-06 [2.37e-06-3.32e-06],0.000223 [0.000178-0.000282],0.026 [0.0221-0.0271],2.77 [2.27-3.17],508 [444-629],4.79e+03 [3.92e+03-7.58e+03]
q=4,physics,forward,4.16e-05 [1.69e-05-4.88e-05],0.00429 [0.00194-0.00509],0.441 [0.197-0.507],19.8 [12.4-27.3],227 [218-232],4.71e+03 [4.65e+03-4.77e+03]
q=4,physics,backward,4.14e-05 [1.81e-05-4.9e-05],0.00414 [0.00185-0.00508],0.423 [0.174-0.529],27.1 [10.4-28.1],256 [228-270],2.67e+03 [2.64e+03-2.83e+03]
q=4,twin,forward,2.94e-06 [9.64e-07-3.53e-06],0.000207 [7.8e-05-0.000323],0.026 [0.00874-0.0353],3.01 [1.22-4.31],784 [159-796],4.26e+03 [1.61e+03-6.01e+03]
q=4,twin,backward,3.19e-06 [8.69e-07-3.29e-06],0.000199 [7.57e-05-0.000264],0.029 [0.00828-0.0321],2.52 [1.28-3.25],409 [155-717],4.73e+03 [1.79e+03-5.93e+03]
q=6,physics,forward,1.66e-05 [1.3e-05-4.68e-05],0.00174 [0.00143-0.00496],0.155 [0.117-0.479],9.27 [6.37-18.8],241 [222-249],690 [684-814]
q=6,physics,backward,1.72e-05 [1.43e-05-4.54e-05],0.00166 [0.00151-0.0046],0.194 [0.174-0.442],19.7 [11.1-22],249 [245-264],780 [746-844]
