row,arm,direction,0.05-0.2 mm,0.5-2 mm,5-20 mm,50-200 mm,500-2000 mm,full crossing
q=2,physics,forward,1.38e-05 [1.23e-05-1.7e-05],0.00158 [0.00127-0.0019],0.147 [0.116-0.199],10.4 [8.86-15],470 [371-554],5.28e+03 [4.77e+03-5.32e+03]
q=2,physics,backward,1.6e-05 [1.26e-05-1.77e-05],0.00149 [0.00123-0.00181],0.141 [0.132-0.165],11.8 [6.63-13.7],497 [408-531],2.5e+04 [2.47e+04-2.53e+04]
q=2,twin,forward,5.53e-07 [5.4e-07-5.64e-07],5.28e-05 [4.63e-05-7.26e-05],0.00602 [0.00582-0.00629],0.859 [0.692-1.13],154 [149-179],928 [833-1.01e+03]
q=2,twin,backward,5.21e-07 [5.02e-07-5.75e-07],5.04e-05 [4.72e-05-5.35e-05],0.00566 [0.00547-0.00637],0.798 [0.714-0.912],137 [129-137],963 [873-1.35e+03]
q=4,physics,forward,1.2e-05 [7.93e-06-1.43e-05],0.00134 [0.000864-0.00146],0.145 [0.101-0.15],9.96 [8.6-15.4],350 [333-436],4.95e+03 [4.73e+03-5.04e+03]
q=4,physics,backward,1.19e-05 [8.32e-06-1.44e-05],0.00117 [0.000822-0.00138],0.117 [0.0709-0.16],7.23 [5.11-12],369 [363-445],2.65e+03 [2.52e+03-2.71e+03]
q=4,twin,forward,9.27e-07 [7.88e-07-1.15e-06],6.54e-05 [5.35e-05-7.33e-05],0.00614 [0.00611-0.00761],1.03 [0.916-1.32],176 [175-196],1.44e+03 [1.05e+03-1.71e+03]
q=4,twin,backward,8.6e-07 [7.36e-07-8.92e-07],6.39e-05 [5.46e-05-7.34e-05],0.00723 [0.00661-0.00884],1.08 [0.84-1.2],165 [159-178],1.2e+03 [1.06e+03-1.91e+03]
q=6,physics,forward,1.28e-05 [7.05e-06-1.74e-05],0.00135 [0.000741-0.00195],0.165 [0.0691-0.198],10.8 [6.62-20.4],369 [367-433],813 [695-918]
q=6,physics,backward,1.29e-05 [6.99e-06-1.79e-05],0.00127 [0.000703-0.00176],0.112 [0.0856-0.169],7.61 [7.28-7.89],402 [341-406],819 [801-917]
q=6,twin,forward,8.46e-07 [5.39e-07-1.17e-06],5.9e-05 [4.51e-05-7.53e-05],0.00614 [0.00535-0.00812],0.964 [0.758-1.03],172 [146-173],844 [779-1.18e+03]
q=6,twin,backward,7.53e-07 [5.88e-07-1.08e-06],7.23e-05 [5.84e-05-8.13e-05],0.00647 [0.00642-0.0079],1.06 [0.841-1.06],171 [129-179],1.01e+03 [968-1.24e+03]
q=8,physics,forward,2.02e-05 [1.62e-05-2.2e-05],0.00224 [0.0018-0.00246],0.223 [0.218-0.238],19.1 [10-24.6],346 [317-388],714 [668-762]
q=8,physics,backward,1.94e-05 [1.63e-05-2.12e-05],0.00201 [0.0017-0.00226],0.21 [0.128-0.227],15.5 [7.47-22.3],404 [314-407],852 [692-886]
q=8,twin,forward,6.9e-07 [6.76e-07-9.09e-07],7.63e-05 [7.38e-05-7.87e-05],0.00789 [0.00734-0.00795],1.05 [0.972-1.12],183 [176-194],1.19e+03 [1.12e+03-1.25e+03]
q=8,twin,backward,6.17e-07 [5.95e-07-8.9e-07],6.83e-05 [6.01e-05-7.52e-05],0.00679 [0.00644-0.00762],0.874 [0.831-0.94],178 [157-180],1.12e+03 [1.09e+03-1.39e+03]
q=10,physics,forward,2.32e-05 [1.16e-05-2.63e-05],0.00247 [0.00121-0.00279],0.252 [0.118-0.283],21.3 [12.1-30.7],366 [316-404],732 [590-823]
q=10,physics,backward,2.26e-05 [1.17e-05-2.54e-05],0.00239 [0.00122-0.00266],0.243 [0.133-0.251],16.9 [8.71-17.7],352 [322-358],865 [734-880]
q=10,twin,forward,9.69e-07 [9.47e-07-1.06e-06],7.6e-05 [4.79e-05-0.000104],0.00895 [0.00501-0.0106],1.21 [0.83-1.44],207 [157-252],1.29e+03 [776-2.18e+03]
q=10,twin,backward,9.5e-07 [9.12e-07-1.12e-06],8.16e-05 [6.02e-05-9.72e-05],0.00865 [0.00498-0.0106],1.15 [0.73-1.19],227 [169-240],1.4e+03 [1.2e+03-2.22e+03]
q=12,physics,forward,1.22e-05 [7.53e-06-1.73e-05],0.00129 [0.000819-0.00194],0.129 [0.101-0.204],15.2 [12-19.1],304 [281-338],706 [658-746]
q=12,physics,backward,1.26e-05 [7.1e-06-1.71e-05],0.00123 [0.000734-0.00172],0.14 [0.062-0.166],11 [5.05-11],311 [304-357],838 [772-919]
q=12,twin,forward,8.71e-07 [8.44e-07-9.21e-07],6.77e-05 [6.32e-05-8.07e-05],0.00704 [0.00662-0.00806],1.04 [0.957-1.04],189 [154-197],1.17e+03 [969-1.51e+03]
q=12,twin,backward,9.14e-07 [8.54e-07-9.6e-07],7.3e-05 [6.52e-05-0.000101],0.0076 [0.00697-0.00917],0.923 [0.803-1.03],168 [151-179],1.19e+03 [1.12e+03-1.72e+03]
q=14,physics,forward,1.24e-05 [8.91e-06-1.61e-05],0.00125 [0.000922-0.00183],0.119 [0.0927-0.202],8.02 [7.66-20.5],322 [301-328],778 [698-794]
q=14,physics,backward,1.22e-05 [8.39e-06-1.62e-05],0.00124 [0.000832-0.00166],0.141 [0.0961-0.147],8.08 [7.95-17.3],386 [339-424],808 [794-944]
q=14,twin,forward,1.16e-06 [6.91e-07-1.35e-06],7.29e-05 [6.67e-05-9.73e-05],0.00778 [0.00567-0.00938],0.955 [0.819-1.06],161 [155-246],1.56e+03 [1.05e+03-1.98e+03]
q=14,twin,backward,9.81e-07 [7.74e-07-1.01e-06],8.44e-05 [5.61e-05-0.000102],0.00865 [0.00636-0.0115],1.16 [0.82-1.16],195 [131-203],1.61e+03 [1.11e+03-1.72e+03]
q=16,physics,forward,1.15e-05 [8.12e-06-2.88e-05],0.00125 [0.000856-0.00296],0.121 [0.0948-0.298],13.2 [8.6-13.7],306 [260-325],686 [681-745]
q=16,physics,backward,1.13e-05 [8.02e-06-2.82e-05],0.00127 [0.000841-0.0029],0.102 [0.0782-0.296],7.61 [5.89-20.7],331 [321-373],929 [816-999]
q=16,twin,forward,1.4e-06 [7.33e-07-2.02e-06],7.32e-05 [5.88e-05-0.000103],0.00742 [0.00719-0.00919],1.03 [0.929-1.24],182 [178-192],1.11e+03 [884-1.53e+03]
q=16,twin,backward,1.15e-06 [6.41e-07-1.56e-06],8.77e-05 [7.97e-05-0.000124],0.00966 [0.00673-0.0098],1.06 [0.965-1.06],173 [173-177],1.28e+03 [1.21e+03-1.33e+03]
q=18,physics,forward,1.33e-05 [1.09e-05-1.5e-05],0.00146 [0.00102-0.00155],0.14 [0.0942-0.148],8.12 [6.24-14.5],317 [274-367],699 [644-765]
q=18,physics,backward,1.3e-05 [9.66e-06-1.51e-05],0.00132 [0.00104-0.0015],0.139 [0.13-0.175],11.4 [9.53-15.8],369 [344-428],892 [856-987]
q=18,twin,forward,1.15e-06 [7.59e-07-1.31e-06],7.56e-05 [7.01e-05-7.89e-05],0.00793 [0.0078-0.00805],1.05 [1.02-1.11],199 [168-217],1.24e+03 [1.18e+03-1.42e+03]
q=18,twin,backward,1.09e-06 [6.98e-07-1.19e-06],7.64e-05 [6.13e-05-7.94e-05],0.0078 [0.00647-0.00897],1.06 [0.791-1.1],201 [158-215],1.34e+03 [1.27e+03-1.72e+03]
q=20,physics,forward,1.14e-05 [8.73e-06-2.37e-05],0.00118 [0.000912-0.00252],0.111 [0.0936-0.24],11.1 [9.45-16.3],310 [296-352],641 [636-666]
q=20,physics,backward,1.17e-05 [8.68e-06-2.35e-05],0.00107 [0.000891-0.00239],0.133 [0.0892-0.279],11.4 [8.38-30.1],357 [312-428],874 [774-875]
q=20,twin,forward,1.15e-06 [9.51e-07-1.17e-06],7.41e-05 [6.42e-05-9.5e-05],0.00803 [0.00676-0.00871],1.08 [0.976-1.33],184 [180-210],1.3e+03 [976-1.54e+03]
q=20,twin,backward,1.03e-06 [9.66e-07-1.13e-06],8.46e-05 [7.39e-05-8.74e-05],0.00831 [0.0082-0.00857],1.03 [0.96-1.17],211 [189-237],1.23e+03 [1.14e+03-1.53e+03]
