row,arm,direction,0.05-0.2 mm,0.5-2 mm,5-20 mm,50-200 mm,500-2000 mm,full crossing
q=2,physics,forward,1.76e-05 [1.5e-05-2.44e-05],0.00187 [0.00152-0.00285],0.185 [0.177-0.258],16.1 [10.3-17.3],299 [271-308],5.17e+03 [5e+03-5.22e+03]
q=2,physics,backward,1.74e-05 [1.44e-05-2.52e-05],0.00175 [0.00145-0.00271],0.186 [0.117-0.282],19 [8.15-28.5],324 [297-362],2.52e+04 [2.51e+04-2.53e+04]
q=2,twin,forward,1.54e-06 [1.48e-06-2.13e-06],0.000133 [0.000123-0.000175],0.0165 [0.0144-0.0197],2.22 [2.15-3.09],330 [311-481],3.97e+03 [2.87e+03-4.29e+03]
q=2,twin,backward,1.43e-06 [1.29e-06-1.57e-06],0.00015 [0.000146-0.000175],0.0188 [0.0183-0.0202],2.18 [2.05-2.86],334 [302-351],3.22e+03 [2.86e+03-4.03e+03]
q=4,physics,forward,1.21e-05 [9.6e-06-1.21e-05],0.00124 [0.00101-0.00132],0.12 [0.105-0.131],8.93 [8.55-14],276 [254-285],4.88e+03 [4.74e+03-5.11e+03]
q=4,physics,backward,1.15e-05 [9.25e-06-1.2e-05],0.00117 [0.000961-0.00126],0.116 [0.105-0.14],9.27 [8.26-12.1],263 [263-268],2.8e+03 [2.68e+03-2.8e+03]
q=4,twin,forward,1.84e-06 [1.41e-06-2.98e-06],0.000155 [0.00014-0.000251],0.0203 [0.016-0.022],2.1 [2.02-2.6],432 [246-437],3.94e+03 [2.91e+03-6.54e+03]
q=4,twin,backward,1.49e-06 [1.18e-06-3.53e-06],0.000146 [0.000119-0.000191],0.0143 [0.0138-0.0236],2.21 [1.79-2.29],319 [277-526],3.73e+03 [3.53e+03-6.07e+03]
q=6,physics,forward,7.84e-06 [6.19e-06-2.47e-05],0.000821 [0.00067-0.00261],0.083 [0.0624-0.262],7.87 [6.23-15.4],276 [257-312],809 [775-875]
q=6,physics,backward,7.92e-06 [6.16e-06-2.42e-05],0.000798 [0.000639-0.0026],0.0845 [0.0697-0.255],10.5 [8.54-17.3],289 [285-318],702 [697-717]
q=6,twin,forward,2.43e-06 [1.34e-06-2.82e-06],0.000214 [0.000101-0.000236],0.02 [0.0126-0.0285],3.16 [1.73-4.44],478 [281-605],5.45e+03 [3.73e+03-6.48e+03]
q=6,twin,backward,2.45e-06 [9.8e-07-3.08e-06],0.000229 [0.000118-0.000273],0.0277 [0.00998-0.0277],2.6 [1.78-2.66],485 [271-549],6.41e+03 [3.7e+03-8.51e+03]
q=8,physics,forward,2.39e-05 [1.46e-05-2.48e-05],0.00254 [0.00157-0.00283],0.262 [0.158-0.263],16.1 [13.4-21.6],272 [269-302],797 [661-804]
q=8,physics,backward,2.35e-05 [1.4e-05-2.46e-05],0.0024 [0.00152-0.00259],0.226 [0.152-0.276],11.4 [10.1-18.8],290 [283-314],816 [645-907]
q=8,twin,forward,1.74e-06 [1.44e-06-4.29e-06],0.00017 [0.000158-0.000348],0.02 [0.0176-0.0284],2.5 [2.3-3.65],397 [325-1.07e+03],5.31e+03 [4.46e+03-5.58e+03]
q=8,twin,backward,1.8e-06 [1.37e-06-3.91e-06],0.000208 [0.000175-0.000336],0.024 [0.0163-0.0339],3.08 [2.17-3.32],465 [367-819],4.59e+03 [4.18e+03-1.19e+04]
q=10,physics,forward,1.86e-05 [8.26e-06-3.17e-05],0.00198 [0.000821-0.00343],0.185 [0.0818-0.307],11.2 [9.25-19.2],261 [237-274],675 [630-692]
q=10,physics,backward,1.85e-05 [8.6e-06-2.94e-05],0.00185 [0.000891-0.00312],0.217 [0.126-0.345],22.4 [13.3-35.8],303 [261-345],847 [729-878]
q=10,twin,forward,2.15e-06 [2.06e-06-2.43e-06],0.000219 [0.000143-0.000242],0.0185 [0.018-0.0253],2.45 [2.09-2.8],374 [322-550],4.97e+03 [4.18e+03-5.28e+03]
