row,arm,direction,0.05-0.2 mm,0.5-2 mm,5-20 mm,50-200 mm,500-2000 mm,full crossing
q=2,physics,forward,3.03e-05 [2.55e-05-3.42e-05],0.00291 [0.0029-0.00348],0.315 [0.304-0.343],36.4 [16.1-38],479 [433-683],5.66e+03 [5.53e+03-5.71e+03]
q=2,physics,backward,2.84e-05 [2.8e-05-3.36e-05],0.00315 [0.00281-0.00363],0.304 [0.299-0.428],31.9 [24-59.3],618 [610-750],2.55e+04 [2.47e+04-2.59e+04]
q=2,twin,forward,3.88e-06 [2.65e-06-4.84e-06],0.000427 [0.000335-0.000478],0.0373 [0.0295-0.0413],4.11 [4.09-4.99],1.24e+03 [1.23e+03-1.3e+03],6.51e+03 [5.29e+03-7.16e+03]
q=2,twin,backward,3.33e-06 [2.63e-06-4.01e-06],0.000371 [0.000299-0.000406],0.0358 [0.0305-0.0434],3.16 [2.71-3.16],881 [869-903],1e+04 [9.09e+03-1.2e+04]
q=4,physics,forward,1.46e-05 [1.21e-05-1.49e-05],0.00139 [0.00128-0.00161],0.14 [0.131-0.189],13.5 [8.73-29],486 [451-644],5.13e+03 [4.64e+03-5.16e+03]
q=4,physics,backward,1.45e-05 [1.31e-05-1.46e-05],0.00145 [0.00131-0.00156],0.133 [0.132-0.175],18.3 [14.9-21.8],548 [503-555],2.77e+03 [2.69e+03-3.12e+03]
q=4,twin,forward,4.6e-06 [2.81e-06-5.38e-06],0.0003 [0.000297-0.000335],0.0316 [0.0299-0.032],4.01 [3.75-4.32],1.24e+03 [1.22e+03-1.25e+03],6.85e+03 [6.14e+03-1e+04]
q=4,twin,backward,3.9e-06 [3.12e-06-4.1e-06],0.000424 [0.00027-0.000448],0.0405 [0.0324-0.0597],3.13 [2.79-3.86],887 [867-899],1.11e+04 [1.03e+04-1.19e+04]
q=6,physics,forward,1.4e-05 [1.11e-05-1.52e-05],0.00142 [0.00103-0.00166],0.141 [0.125-0.162],14.9 [14.8-20.3],540 [520-552],1.65e+03 [1.57e+03-1.81e+03]
q=6,physics,backward,1.46e-05 [1.07e-05-1.49e-05],0.00139 [0.00104-0.00156],0.165 [0.0993-0.2],29.8 [15.3-37.4],723 [701-735],1.52e+03 [1.2e+03-1.53e+03]
q=6,twin,forward,4.02e-06 [3.62e-06-4.04e-06],0.00037 [0.000361-0.000379],0.0345 [0.0325-0.0394],4.15 [3.49-4.74],1.23e+03 [1.05e+03-1.27e+03],7.46e+03 [5.55e+03-1.22e+04]
q=6,twin,backward,3.6e-06 [2.91e-06-3.95e-06],0.000345 [0.000309-0.000407],0.0324 [0.0275-0.0456],3.26 [2.92-4.7],857 [803-911],8.94e+03 [8.17e+03-1.12e+04]
q=8,physics,forward,1.14e-05 [7.57e-06-1.23e-05],0.00123 [0.00086-0.00133],0.126 [0.0893-0.138],15.9 [15.8-16.1],581 [560-777],1.45e+03 [1.42e+03-1.52e+03]
q=8,physics,backward,1.09e-05 [8.26e-06-1.32e-05],0.00115 [0.000753-0.00137],0.11 [0.0868-0.139],10 [9-11.8],646 [605-967],1.35e+03 [1.21e+03-1.6e+03]
q=8,twin,forward,3.5e-06 [3.02e-06-4.24e-06],0.000334 [0.000295-0.000473],0.0325 [0.031-0.0334],4.05 [3.68-4.29],1.24e+03 [1.19e+03-1.28e+03],6.73e+03 [6.3e+03-9.69e+03]
q=8,twin,backward,3.61e-06 [3.16e-06-3.7e-06],0.000408 [0.000276-0.000474],0.034 [0.0295-0.0386],3.37 [2.57-3.67],909 [898-910],1.15e+04 [9.53e+03-1.32e+04]
q=10,physics,forward,8.98e-06 [8.15e-06-3.39e-05],0.00102 [0.000826-0.00353],0.0928 [0.0799-0.443],8.16 [6.61-47],601 [514-686],1.55e+03 [1.2e+03-1.68e+03]
q=10,physics,backward,9.83e-06 [8.58e-06-3.25e-05],0.000988 [0.000873-0.00347],0.107 [0.102-0.301],14.8 [13.5-16.9],680 [668-776],1.4e+03 [1.26e+03-1.61e+03]
q=10,twin,forward,3.07e-06 [3.06e-06-3.6e-06],0.000311 [0.000309-0.000376],0.0331 [0.0329-0.0332],4.41 [4.17-4.9],1.27e+03 [1.25e+03-1.28e+03],5.94e+03 [5.9e+03-8.47e+03]
q=10,twin,backward,3.28e-06 [3.27e-06-3.29e-06],0.000307 [0.000303-0.00032],0.0367 [0.0321-0.037],3.38 [3.31-3.47],903 [852-908],1.16e+04 [9.65e+03-1.19e+04]
q=12,physics,forward,5.91e-06 [4.6e-06-8.19e-06],0.000597 [0.000453-0.00084],0.0731 [0.044-0.0866],9.22 [4.6-11.7],469 [455-663],1.69e+03 [1.39e+03-1.84e+03]
q=12,physics,backward,5.62e-06 [4.4e-06-8.02e-06],0.000563 [0.00042-0.000859],0.0501 [0.0469-0.0906],6.57 [6-12.3],530 [524-754],1.46e+03 [1.05e+03-1.68e+03]
q=12,twin,forward,2.75e-06 [2.59e-06-2.88e-06],0.000304 [0.000283-0.000326],0.0341 [0.0295-0.0352],4.2 [3.93-4.26],1.25e+03 [1.24e+03-1.26e+03],5.65e+03 [5.05e+03-6.84e+03]
q=12,twin,backward,3.25e-06 [2.65e-06-3.74e-06],0.000295 [0.000239-0.000299],0.0335 [0.0293-0.0357],3.1 [2.52-3.39],892 [885-900],1.1e+04 [1.04e+04-1.16e+04]
