arch,mode,q,stratum,n_parameters,multiply_adds,median_um,straight_um,gain_over_straight,gain_per_kparam
2x128,data,2,0.05-0.2 mm,19084,18816,1.188411147268198e-06,0.0001305794636863311,109.87734673012305,5.757563756556437
2x128,data,2,0.5-2 mm,19084,18816,0.0001220840957216751,0.013896570703053612,113.82785465139322,5.9645700404209405
2x128,data,2,5-20 mm,19084,18816,0.013508333950085216,1.4150646893398289,104.75493828984752,5.489149983748035
2x128,data,2,50-200 mm,19084,18816,2.3597312961300965,141.05070694597543,59.7740544346279,3.1321554409257963
2x128,data,2,500-2000 mm,19084,18816,369.77717443848235,15985.931709538963,43.231256049846984,2.265314192509274
2x128,data,2,all,19084,18816,0.18145061639529558,12.07131072872647,66.52670003847636,3.4859935044265544
2x128,data,2,full crossing,19084,18816,3464.2356725362424,456075.1746171858,131.65246759418167,6.898578264209897
2x128,data,4,0.05-0.2 mm,20116,19840,1.027245843943092e-06,0.0001305794636863311,127.11607883960933,6.319152855419036
2x128,data,4,0.5-2 mm,20116,19840,0.00010243899595252515,0.013896570703053612,135.65703737953376,6.74373818748925
2x128,data,4,5-20 mm,20116,19840,0.012567989692513493,1.4150646893398289,112.59276335838781,5.597174555497506
2x128,data,4,50-200 mm,20116,19840,2.0592096983875763,141.05070694597543,68.49749545003718,3.405125047227937
2x128,data,4,500-2000 mm,20116,19840,401.56330782139804,15985.931709538963,39.80924401750613,1.978984093135123
2x128,data,4,all,20116,19840,0.16126158588880557,12.07131072872647,74.85546332807355,3.7211902628789795
2x128,data,4,full crossing,20116,19840,3317.95164281138,456075.1746171858,137.45684799394553,6.833209782956131
2x128,data,6,0.05-0.2 mm,21148,20864,1.0947474038403016e-06,0.0001305794636863311,119.27816702580611,5.640162995356824
2x128,data,6,0.5-2 mm,21148,20864,0.00010366159131081076,0.013896570703053612,134.05708447391308,6.338995861259366
2x128,data,6,5-20 mm,21148,20864,0.014227473239675215,1.4150646893398289,99.46001412209523,4.703045872994856
2x128,data,6,50-200 mm,21148,20864,2.307988956747664,141.05070694597543,61.11411691706665,2.889829625357795
2x128,data,6,500-2000 mm,21148,20864,371.96879680031714,15985.931709538963,42.976539556678574,2.032179854202694
2x128,data,6,all,21148,20864,0.1775577538012385,12.07131072872647,67.98526378205551,3.214737269815373
2x128,data,6,full crossing,21148,20864,3553.676574789435,456075.1746171858,128.33896529939827,6.068610048203058
2x128,data,8,0.05-0.2 mm,22180,21888,1.0940759409550083e-06,0.0001305794636863311,119.35137114188761,5.38103566915634
2x128,data,8,0.5-2 mm,22180,21888,0.00011758714890675037,0.013896570703053612,118.18103281060033,5.328270189837706
2x128,data,8,5-20 mm,22180,21888,0.013668223143525893,1.4150646893398289,103.52952790429751,4.66769738071675
2x128,data,8,50-200 mm,22180,21888,2.398655341585343,141.05070694597543,58.80407430804578,2.651220663121992
