mode,stratum,best_arch,best_q,best_um,best_n_parameters,best_depth2_um,best_depth4_um,best_depth8_um,depth8_over_best,median_over_all_cells_um
physics,0.05-0.2 mm,2x32,12,5.753449272560829e-06,3028,5.753449272560829e-06,7.863313555844798e-06,1.2571447882692155e-05,2.1850280218246665,1.534308058381839e-05
physics,0.5-2 mm,2x32,12,0.0005797818403152633,3028,0.0005797818403152633,0.0008021150676995603,0.001329975859221122,2.2939246570708938,0.0015989308679298375
physics,5-20 mm,2x32,12,0.06091208552660987,3028,0.06091208552660987,0.08410157121829798,0.14159717028405794,2.3246153708232535,0.16194722216056334
physics,50-200 mm,2x256,2,7.418751099038445,70924,7.418751099038445,8.176372583676539,7.431962869475228,1.0017808618001074,12.514509357661296
physics,500-2000 mm,8x64,18,191.81518095727768,34572,448.2691096382183,267.26736948071306,191.81518095727768,1.0,306.66038854118585
physics,full crossing,8x256,18,592.8953919292042,482124,847.7004882055326,717.6798903166634,592.8953919292042,1.0,878.6624262484022
data,0.05-0.2 mm,2x256,8,4.306528467168391e-07,77092,4.306528467168391e-07,5.404743319559202e-07,2.2685213707518415e-06,5.267633519774291,2.902659446135658e-06
data,0.5-2 mm,2x256,8,4.471164771757685e-05,77092,4.471164771757685e-05,5.3174098013641924e-05,0.00018351701669416798,4.1044565803828466,0.0002465485700042791
data,5-20 mm,2x256,8,0.005133316477667904,77092,0.005133316477667904,0.005805712137804675,0.020415324144096303,3.9770242557441353,0.025485308164263643
data,50-200 mm,4x256,2,0.7761009444493538,202508,1.0388446692957132,0.7761009444493538,2.433051878071524,3.134968325283745,3.086953568217865
data,500-2000 mm,4x128,4,131.4594488545522,53140,257.8049817916366,131.4594488545522,425.9970168734455,3.240520332203523,564.1249671010771
data,full crossing,4x256,2,905.7643384795568,202508,1457.7167266206175,905.7643384795568,4170.147581021944,4.604009457937015,5781.521059979155
