arch,mode,stratum,q2,q4,q_best,best_um,worst_um,spread_over_q,seed_spread_within_cell,q_matters,plateau_from_q,scheme_q2_um,scheme_q8_um,straight_um
2x128,physics,0.05-0.2 mm,1.4114789337327238e-05,1.0588422583168722e-05,6,1.019459361373265e-05,1.4114789337327238e-05,1.3845367331086038,1.796761070696169,False,2,1.4210854715202004e-11,1.4210854715202004e-11,0.0001305794636863311
2x128,physics,0.5-2 mm,0.0014454834058597044,0.0011316231578462066,6,0.0010928680893584897,0.0014454834058597044,1.3226513061683398,1.800732743950682,False,2,2.3447910280083306e-10,2.3447910280083306e-10,0.013896570703053612
2x128,physics,5-20 mm,0.14511867171052018,0.12016616585697193,6,0.10699319035056831,0.14511867171052018,1.3563355876671392,1.7595927800382125,False,2,3.183231456205249e-09,3.04822833641083e-09,1.4150646893398289
2x128,physics,50-200 mm,13.756181474363416,13.830105541348559,6,11.398729688721687,16.261386436764113,1.4265963735286848,1.5046233954653903,False,2,0.0032110356933401363,0.00020070312167774773,141.05070694597543
2x128,physics,500-2000 mm,481.2351585118753,480.2925587039937,10,448.2691096382183,481.2351585118753,1.0735407552402232,1.1352149310244415,False,2,12.785494020459254,0.6958437800790307,15985.931709538963
2x128,physics,full crossing,9855.79744986238,3859.5415205228464,16,847.7004882055326,9855.79744986238,11.626509111402981,1.0896823148888748,True,6,9255.981777696734,32.62632016858902,456075.1746171858
2x128,data,0.05-0.2 mm,1.188411147268198e-06,1.027245843943092e-06,4,1.027245843943092e-06,1.5413377241202397e-06,1.5004565199347037,1.330972227575257,False,2,1.4210854715202004e-11,1.4210854715202004e-11,0.0001305794636863311
2x128,data,0.5-2 mm,0.0001220840957216751,0.00010243899595252515,4,0.00010243899595252515,0.00017481733038948732,1.7065506037418168,1.3858321914961893,False,2,2.3447910280083306e-10,2.3447910280083306e-10,0.013896570703053612
2x128,data,5-20 mm,0.013508333950085216,0.012567989692513493,4,0.012567989692513493,0.01960989303029237,1.5603046716352418,1.357204093893733,False,2,3.183231456205249e-09,3.04822833641083e-09,1.4150646893398289
2x128,data,50-200 mm,2.3597312961300965,2.0592096983875763,4,2.0592096983875763,3.114447928041386,1.5124481642059542,1.3889358420643987,False,2,0.0032110356933401363,0.00020070312167774773,141.05070694597543
2x128,data,500-2000 mm,369.77717443848235,401.56330782139804,2,369.77717443848235,447.62688880149426,1.2105314220144308,1.2313628832882197,False,2,12.785494020459254,0.6958437800790307,15985.931709538963
2x128,data,full crossing,3464.2356725362424,3317.95164281138,4,3317.95164281138,5154.542832696535,1.553531632645787,1.2670161688658985,False,2,9255.981777696734,32.62632016858902,456075.1746171858
2x256,physics,0.05-0.2 mm,6.948653208382893e-06,7.243585287142196e-06,2,6.948653208382893e-06,1.0714501286201994e-05,1.5419536656795536,1.3699727570839129,False,2,1.4210854715202004e-11,1.4210854715202004e-11,0.0001305794636863311
2x256,physics,0.5-2 mm,0.000694604921136488,0.0007826080707928895,2,0.000694604921136488,0.001122541519293918,1.6160863321516,1.4039341804802628,False,2,2.3447910280083306e-10,2.3447910280083306e-10,0.013896570703053612
2x256,physics,5-20 mm,0.07550868011207967,0.077469425033172,2,0.07550868011207967,0.11570072364008865,1.5322837515945291,1.413271974882993,False,2,3.183231456205249e-09,3.04822833641083e-09,1.4150646893398289
