arch,mode,q,stratum,forward_um,backward_um,backward_over_forward
2x32,physics,16,50-200 mm,8.827669526596083,10.286499336885413,1.165256504663451
2x32,physics,16,500-2000 mm,658.6880853172943,677.923387913971,1.0292024450198018
2x32,physics,16,full crossing,1629.6333416921698,1561.0195954173207,0.9578962061468365
2x32,physics,18,0.05-0.2 mm,1.0965919727823348e-05,1.1879507155754254e-05,1.0833115188334728
2x32,physics,18,0.5-2 mm,0.0012039880274983261,0.0011684744123385826,0.9705033485810199
2x32,physics,18,5-20 mm,0.11255616062300078,0.13043810866064653,1.158871339770909
2x32,physics,18,50-200 mm,9.977838141722373,10.84713229667722,1.0871224951344811
2x32,physics,18,500-2000 mm,824.8634411825577,780.9673645262194,0.9467838257040376
2x32,physics,18,full crossing,1605.2538898337616,1490.493210455938,0.9285093279607576
2x32,physics,20,0.05-0.2 mm,7.956828085298184e-06,8.378862048630253e-06,1.053040477789367
2x32,physics,20,0.5-2 mm,0.0008346366442424369,0.0008555348358640913,1.0250386701396543
2x32,physics,20,5-20 mm,0.08851982724422669,0.08766475517063554,0.9903403327795478
2x32,physics,20,50-200 mm,9.254517523707761,12.487078723708578,1.349295486417288
2x32,physics,20,500-2000 mm,740.6852981957712,896.3659803372508,1.2101846526732754
2x32,physics,20,full crossing,1983.3017207472494,1559.6041317096194,0.7863675583975225
2x32,data,2,0.05-0.2 mm,3.88295973152708e-06,3.331876996526262e-06,0.8580766288853349
2x32,data,2,0.5-2 mm,0.0004272538980387708,0.00037052200951848135,0.8672173881134694
2x32,data,2,5-20 mm,0.03732988241011981,0.035794228985253085,0.958862623568018
2x32,data,2,50-200 mm,4.1109247861088605,3.155441245645818,0.7675745506967929
2x32,data,2,500-2000 mm,1239.826838583376,881.3130018556592,0.7108355573772269
2x32,data,2,full crossing,6514.6020729382635,10047.261145443003,1.5422678212656222
2x32,data,4,0.05-0.2 mm,4.596373059939651e-06,3.8984495631666505e-06,0.848157778389258
2x32,data,4,0.5-2 mm,0.0002995082024614959,0.00042399426547490293,1.4156349041205665
2x32,data,4,5-20 mm,0.03163449244425465,0.04052258427122979,1.280962049340209
2x32,data,4,50-200 mm,4.007592631786849,3.129296052236441,0.7808418518928143
2x32,data,4,500-2000 mm,1244.2202944019236,887.2814293500539,0.7131224537504877
2x32,data,4,full crossing,6851.92999882986,11115.371593081714,1.6222249198371765
2x32,data,6,0.05-0.2 mm,4.016442289866973e-06,3.6019969229528215e-06,0.896812816666195
2x32,data,6,0.5-2 mm,0.0003701559165847357,0.00034508470037053485,0.9322684979737138
