arch,q,stratum,physics_um,twin_um,physics_over_twin,pending
2x128,2,0.05-0.2 mm,1.4114789337327238e-05,1.188411147268198e-06,11.87702536262212,False
2x128,2,0.5-2 mm,0.0014454834058597044,0.0001220840957216751,11.840063173790373,False
2x128,2,5-20 mm,0.14511867171052018,0.013508333950085216,10.742899327685388,False
2x128,2,50-200 mm,13.756181474363416,2.3597312961300965,5.82955419412508,False
2x128,2,500-2000 mm,481.2351585118753,369.77717443848235,1.3014193189253642,False
2x128,2,full crossing,9855.79744986238,3464.2356725362424,2.8450135560917933,False
2x128,4,0.05-0.2 mm,1.0588422583168722e-05,1.027245843943092e-06,10.30758376449105,False
2x128,4,0.5-2 mm,0.0011316231578462066,0.00010243899595252515,11.046800559922042,False
2x128,4,5-20 mm,0.12016616585697193,0.012567989692513493,9.561287747439241,False
2x128,4,50-200 mm,13.830105541348559,2.0592096983875763,6.716220087822018,False
2x128,4,500-2000 mm,480.2925587039937,401.56330782139804,1.1960568840557808,False
2x128,4,full crossing,3859.5415205228464,3317.95164281138,1.163230190194262,False
2x128,6,0.05-0.2 mm,1.019459361373265e-05,1.0947474038403016e-06,9.312279323952438,False
2x128,6,0.5-2 mm,0.0010928680893584897,0.00010366159131081076,10.542652061762393,False
2x128,6,5-20 mm,0.10699319035056831,0.014227473239675215,7.5201821537926685,False
2x128,6,50-200 mm,11.398729688721687,2.307988956747664,4.938814657408227,False
2x128,6,500-2000 mm,477.5433495352175,371.96879680031714,1.2838263683487827,False
2x128,6,full crossing,968.1543904932681,3553.676574789435,0.27243739550232815,False
2x128,8,0.05-0.2 mm,1.1875644467806978e-05,1.0940759409550083e-06,10.854497410335926,False
2x128,8,0.5-2 mm,0.0012525043757705134,0.00011758714890675037,10.651711410774842,False
2x128,8,5-20 mm,0.1284372781853449,0.013668223143525893,9.396779437726742,False
2x128,8,50-200 mm,12.496471132912745,2.398655341585343,5.209781879147946,False
2x128,8,500-2000 mm,479.09944424311135,394.9856400244087,1.2129540816053583,False
2x128,8,full crossing,920.0039718950563,3542.6492905478144,0.2596937761662522,False
2x128,10,0.05-0.2 mm,1.2375707569844963e-05,1.2248904113221215e-06,10.103522286934126,False
2x128,10,0.5-2 mm,0.001323899923022509,0.0001295617932939308,10.218289584947616,False
2x128,10,5-20 mm,0.13055102516545958,0.013750457100059066,9.494304386790079,False
2x128,10,50-200 mm,13.787649627037268,2.5491484870485692,5.408727540623086,False
2x128,10,500-2000 mm,448.2691096382183,402.1062873719998,1.1148025378263036,False
2x128,10,full crossing,868.9102004139784,4158.935750746146,0.20892609371474155,False
2x128,12,0.05-0.2 mm,1.0882499346109853e-05,1.4949534943298204e-06,7.2794902231981595,False
2x128,12,0.5-2 mm,0.0011126424226404197,0.00015702687861107734,7.085681333551829,False
2x128,12,5-20 mm,0.11431124357841327,0.01722502902623546,6.636345483325786,False
2x128,12,50-200 mm,11.53728101113316,3.114447928041386,3.7044385642975657,False
2x128,12,500-2000 mm,479.1664187352467,445.1624322219168,1.076385570865914,False
2x128,12,full crossing,903.4509470763865,4434.012971948228,0.20375469192175724,False
2x128,14,0.05-0.2 mm,1.174348085442034e-05,1.2370691138130496e-06,9.492986869766,False
2x128,14,0.5-2 mm,0.0011361648901697663,0.00013756613981286137,8.259044643655427,False
2x128,14,5-20 mm,0.12128683790990635,0.01567953735559513,7.735358203450182,False
