outer,phase,loss,train_endpoint_med_um,val_endpoint_med_um,test_endpoint_med_um,val_endpoint_p95_um,test_endpoint_p95_um,val_slope_med_mrad,wall_s
0,stall,3.91559295265758e-06,338.93454506691967,348.638633085244,343.3771776969046,1115.2038247556304,983.6121826409989,0.12776270741113663,8.7
1,stall,9.960910904766546e-07,131.36552852745353,134.7569209449908,137.6517360835905,508.7376696391855,492.41924882916027,0.07587711073707426,9.1
2,stall,5.068204892905062e-07,78.57747981102392,78.94345643987322,82.20421715383708,391.5227659016578,385.3231178570542,0.05084726529651709,9.4
3,stall,3.0563088680094467e-07,65.65675254815062,65.6425924626376,65.7183589954542,323.36833240207164,326.87010820276294,0.039206398014617755,9.7
4,stall,2.1123370218964184e-07,49.527665026559475,50.1522641335157,51.77898821246707,280.9391020442545,278.2944104121448,0.03176167729476709,9.8
5,stall,1.534071860392716e-07,38.83399907874008,38.35030602185441,37.947317988386686,229.8887888345273,227.34189317874612,0.02684356016630085,9.9
6,stall,1.2603765750315153e-07,36.415035930325246,35.93719086637748,35.825305810821106,205.40661491197898,198.04645940245044,0.024071475468710052,10.7
7,stall,1.2471796459280558e-07,36.33087140368474,35.6742444124265,35.383902507195586,206.2023548013313,197.09380350733676,0.02393741370324519,10.2
8,stall,1.238362920834219e-07,36.12898754778371,35.56330544853381,35.34904272200379,208.05190995471645,196.03917659678848,0.02400894785906972,10.2
9,stall,1.2312632001624899e-07,35.68499786910273,35.55999053568826,35.16308601929552,207.76253622406216,196.5835556697613,0.023963804708300104,10.2
10,stall,1.2251620174768244e-07,35.52839993965051,35.499473835784556,35.0965180999907,206.41948162610777,196.17122693511106,0.024041070518551755,10.2
11,stall,1.2197487058783098e-07,35.32340963428426,35.33990675265386,34.94507150369941,205.4475575831531,195.50832658465117,0.024008627921720538,10.2
12,stall,1.214851333695373e-07,35.12524795337413,35.24735581015648,34.92469176171653,206.71573563956278,194.80441167858945,0.02387621690412567,10.2
13,stall,1.2103601298527846e-07,35.140581536929005,35.368794804753634,34.95303646766956,206.49792229484112,194.47484275298734,0.02391947164261804,10.2
14,stall,1.2061987659267865e-07,34.99443139968861,35.17597814806095,34.958748868007206,206.23997563026913,194.60914264274726,0.023859378980042867,10.2
