mode,seed,phase,outer,loss,wall_s
physics,0,stall,0,1.3804575491628243e-08,15.7
physics,0,stall,1,1.3182365743736289e-08,17.6
physics,0,stall,2,1.2862976223379926e-08,17.2
physics,0,stall,3,1.2626424693290916e-08,16.7
physics,0,stall,4,1.2433658270772375e-08,16.6
physics,0,stall,5,1.2270751459358178e-08,16.5
physics,0,stall,6,1.2124478695751918e-08,16.7
physics,0,stall,7,1.1996115608537173e-08,16.6
physics,0,stall,8,1.187833273112773e-08,16.5
physics,0,stall,9,1.1772589269739146e-08,16.3
physics,0,confirm,10,1.1638941980225825e-08,15.9
physics,0,confirm,11,1.1549855809787293e-08,15.9
physics,0,confirm,12,1.1466334050823661e-08,15.8
physics,0,stall,13,1.1410773582431428e-08,16.0
physics,0,stall,14,1.1355183780854634e-08,16.1
physics,0,confirm,15,1.1307141267133201e-08,16.9
physics,0,confirm,16,1.124844567136119e-08,16.6
