mode,seed,phase,outer,loss,wall_s
physics,0,stall,0,3.5938672155698496e-08,10.9
physics,0,stall,1,1.8754331141644562e-08,12.5
physics,0,stall,2,1.8129703803744338e-08,12.4
physics,0,stall,3,1.7742816477597327e-08,12.1
physics,0,stall,4,1.74581836823175e-08,11.9
physics,0,stall,5,1.7229669067020413e-08,11.8
physics,0,stall,6,1.7041694995399622e-08,11.6
physics,0,stall,7,1.6880213658407827e-08,11.8
physics,0,stall,8,1.6728765913434237e-08,12.1
physics,0,confirm,9,1.6688624285503665e-08,11.1
physics,0,confirm,10,1.6652115702780066e-08,10.9
