mode,kind,lo,hi,n,share_pct,tracks_pct
blockE,momentum,1.0,2.0,57,0.13900080939331852,0.7125
blockE,momentum,2.0,5.0,2780,97.49747027204768,34.75
blockE,momentum,5.0,10.0,2440,0.8435094291652213,30.5
blockE,momentum,10.0,20.0,1655,1.4572311794786772,20.6875
blockE,momentum,20.0,50.0,904,0.05187104246934665,11.3
blockE,momentum,50.0,100.0,147,0.008774482434537092,1.8375
blockE,momentum,100.0,200.0,17,0.0021427850112213996,0.21250000000000002
blockE,quarter_of_z,1,1,2000,0.5557339912034762,25.0
blockE,quarter_of_z,2,2,2000,88.45123188443745,25.0
blockE,quarter_of_z,3,3,2000,4.839050132134994,25.0
blockE,quarter_of_z,4,4,2000,6.153983992224087,25.0
full,momentum,1.0,2.0,57,0.058377658673485974,0.7125
full,momentum,2.0,5.0,2780,29.23534752863614,34.75
full,momentum,5.0,10.0,2440,6.179063249755042,30.5
full,momentum,10.0,20.0,1655,32.662209731772904,20.6875
full,momentum,20.0,50.0,904,25.157519608714786,11.3
full,momentum,50.0,100.0,147,5.307569001138197,1.8375
full,momentum,100.0,200.0,17,1.3999132213094445,0.21250000000000002
full,quarter_of_z,1,1,2000,21.236625199335403,25.0
full,quarter_of_z,2,2,2000,71.80235282386484,25.0
full,quarter_of_z,3,3,2000,5.21384236638106,25.0
full,quarter_of_z,4,4,2000,1.7471796104186907,25.0
no_lever,momentum,1.0,2.0,57,0.04982935219621617,0.7125
no_lever,momentum,2.0,5.0,2780,24.2257138169995,34.75
no_lever,momentum,5.0,10.0,2440,7.633970772686356,30.5
no_lever,momentum,10.0,20.0,1655,38.68454615293375,20.6875
no_lever,momentum,20.0,50.0,904,22.98010008093386,11.3
no_lever,momentum,50.0,100.0,147,5.109366874151644,1.8375
no_lever,momentum,100.0,200.0,17,1.3164729500986736,0.21250000000000002
no_lever,quarter_of_z,1,1,2000,9.690051878581311,25.0
no_lever,quarter_of_z,2,2,2000,58.532576388525094,25.0
no_lever,quarter_of_z,3,3,2000,10.560496834269099,25.0
no_lever,quarter_of_z,4,4,2000,21.21687489862449,25.0
no_track,momentum,1.0,2.0,57,0.10657747629377216,0.7125
no_track,momentum,2.0,5.0,2780,82.37251551141061,34.75
no_track,momentum,5.0,10.0,2440,5.914955259700543,30.5
no_track,momentum,10.0,20.0,1655,9.734907320581856,20.6875
no_track,momentum,20.0,50.0,904,1.5980144080622145,11.3
no_track,momentum,50.0,100.0,147,0.25277868992985947,1.8375
no_track,momentum,100.0,200.0,17,0.020251334021145366,0.21250000000000002
no_track,quarter_of_z,1,1,2000,6.942209899388738,25.0
no_track,quarter_of_z,2,2,2000,88.83253710663745,25.0
no_track,quarter_of_z,3,3,2000,3.2577093434203634,25.0
no_track,quarter_of_z,4,4,2000,0.9675436505534487,25.0
no_window,momentum,1.0,2.0,57,0.05187306163333062,0.7125
no_window,momentum,2.0,5.0,2780,71.77309917977458,34.75
no_window,momentum,5.0,10.0,2440,2.8084986697113394,30.5
no_window,momentum,10.0,20.0,1655,11.17708126311502,20.6875
no_window,momentum,20.0,50.0,904,11.043307093971528,11.3
no_window,momentum,50.0,100.0,147,2.4895122294033847,1.8375
no_window,momentum,100.0,200.0,17,0.6566285023908265,0.21250000000000002
no_window,quarter_of_z,1,1,2000,9.447250187772552,25.0
no_window,quarter_of_z,2,2,2000,86.256647044329,25.0
no_window,quarter_of_z,3,3,2000,3.426074455311183,25.0
no_window,quarter_of_z,4,4,2000,0.8700283125872634,25.0
