mode,seed,phase,outer,loss,wall_s
physics,0,stall,0,1.2150685058150386e-08,11.9
physics,0,stall,1,1.1323242199879176e-08,13.4
physics,0,stall,2,1.0889202626273825e-08,13.2
physics,0,stall,3,1.0588507222031621e-08,13.5
physics,0,stall,4,1.0360004234782623e-08,13.5
physics,0,stall,5,1.0172503191676134e-08,13.4
physics,0,stall,6,1.0017244308195905e-08,12.8
physics,0,stall,7,9.886130832544652e-09,12.6
physics,0,stall,8,9.771891382679731e-09,12.9
physics,0,stall,9,9.669546241339427e-09,12.8
physics,0,stall,10,9.579791407433492e-09,12.4
physics,0,stall,11,9.499107730321158e-09,12.4
physics,0,confirm,12,9.472492325623941e-09,12.0
physics,0,confirm,13,9.444408832037686e-09,11.6
