N,q,plane,z_mm,step_med_um,step_p95_um,straight_line_med_um
64,2,0,2648.2,0.3175157769007185,3.5025164522800223,29.425449805188563
64,2,1,2729.1031249999996,0.32339437675780314,3.8106956047922917,33.78099265627152
64,2,2,2810.00625,0.33492473583948873,4.210775897166499,38.4543548265887
64,2,3,2890.9093749999997,0.3547617498473594,4.551663926816794,43.63878722606344
64,2,4,2971.8125,0.3873220824458189,4.8752300885092605,49.214618762556164
64,2,5,3052.715625,0.41694143222450253,5.161008067534658,55.21291955955955
64,2,6,3133.6187499999996,0.43655177397273537,5.423067674499223,61.72942257239457
64,2,7,3214.521875,0.4540343265185517,5.710209464211456,68.56639035112275
64,2,8,3295.4249999999997,0.46526894020892295,5.8062257385902445,75.48367586277249
64,2,9,3376.328125,0.46245360320554163,5.642554114532703,82.70810626947863
64,2,10,3457.23125,0.4692323223960242,5.640331864557444,90.01270991860693
64,2,11,3538.1343749999996,0.4760678771586593,5.337644111949083,97.60886062076474
64,2,12,3619.0375,0.4882318699037991,5.1558633869678046,105.43767148697313
64,2,13,3699.940625,0.4798659763443436,5.141324238686603,113.35919135662813
64,2,14,3780.84375,0.49820121965200004,4.8225131597556015,120.18116306538704
64,2,15,3861.746875,0.4929542294428741,4.668002044380969,126.34415802826265
64,2,16,3942.6499999999996,0.48973192985175873,4.543428065619235,132.651488015606
64,2,17,4023.553125,0.48012892519374406,4.3828672127932125,137.9651959221535
64,2,18,4104.45625,0.46341245941751497,4.442462923844258,142.83580952504627
64,2,19,4185.359375,0.4536237090782877,4.327534217870404,146.86678638998075
64,2,20,4266.2625,0.45089520702740027,4.343802044752422,150.11195531834596
64,2,21,4347.165625,0.4557606319287628,4.301892147094277,152.71240987719546
64,2,22,4428.06875,0.4555652351827369,4.1837702795683445,154.62717340035758
64,2,23,4508.971875,0.46551013769335114,4.102679055699957,155.81536169637732
64,2,24,4589.875,0.4585282269853257,4.206864355557679,156.4200848470839
64,2,25,4670.778125,0.45088544235711625,3.948745362118935,156.8000353015002
64,2,26,4751.68125,0.40106582711371264,3.704005383560841,156.5490087760358
64,2,27,4832.584375,0.3402092967352812,3.4001708036845844,155.67782797147458
64,2,28,4913.487499999999,0.2981861095789464,3.1489374011124283,155.04762816314556
64,2,29,4994.390625,0.2588617840694735,2.6566386748848427,154.15989227830912
64,2,30,5075.29375,0.23843874848141236,2.2822003871165233,153.04638090236244
64,2,31,5156.196875,0.23694293152333656,2.0011295627595627,151.74136640817585
64,2,32,5237.1,0.2424730398455966,1.769248336066928,150.25145888637329
64,2,33,5318.003124999999,0.26526168997490696,1.7451828314825766,148.59736177428334
64,2,34,5398.90625,0.3276347518964541,1.783188858186932,146.7934307109478
64,2,35,5479.809375,0.34649272630213757,2.0819551518666537,144.83868419829236
64,2,36,5560.7125,0.38286079417289487,2.3032254751033006,142.71813440872313
64,2,37,5641.615625,0.4289697741110025,2.488398042136333,140.3391714103609
64,2,38,5722.518749999999,0.46795686047646523,2.809838765910582,137.82549961005645
64,2,39,5803.421875,0.4964561392533303,3.046274554515401,135.38351878016113
64,2,40,5884.325,0.5104170292587462,3.3063612163038973,132.63090017502128
64,2,41,5965.228125,0.5165794882574937,3.60099077493477,129.68830580794045
64,2,42,6046.13125,0.5155717179799277,3.9239216630684446,126.3011219528599
64,2,43,6127.034374999999,0.49886193955583435,4.188740533355452,122.92431249568918
64,2,44,6207.9375,0.471982550524116,4.543147937219558,119.59353465205423
64,2,45,6288.840625,0.44934420737448266,4.761938644954269,116.1161551026547
64,2,46,6369.74375,0.447970250743549,5.037300657079783,112.47128880604636
64,2,47,6450.646875,0.4457501258340018,5.502544997372178,108.7871762964509
64,2,48,6531.55,0.44803744627488584,5.7888205295438455,105.00903414766071
64,2,49,6612.453125,0.45995574915952353,6.12620235389589,101.12464737646354
64,2,50,6693.35625,0.4827109961894448,6.283479670888287,97.17452279179778
64,2,51,6774.259375,0.5087351260588162,6.700546672191191,93.19333336005161
64,2,52,6855.1625,0.5388929501898063,7.043476300359138,89.16460244885855
64,2,53,6936.065625,0.5507349631896798,7.12581099014545,85.00400558660488
64,2,54,7016.96875,0.5484443835288223,7.387713939820196,80.54879447677729
64,2,55,7097.871875,0.5569655910525273,7.306849228508997,75.94601615733251
64,2,56,7178.775,0.5788931369086789,7.383099999125165,71.25073771175876
64,2,57,7259.678125,0.5956077942138326,7.630172540525301,66.90222789789148
64,2,58,7340.58125,0.5963634857013638,7.44598340079029,62.779148226864436
64,2,59,7421.484375,0.6173821213496192,7.467899577133434,59.09800854056523
64,2,60,7502.3875,0.6199455637076623,7.661043884910569,55.35566864111247
64,2,61,7583.290625,0.6257967756564532,7.6806578121301765,51.63664609021599
64,2,62,7664.19375,0.6463745848972782,7.828643053216931,48.2317282541097
64,2,63,7745.096875,0.6530752607264886,7.9126826764414195,45.148833760993824
128,8,0,2648.2,0.2689796479147035,2.0298620526617754,7.183532063062003
128,8,1,2688.6515624999997,0.2721305091851174,2.152386793649395,7.704114871541378
128,8,2,2729.1031249999996,0.27979640051577204,2.2513432381669256,8.259742802489793
128,8,3,2769.5546875,0.28854490090017426,2.3330071099360583,8.816271312480165
128,8,4,2810.00625,0.29023178680816375,2.4468856841723206,9.407718073897886
128,8,5,2850.4578125,0.2990709659482119,2.5387492356201515,10.025341505542343
128,8,6,2890.9093749999997,0.29893891943623857,2.6531750357112944,10.672813862846915
128,8,7,2931.3609374999996,0.30414972987358213,2.7422225646662266,11.35923472799833
128,8,8,2971.8125,0.3102374840173876,2.837433959727933,12.064922269583114
128,8,9,3012.2640625,0.31330337449844375,2.93471647512215,12.786471086034982
128,8,10,3052.715625,0.31438464391177967,3.0341999960388235,13.520055482399123
128,8,11,3093.1671874999997,0.3115989321843845,3.1659959407559652,14.319319862873044
128,8,12,3133.6187499999996,0.3054000742971843,3.230726888055863,15.155317803080473
128,8,13,3174.0703125,0.29867755892345305,3.30140874921183,15.986805216287255
128,8,14,3214.521875,0.2943727911128121,3.4146947872880475,16.863434969691227
128,8,15,3254.9734375,0.2982800554558851,3.429620281299263,17.697998229998817
128,8,16,3295.4249999999997,0.29368785892999877,3.494815747409985,18.579715826090453
128,8,17,3335.8765624999996,0.29614389428412013,3.5153947795187435,19.493826181183195
128,8,18,3376.328125,0.29459256950494184,3.5191204684557884,20.37897322402087
128,8,19,3416.7796875,0.29884699335495,3.5413656507610676,21.276228380452526
128,8,20,3457.23125,0.30128153131985286,3.581560467995739,22.204105244565774
128,8,21,3497.6828124999997,0.30218355355786347,3.573779955906039,23.171730720744833
128,8,22,3538.1343749999996,0.2957843657412389,3.5172118031585065,24.062057357464212
128,8,23,3578.5859375,0.30917506798194444,3.5223261046839314,25.013384097712215
128,8,24,3619.0375,0.30173436153897853,3.5168953590000607,26.054616327760627
128,8,25,3659.4890625,0.2990094390363235,3.4834756912814577,26.996198429461565
128,8,26,3699.940625,0.2960257287913438,3.450505748019402,28.028994660890064
128,8,27,3740.3921874999996,0.28995859554575143,3.413387240077861,28.95370732944282
128,8,28,3780.84375,0.2882993062560564,3.3519754867994136,29.78345800361498
128,8,29,3821.2953125,0.2814205788884395,3.348856892339473,30.564577536144782
128,8,30,3861.746875,0.2791502858245035,3.2501928952070265,31.33620141616985
128,8,31,3902.1984375,0.27076188245154936,3.203176233135408,32.23849269953406
128,8,32,3942.6499999999996,0.26374077332677387,3.051386000118635,32.9309226777003
128,8,33,3983.1015625,0.26042500347328323,2.9432556039487414,33.62536263351731
128,8,34,4023.553125,0.25702183706494997,2.7997051148465086,34.2734292267418
128,8,35,4064.0046875,0.24911227820334864,2.790976444121156,34.92723961944847
128,8,36,4104.45625,0.24903860158868124,2.6550817176330272,35.52997845459332
128,8,37,4144.9078125,0.24636443711266498,2.486412026877116,36.067016186906145
128,8,38,4185.359375,0.24961450531675178,2.3910641737234197,36.57514508249539
128,8,39,4225.8109375,0.2501371575070328,2.2896920641655822,36.99522408598148
128,8,40,4266.2625,0.2446645415242731,2.1416651948262313,37.40427506752589
128,8,41,4306.7140625,0.23983026099840438,2.06561228660319,37.76496955396884
128,8,42,4347.165625,0.24054350921438977,1.9291084335765416,38.07660716953316
128,8,43,4387.6171875,0.24311669497067837,1.8963628198720757,38.37855646274387
128,8,44,4428.06875,0.2417459672609269,1.8222064094767976,38.59301218637967
128,8,45,4468.5203125,0.2413992753606531,1.7714282641402257,38.78406885271049
128,8,46,4508.971875,0.2395443727217363,1.7486753074835044,38.922303805750104
128,8,47,4549.4234375,0.2311118663745724,1.6863199245211982,39.01669215911002
128,8,48,4589.875,0.21908749183440007,1.674052972023371,39.09783489571214
128,8,49,4630.3265625,0.21276163001586923,1.6362208180987117,39.14348818856739
128,8,50,4670.778125,0.20673584997515274,1.6066167988134372,39.193754041668356
128,8,51,4711.229687499999,0.19820080691661823,1.5935413949056165,39.20552289091784
128,8,52,4751.68125,0.18768784976564498,1.5662076985567104,39.19168714156095
128,8,53,4792.1328125,0.1818792528807575,1.5839229442988187,39.013086832550655
128,8,54,4832.584375,0.17673681388404608,1.5558468381409434,38.93900290235494
128,8,55,4873.0359375,0.17919039819794516,1.5505969943884603,38.88119790453632
128,8,56,4913.487499999999,0.17929246373954222,1.5487853910175418,38.79556330666742
128,8,57,4953.9390625,0.1789566063321641,1.5380758135707828,38.69457622344588
128,8,58,4994.390625,0.17566872104394066,1.5358337102560065,38.5855992747139
128,8,59,5034.8421875,0.17710179046024183,1.5327237383809809,38.44839262556222
128,8,60,5075.29375,0.1742305808405773,1.5217264682461165,38.312425649041955
128,8,61,5115.745312499999,0.17171820786661873,1.5283126477722622,38.157051300785525
128,8,62,5156.196875,0.1729570277349856,1.5572669179414174,37.99213988186478
128,8,63,5196.6484375,0.17207675946363127,1.5835578910286714,37.81996773255206
128,8,64,5237.1,0.17127384594914113,1.5870902153627677,37.627377419795366
128,8,65,5277.5515625,0.1673739935365069,1.6039817935040728,37.43363953820826
128,8,66,5318.003124999999,0.15892500750125776,1.6172349542579878,37.2220191679298
128,8,67,5358.4546875,0.15711481792177304,1.638337245941059,37.0039585070232
128,8,68,5398.90625,0.15253760687150641,1.6476432663467866,36.7787114601162
128,8,69,5439.3578125,0.15369528608905925,1.6562193804758325,36.53761265401894
128,8,70,5479.809375,0.1573783586489169,1.6389970694224718,36.29526149140767
128,8,71,5520.260937499999,0.16121474216258808,1.6370845745887406,36.03694675750736
128,8,72,5560.7125,0.16378394646580163,1.6424450429919357,35.77390008129213
128,8,73,5601.1640625,0.16552178945245105,1.629770749429269,35.4870086996323
128,8,74,5641.615625,0.1689321672991606,1.629181392811526,35.185602643662584
128,8,75,5682.0671875,0.16805521484014413,1.6161705804248119,34.88286322106467
128,8,76,5722.518749999999,0.16830017029998437,1.615785930407746,34.56390918153307
128,8,77,5762.9703125,0.17491084889232716,1.6020231607743027,34.28584635232202
128,8,78,5803.421875,0.17772641269600392,1.586332361258806,33.95907165958754
128,8,79,5843.8734375,0.17819130605048633,1.5552656433349683,33.61945841860244
128,8,80,5884.325,0.17603181651194985,1.5596163337177247,33.27762528384506
128,8,81,5924.776562499999,0.17819122214490035,1.5767738923266859,32.91669102236336
128,8,82,5965.228125,0.18460729970822048,1.5448835141477901,32.552176983456896
128,8,83,6005.6796875,0.18346359020793324,1.5489774409084678,32.15459007525203
128,8,84,6046.13125,0.17569729180945243,1.5140240131255873,31.719778330075272
128,8,85,6086.5828125,0.17463125711788907,1.5072425008688128,31.279259756162446
128,8,86,6127.034374999999,0.17313618745023135,1.4751929125141499,30.867177097777088
128,8,87,6167.4859375,0.17204796478696682,1.4577929516830814,30.458839707756034
128,8,88,6207.9375,0.1751530143669993,1.493126571626011,30.04058034314091
128,8,89,6248.3890625,0.1764811152032515,1.4780421268124126,29.613953363892335
128,8,90,6288.840625,0.17876404582261562,1.5137012451752743,29.17983278494934
128,8,91,6329.292187499999,0.17886782403627682,1.497942690775264,28.726882204078542
