N,q,plane,z_mm,med_um,p95_um,tx_med_mrad
64,2,0,2648.2,0.0,0.0,0.0
64,2,1,2729.1031249999996,0.3175157769007185,3.5025164522800223,0.0006075720666680329
64,2,2,2810.00625,0.6439738178622281,7.765768735379523,0.0011485194336062314
64,2,3,2890.9093749999997,0.9623339952384968,12.63486250657934,0.0016231435203128974
64,2,4,2971.8125,1.3955931992883337,18.36022092311552,0.0019901548929147916
64,2,5,3052.715625,1.7993826287215144,24.582191429760105,0.0021781407100870606
64,2,6,3133.6187499999996,2.2847328127290103,31.141478329937208,0.0025503280091116604
64,2,7,3214.521875,2.8314740694021348,38.48336949757473,0.002800963497556763
64,2,8,3295.4249999999997,3.3696709476616444,46.22043155222209,0.0031768993904203457
64,2,9,3376.328125,4.041200980841053,53.671262209384885,0.003423980865164926
64,2,10,3457.23125,4.7303126550684205,61.94740548065282,0.0037274612804220897
64,2,11,3538.1343749999996,5.483371815154067,70.45133735988288,0.0040876457224562485
64,2,12,3619.0375,6.077411550612895,77.98688581468981,0.0043832721435444096
64,2,13,3699.940625,6.766521262382329,86.88644060512236,0.004620491090470691
64,2,14,3780.84375,7.662761535807502,93.40630061190951,0.004679453507067891
64,2,15,3861.746875,8.699525561203085,101.16019562271673,0.004801388617203112
64,2,16,3942.6499999999996,9.35217716152043,109.93842093221673,0.004895934139570804
64,2,17,4023.553125,10.031029268998068,121.26418908482285,0.005320822287505078
64,2,18,4104.45625,10.71710093244085,131.47390285142984,0.005541376505073178
64,2,19,4185.359375,11.597552380397925,139.83633734425686,0.005843530311362699
64,2,20,4266.2625,12.515460406027412,150.62378977398424,0.00614411243725875
64,2,21,4347.165625,13.630875962388398,163.3641137236788,0.006342262498259567
64,2,22,4428.06875,14.42651624827634,179.11129718495897,0.006460191739457444
64,2,23,4508.971875,15.506108578920276,191.0962537490291,0.006203856544627524
64,2,24,4589.875,16.353524933397154,208.51958184842124,0.0062757241004476015
64,2,25,4670.778125,17.55659065965445,224.85931869002175,0.006284550797234709
64,2,26,4751.68125,18.498854746402625,240.42852205170968,0.0062714458219643825
64,2,27,4832.584375,19.371298722450277,255.1782589429914,0.006471684286614432
64,2,28,4913.487499999999,20.708009865967945,269.8672963482921,0.006724645138400653
64,2,29,4994.390625,21.908039284934357,285.4992549426532,0.006779029779987664
64,2,30,5075.29375,23.24999813946431,295.11775383266615,0.00689104294569233
64,2,31,5156.196875,23.98618153637464,314.76328268090947,0.007298803989169711
64,2,32,5237.1,25.761342134060115,323.6648592178633,0.0077204349147041995
64,2,33,5318.003124999999,26.860070932065362,334.4796482050186,0.0077410203818475964
64,2,34,5398.90625,28.355768028638572,351.1070032949379,0.007709990674380912
64,2,35,5479.809375,29.383981882552277,375.78140747416484,0.008075025663897839
64,2,36,5560.7125,31.0315439063966,396.13081596908313,0.008111522926533554
64,2,37,5641.615625,32.80249641100546,409.269083667371,0.00814694160214402
64,2,38,5722.518749999999,34.865413418444234,422.64598681708696,0.008286460430516123
64,2,39,5803.421875,36.341563324145206,439.02857356735785,0.00848892399800405
64,2,40,5884.325,37.737042282521685,462.39106598385143,0.008701138878991488
64,2,41,5965.228125,38.559372071043796,490.96660595094835,0.008978338313384016
64,2,42,6046.13125,40.091142899541644,514.4289252803432,0.00913059228571829
64,2,43,6127.034374999999,41.17918795030816,539.4894733407922,0.00937975066806103
64,2,44,6207.9375,42.83312837308971,572.2402549337178,0.009667297555207566
64,2,45,6288.840625,43.98447590839932,604.0087474655594,0.009934979959418805
64,2,46,6369.74375,45.45829891187074,630.4490313027188,0.009996944901530247
64,2,47,6450.646875,47.068352913041934,651.8592133517691,0.010022093679659672
64,2,48,6531.55,49.144284127240766,676.1438302337649,0.010666498835285032
64,2,49,6612.453125,50.55274390397848,718.6536921765196,0.010679039884373132
64,2,50,6693.35625,52.75416362428792,772.7429083409369,0.01105173543798632
64,2,51,6774.259375,54.86048951516838,812.0426071723143,0.011302502510093793
64,2,52,6855.1625,56.94761813168964,853.554567216608,0.011614488800881784
64,2,53,6936.065625,59.04928749544723,870.8095528339658,0.011901641603390134
64,2,54,7016.96875,61.07119889475571,912.3625572423285,0.0125204140458135
64,2,55,7097.871875,63.42220644793027,944.3023543111543,0.012888403900297718
64,2,56,7178.775,65.35220434284324,971.1404666563259,0.013508179689279698
64,2,57,7259.678125,67.51706582077423,1005.8325543523794,0.01462813970452316
64,2,58,7340.58125,68.94514293446153,1032.8259918370877,0.015174060865486005
64,2,59,7421.484375,71.28144892957503,1099.9426785324351,0.01606903197580445
64,2,60,7502.3875,73.61671863730515,1128.265634581811,0.018798764187349243
64,2,61,7583.290625,76.95446611855701,1149.0776471095237,0.021937797350407573
64,2,62,7664.19375,80.35676371999816,1228.335164840905,0.025712742258654497
64,2,63,7745.096875,84.32510688096471,1322.1372309495193,0.028543944112171052
64,2,64,7826.0,88.82612667434611,1399.0982892324078,0.032320184385037365
128,8,0,2648.2,0.0,0.0,0.0
128,8,1,2688.6515624999997,0.2689796479147035,2.0298620526617754,0.00026218601342602177
128,8,2,2729.1031249999996,0.5394824355820149,4.3195740019373305,0.0004957325207399083
128,8,3,2769.5546875,0.8152872025477975,6.864917074109215,0.0006867502078122811
128,8,4,2810.00625,1.1031390947998294,9.669518674191519,0.0008734648298761721
128,8,5,2850.4578125,1.3896721257743478,12.85185653720017,0.0010702258326201163
128,8,6,2890.9093749999997,1.702068129167777,15.97990243098648,0.0012355669362154598
128,8,7,2931.3609374999996,2.002510855710711,18.796458941607263,0.0014925667356779915
128,8,8,2971.8125,2.30628531866481,22.390765098739802,0.0017300754122095974
128,8,9,3012.2640625,2.61814701383237,25.888358264350817,0.0019775134842726916
128,8,10,3052.715625,2.9601651033698846,29.63454562017565,0.0022277490843054804
128,8,11,3093.1671874999997,3.343442074087466,33.066290302563026,0.0024681623335860714
128,8,12,3133.6187499999996,3.7126695020144562,36.73742041533299,0.0026192151000850247
128,8,13,3174.0703125,4.065685949028424,40.319428971609334,0.002933790070698203
128,8,14,3214.521875,4.406570909774548,43.746363194080466,0.0031556640936146463
128,8,15,3254.9734375,4.725636169580138,48.255446321442356,0.0033664856407787658
128,8,16,3295.4249999999997,5.048971016210631,52.75668627963632,0.0036267100989931245
128,8,17,3335.8765624999996,5.47133991322581,58.50079071582708,0.0037400466206174293
128,8,18,3376.328125,5.94792551251877,64.09957596729906,0.003964635403521863
128,8,19,3416.7796875,6.229011564621732,68.35590862689531,0.004056339462224501
128,8,20,3457.23125,6.600670288581043,74.74147548406378,0.004302480982861911
128,8,21,3497.6828124999997,7.040254552790374,81.21208094672318,0.004363462513276226
128,8,22,3538.1343749999996,7.590057917839582,86.40776615173719,0.004423450812659699
128,8,23,3578.5859375,8.007563604587725,91.26376073372721,0.004501760841768565
128,8,24,3619.0375,8.461366352422424,96.98582454144905,0.004557941394848879
128,8,25,3659.4890625,8.807710622261277,101.55023861758396,0.00460958305962449
128,8,26,3699.940625,9.208527562334629,108.20174100973742,0.004767936365245029
128,8,27,3740.3921874999996,9.705271449436859,112.84786654733989,0.005015629348293239
128,8,28,3780.84375,10.198149865350537,118.63438560311178,0.005154498270716623
128,8,29,3821.2953125,10.533029587453491,124.86964314865921,0.0052742290032360695
128,8,30,3861.746875,10.958148932002125,134.185173513586,0.005468605376396374
128,8,31,3902.1984375,11.294437072971592,138.38075969805763,0.0056560988360900705
128,8,32,3942.6499999999996,11.693224858973387,145.63741217413985,0.005915300209657914
128,8,33,3983.1015625,12.105137165192351,151.7828120197896,0.006156422233158376
128,8,34,4023.553125,12.575724589490166,158.9689808516307,0.006385262505723133
128,8,35,4064.0046875,12.965326085545062,165.6389907319397,0.006385586065678003
128,8,36,4104.45625,13.577572295408745,172.40307323445134,0.006450831004591387
128,8,37,4144.9078125,14.007333786885681,179.90491198212214,0.006474809601284687
128,8,38,4185.359375,14.546973487336903,187.55577144926173,0.006479693770843065
