N,q,dz_mm,n_pairs,step_med_um,step_p95_um,step_mean_um,straight_line_step_med_um,step_over_straight,step_med_um_p_above_10GeV,step_med_um_p_below_5GeV,chain_med_um,wall_s
64,2,80.9,92928,0.43341515792135354,4.915799356654303,1.2247232647430906,95.22118810134441,0.004551667192600742,0.14875367624876376,1.690310879924879,80.60804977050395,1.1
128,8,40.45,185856,0.22091371803669357,2.3160884040524983,0.5803803791318698,23.8174587442814,0.009275285008722236,0.06606530383534333,0.8459898461799642,95.54362855938336,2.4
256,16,20.23,371712,0.05807954292805173,0.7871222923387278,0.18307502006273946,5.955219648431883,0.00975271213436185,0.02074699963746566,0.23393736136274343,84.35302863300365,4.9
