N,q,med_um,p95_um,p99_um,max_um,frac_above_1mm,worst5pct_share
2,2,9249.998624454209,39346.58250475706,70103.88715552066,137273.45724142832,0.9848484848484849,0.21867373713644722
2,4,283.81794083164095,2011.4533666394227,5413.807695167295,44920.19126197999,0.11639118457300275,0.41625937022900794
2,8,188.1411881912138,1427.6755307126282,4355.291073795959,23286.135466464675,0.07920110192837465,0.43484126702910025
2,16,223.6481025740179,1682.8462575563208,3708.324817974615,25738.241455850035,0.09779614325068871,0.3730656801294372
64,2,166.25818774640442,1153.9236640084143,3303.553167816945,24984.76173764126,0.06267217630853994,0.4168890517779968
64,4,172.3702920150361,1050.7354638813756,2915.3511989089657,23331.146120073616,0.05509641873278237,0.3941728049894031
64,8,204.15216972682416,1248.7233471880054,3789.881549066658,23683.38193589324,0.06680440771349862,0.38068793403110157
64,16,194.15694877675736,1207.2404043504978,3914.3430007981756,21310.306351161547,0.07024793388429752,0.40034819446936293
128,2,207.01034225129456,1206.245230900243,3779.4182957351018,17976.644250298894,0.06198347107438017,0.38177943748437987
128,4,195.61262370983917,1246.4833577154575,4215.32278777759,16143.939000361606,0.06680440771349862,0.4068686405156157
128,8,158.56125982817758,1089.6387673992099,4042.5910774885356,10959.304638463293,0.05716253443526171,0.41724485114525317
128,16,246.23851192374306,1409.828549463727,4116.562189924692,22324.305639687984,0.09090909090909091,0.3703768008933586
256,2,185.3010792473865,1318.8905201932214,3409.6018526718126,19661.179359713762,0.06887052341597796,0.3846879459239907
256,4,195.57050308887875,1275.4826093953675,4842.89912886659,30867.466689700377,0.06818181818181818,0.43746149687662145
256,8,193.57240068813857,1203.7309669226495,3090.0877759271466,20298.002417994565,0.0640495867768595,0.3636371849615061
256,16,136.77869248944677,1082.1430535840286,3605.671537590652,31383.926384516395,0.05922865013774105,0.4762927548878682
