step,z_mm,lever_mm,local_pos_med_um,local_tx_med_mrad,local_tx_bias_mrad,local_ty_med_mrad,carried_to_end_um
0,2648.2,5096.896875,0.30453662810007803,0.001964510853703222,-0.00024246913847623779,0.0006309968231706098,10.012909231143535
1,2729.1031249999996,5015.99375,0.331143145143634,0.0017778211317508175,-0.00014693097026910462,0.0006585916068439779,8.917539685480026
2,2810.00625,4935.090625000001,0.3424062787006211,0.0017045353145894726,-1.9794851776819278e-05,0.0006960691313288164,8.412036251011934
3,2890.9093749999997,4854.1875,0.349852144959302,0.001704620672125616,0.00014482963831561127,0.0007279949065953223,8.274548358873764
4,2971.8125,4773.284375,0.357710144797039,0.001711482494793845,0.0003683821517786942,0.0007688750968907337,8.16939265048548
5,3052.715625,4692.38125,0.3591166213092918,0.0016892605882914274,0.0004403807897113837,0.0007563819471000099,7.926654710862664
6,3133.6187499999996,4611.478125,0.35703502354143646,0.0017603387705636409,0.0004292554196712317,0.0008078807899099955,8.117763733043624
7,3214.521875,4530.575000000001,0.3618025961106959,0.001727819663727495,0.00035979714029313326,0.0008222241148422849,7.8280165729921976
8,3295.4249999999997,4449.671875,0.3810298292721322,0.0017543876187318952,0.00029807771799537225,0.0008623364562802827,7.806449244919538
9,3376.328125,4368.76875,0.38637189975309505,0.0017694219384711309,0.00023580136279156838,0.0008486227189232094,7.730195270357101
10,3457.23125,4287.865625,0.3990535107176996,0.0017220563230963687,0.00017600007706222373,0.0008763209006276002,7.383946112118814
11,3538.1343749999996,4206.9625,0.39959682202875574,0.0016675082862224744,0.00021139967795735792,0.0008955006906728388,7.015144828577216
12,3619.0375,4126.059375,0.38643016512846795,0.0016702878164252637,0.0002616794618701124,0.0009132769120834966,6.891706703909738
13,3699.940625,4045.15625,0.3845702926168761,0.001639657630364555,0.00024539787810834435,0.0008975876457789633,6.63267131132937
14,3780.84375,3964.253125,0.3826408983259566,0.0016332462863114568,0.00018822742168156294,0.0008921219726704122,6.4746016944048375
15,3861.746875,3883.3500000000004,0.386927804362278,0.0016505813643079986,-4.4033588850710126e-05,0.0008478811150715304,6.409785141085467
16,3942.6499999999996,3802.446875,0.38525465230567335,0.0017352207678147241,-0.0002310139541380346,0.0007979605809067813,6.5980847860121985
17,4023.553125,3721.54375,0.36975534420226275,0.001778317117624717,-0.0003745535725775684,0.0008149653914985358,6.618084954614281
18,4104.45625,3640.640625,0.37480173083295276,0.0017841605953836798,-0.0003277457767932382,0.0008310947464621604,6.495487545078012
19,4185.359375,3559.7375,0.36891607791344116,0.0017532279354668962,-0.00017710176315396953,0.0008522484327387614,6.241031227929091
20,4266.2625,3478.8343750000004,0.37457228093489453,0.0017505772373291317,0.00010472872273223355,0.0008395830518696801,6.089968269313117
21,4347.165625,3397.9312499999996,0.38040411183653455,0.0017065997360218854,0.00013908858800468216,0.0008861010962913501,5.798908574270515
22,4428.06875,3317.028125,0.40018532887944547,0.0016513731757885307,3.623231217050188e-05,0.0009240234085054061,5.477651268961125
23,4508.971875,3236.125,0.4387233204148079,0.0015862194197961699,-4.942807647553837e-06,0.0009766415111911453,5.133204319887881
24,4589.875,3155.221875,0.427365149572314,0.0016960141451544813,-5.142837021521185e-05,0.0010418278439698267,5.351300931100845
25,4670.778125,3074.3187500000004,0.42093957523991504,0.0015474473326615446,6.561534727535234e-05,0.0010484940315691471,4.757346349438874
