N,q,converged,confirmed,restarts,train_pos_med_um,val_pos_med_um,test_pos_med_um,test_over_train_pos,val_over_train_pos,train_loss,test_loss,test_over_train_loss
2,2,True,True,109,9632.061975040046,9563.498676331847,9249.493663721893,0.9602817846989027,0.9928817631275765,1.904404008607149e-05,3.5786778710883794e-06,0.18791589677999934
2,4,True,False,159,263.5377023494101,268.6700567942353,260.9192851975308,0.990064354631097,1.0194748394596704,1.2202080983907777e-06,1.243160616583462e-06,1.0188103309779326
2,8,True,True,130,171.58038522089214,171.25507967068643,168.44927670857146,0.9817513609828437,0.9981040632949569,1.2840252834617505e-06,1.76355050216562e-06,1.3734546545774104
2,16,True,False,106,196.95760947493568,209.2109164291287,201.9275516458805,1.025233562613773,1.0622129146817876,1.3603176821161124e-06,1.070789981088513e-06,0.7871617013922736
64,2,False,,760,160.91580317011278,164.37277948875817,152.04463516869282,0.9448707471444444,1.0214831374578595,2.7704950745695378e-08,2.282319161079154e-08,0.8237947008203097
64,4,False,,714,159.02370653913067,165.87526997216173,161.7945022009053,1.0174237899623653,1.0430851700173716,6.648241150022176e-08,1.251984112217047e-08,0.18831809556319581
64,8,False,,657,193.44878920139763,200.02996164004117,192.0382595809258,0.9927085115068705,1.0340202307071147,1.3123637812559233e-08,7.3871886093658095e-09,0.5628918379853732
64,16,False,,546,173.30806171258928,172.0278302052769,172.73432129414346,0.9966894764572619,0.9926129719837529,2.7669596988084794e-08,5.730786596586476e-09,0.2071149283111819
128,2,False,,760,188.7313763799625,190.8824941405669,189.89272195726414,1.006153431398516,1.011397774985086,1.0348069278129993e-08,1.99850137996177e-09,0.1931279474699188
128,4,False,,713,181.5761368177391,178.81655234123173,174.46088886532607,0.9608139699571034,0.9848020531504238,1.009576358418675e-08,1.2968670240477108e-09,0.1284565563796508
128,8,False,,599,147.4923530322485,143.9087718734413,144.188647769397,0.9776008369591258,0.9757032748808092,6.376697382567837e-09,1.0164691437153063e-09,0.159403697985427
128,16,False,,383,232.96519114910552,230.4794036366502,226.8459172121311,0.9737330976065953,0.9893297899991234,4.746768691544415e-09,1.115878569157041e-09,0.23508172436225816
256,2,False,,758,167.9582372290156,167.24262746751606,169.50203761777516,1.0091915729423533,0.9957393589424032,1.4959343785968706e-09,5.160853384171283e-10,0.3449919634183397
256,4,False,,709,181.7237649298704,182.49383578796596,177.6933944312269,0.9778214450916813,1.0042375902700054,1.4176864356153358e-09,5.211529941246759e-10,0.3676080838697406
256,8,False,,615,180.5411623873283,183.8484032367944,176.36462435400801,0.9768665606330812,1.0183184865198265,1.4589693133042058e-09,4.010534123137542e-10,0.27488817527317766
256,16,False,,550,128.7523920384288,127.45110083073996,122.53454280694598,0.9517069226206921,0.9898930715997847,1.0853132510082608e-09,3.0021541087063246e-10,0.27661636913741816
