mode,seed,phase,outer,loss,wall_s
physics,0,stall,0,2.63145147690834e-08,14.0
physics,0,stall,1,2.2165448679061183e-08,16.4
physics,0,stall,2,2.1435896066427107e-08,16.1
physics,0,stall,3,2.095390289092578e-08,16.0
physics,0,stall,4,2.0600925935339235e-08,15.3
physics,0,stall,5,2.0327878198395312e-08,14.9
physics,0,stall,6,2.0102228284259112e-08,14.6
physics,0,stall,7,1.9912492358995682e-08,13.3
physics,0,stall,8,1.975294863148465e-08,14.9
physics,0,confirm,9,1.9734939554332746e-08,13.9
physics,0,confirm,10,1.9718305729816034e-08,13.8
