mode,seed,phase,outer,loss,wall_s
physics,0,stall,0,1.357909015322344e-08,16.1
physics,0,stall,1,1.2860636252675338e-08,18.8
physics,0,stall,2,1.2490680954096077e-08,18.7
physics,0,stall,3,1.2217583774977383e-08,18.0
physics,0,stall,4,1.1998476643152109e-08,18.4
physics,0,stall,5,1.180797378020676e-08,18.5
physics,0,stall,6,1.1642442258771804e-08,18.5
physics,0,stall,7,1.149389480471771e-08,18.5
physics,0,stall,8,1.136018371322997e-08,18.9
physics,0,stall,9,1.1239072892065952e-08,18.7
physics,0,stall,10,1.112663433710724e-08,19.1
physics,0,stall,11,1.1023292374597177e-08,19.1
physics,0,stall,12,1.092786047546452e-08,18.9
physics,0,confirm,13,1.087823599182102e-08,16.7
physics,0,confirm,14,1.082887238835202e-08,16.9
