mode,seed,phase,outer,loss,wall_s
physics,0,stall,0,5.263698768220013e-09,16.4
physics,0,stall,1,4.687571335930855e-09,18.3
physics,0,stall,2,4.410474263351945e-09,17.1
physics,0,stall,3,4.2380552271770636e-09,16.7
physics,0,stall,4,4.116470830985909e-09,16.0
physics,0,stall,5,4.0248265813540096e-09,16.3
physics,0,stall,6,3.950708516976036e-09,16.3
physics,0,stall,7,3.887150900998248e-09,16.2
physics,0,stall,8,3.827683568233212e-09,16.4
physics,0,stall,9,3.7718137661006165e-09,16.5
physics,0,stall,10,3.719177737935802e-09,16.8
physics,0,stall,11,3.6694250711458312e-09,16.0
physics,0,stall,12,3.6223436600707685e-09,17.1
physics,0,stall,13,3.5775059811298955e-09,17.6
physics,0,stall,14,3.5349622154269154e-09,16.7
physics,0,stall,15,3.4942055453355197e-09,17.2
physics,0,stall,16,3.455230657655205e-09,17.9
physics,0,stall,17,3.4178218869667932e-09,17.8
physics,0,stall,18,3.3823819964498507e-09,17.6
physics,0,stall,19,3.348276395148996e-09,18.3
physics,0,stall,20,3.315341767770272e-09,18.5
physics,0,stall,21,3.283498280460712e-09,17.7
physics,0,confirm,22,3.283498280460712e-09,0.1
physics,0,confirm,23,3.283498280460712e-09,0.1
