arm,tag,mode,seed,width,depth,restarts,final_loss,converged,wall_s,train_endpoint_med_um,train_endpoint_p95_um,train_stage_med_um,train_slope_med_mrad,train_rho_mean,train_rho_median,train_straight_med_um,train_n,val_endpoint_med_um,val_endpoint_p95_um,val_stage_med_um,val_slope_med_mrad,val_rho_mean,val_rho_median,val_straight_med_um,val_n,test_endpoint_med_um,test_endpoint_p95_um,test_stage_med_um,test_slope_med_mrad,test_rho_mean,test_rho_median,test_straight_med_um,test_n
residual,residual_w100_data_s0,data,0,100,4,110,2.613034588362713e-06,True,4779.9,0.01682644996520155,1361.0549687455418,0.017717125672334078,0.00042077763350717445,8.900797514683041e-07,8.144441365053802e-14,15.41536337163052,7935,0.039453279402579255,3224.768937498668,0.03930247808625609,0.0007605149120312391,0.0007303111981334596,4.78786001231954e-13,17.28391489552905,3969,0.039429480068520206,2572.177990225555,0.038893391311356496,0.0007367113757650312,0.00011455967838857012,4.2895691374067384e-13,16.11289863009624,3961
residual,residual_w100_data_s1,data,1,100,4,95,2.7996410688808323e-06,True,1969.2,0.01713704652206438,1442.9316062957344,0.018146053662349004,0.0004224198667385215,1.2205299745240772e-06,9.088724085255134e-14,15.41536337163052,7935,0.04167207538330331,3039.596999276545,0.04133697530050995,0.0007925695003734023,0.0004196948847015368,4.648518985101746e-13,17.28391489552905,3969,0.0390567532804198,2638.248711074766,0.03903949834693776,0.0007418072396625508,0.00017211907967644986,4.4959449739317607e-13,16.11289863009624,3961
residual,residual_w100_data_s2,data,2,100,4,96,2.7868110191235973e-06,True,1980.3,0.017492412023534243,1478.015154569193,0.018262646676703298,0.0004419887420295532,1.255056880374906e-06,9.194795683510022e-14,15.41536337163052,7935,0.04073448911867672,3567.273938722883,0.04165316181570233,0.0008619125440555153,0.0009246206151226723,5.176384532294407e-13,17.28391489552905,3969,0.03888472326840642,2882.170656515882,0.03868481949709235,0.0007520176388553512,0.000175198204823708,5.164169991340652e-13,16.11289863009624,3961
residual,residual_w100_physics_s0,physics,0,100,4,54,9.259490452694964e-07,True,1564.7,2.2997876207551116,2583.045073285034,2.69215511582388,0.06094154269783991,0.00033967358114392977,4.939555255427034e-09,15.41536337163052,7935,2.60872143621782,4420.754568225127,2.9710987212752116,0.06406251691122578,0.0007650364243144486,5.483209572443691e-09,17.28391489552905,3969,2.4030685926845763,3942.2520924981263,2.9432523708692315,0.06335763353562673,0.0005764765303905562,5.023821653453169e-09,16.11289863009624,3961
residual,residual_w100_physics_s1,physics,1,100,4,53,1.3161279523754897e-06,True,2882.1,2.151677873872826,2547.5207531891383,2.6036739523078722,0.06556693036773031,0.0005452937866033211,3.765379660553968e-09,15.41536337163052,7935,2.3794186573695697,4851.858064963196,2.8030744855511713,0.06957072902019634,0.0005794204877987339,4.069034551749862e-09,17.28391489552905,3969,2.417898235963334,3906.2266297398482,2.8416391095049676,0.0694643401706798,0.0008147363956971903,3.932091448951706e-09,16.11289863009624,3961
residual,residual_w100_physics_s2,physics,2,100,4,53,1.2376726178755474e-06,True,2570.8,2.208703079759289,2731.521981856138,2.314428647935074,0.06534771502367254,0.0005493558262219591,3.4660514707434792e-09,15.41536337163052,7935,2.36378347108257,4884.935499052281,2.5371455937150955,0.06931712966128795,0.0008748630718531047,3.9508485852609325e-09,17.28391489552905,3969,2.3418596929332125,4231.826626806878,2.5335589305992556,0.06936107060929314,0.0008006186749832804,3.606436261014145e-09,16.11289863009624,3961
residual,residual_w100_physics_s3,physics,3,100,4,54,1.0996184576286439e-06,True,2635.7,2.55884064316092,2470.4142824678056,2.8559272848269757,0.06327175599130791,0.00033743066318896197,4.086797461340966e-09,15.41536337163052,7935,2.919073552533291,4712.981638785874,3.1169856119390715,0.06682623254512451,0.0005221093452703612,4.820659934899721e-09,17.28391489552905,3969,2.7779786877601964,3535.9197280580474,3.07502930110104,0.06568757411501425,0.0007786492432958878,4.81325371135865e-09,16.11289863009624,3961
residual,residual_w100_physics_s4,physics,4,100,4,56,1.2319052804716029e-06,True,2653.8,3.8665480357451543,2589.3320722821786,4.06561084868029,0.0611425612460359,0.00030104927493022947,3.823709920708842e-09,15.41536337163052,7935,4.076063421980081,4691.576854489707,4.4044139161769635,0.06530311860297733,0.000885058098734753,3.9144128907959196e-09,17.28391489552905,3969,4.042657844934183,4092.6688999614953,4.232589755433391,0.06323122940010695,0.0008685362459542077,4.027041697742743e-09,16.11289863009624,3961
residual,residual_w100_physics_s5,physics,5,100,4,59,9.842495816775326e-07,True,1852.4,1.9966438484129156,2382.1747817781875,2.1283635396331935,0.05776033861198959,0.00045078635195005287,2.891415125793046e-09,15.41536337163052,7935,2.219132738702889,4400.1339891347125,2.308502776173782,0.06182867644727004,0.000659684259976182,3.364022284762678e-09,17.28391489552905,3969,2.114443069160643,3305.885654163248,2.2220309996612286,0.05757157872936583,0.0007170303784238008,3.1873485264059482e-09,16.11289863009624,3961
residual,residual_w100_physics_s6,physics,6,100,4,50,1.0504823489512272e-06,True,2388.6,3.4406028524092136,2399.348340187189,3.554221106355726,0.059191414640058504,0.0004234820197078655,3.353812518720584e-09,15.41536337163052,7935,3.8688079583550916,4744.419879549153,3.92886546273985,0.06202112510074985,0.00137850465880538,3.3597458043890195e-09,17.28391489552905,3969,3.6803881283731243,3853.719274278319,3.7420479860046374,0.06101716417328609,0.0008887172091971827,3.473542991265868e-09,16.11289863009624,3961
residual,residual_w100_physics_s7,physics,7,100,4,54,1.0225211057812703e-06,True,2682.6,2.252134003072115,2488.999369313182,2.85185352430517,0.05834214619282463,0.0004462689724536109,4.400718117453654e-09,15.41536337163052,7935,2.6570768631302144,4488.131672254989,3.2691460310658726,0.06410662221381647,0.0008215626982810458,5.3060578779647885e-09,17.28391489552905,3969,2.5026425149405895,3846.6599007379755,3.0369564331067522,0.0633206524511265,0.0008158805408088455,4.731306350534001e-09,16.11289863009624,3961
residual,residual_w100_physics_s8,physics,8,100,4,40,1.817626726953753e-06,True,1954.7,4.1665390660057255,2959.806758151339,4.229096128966603,0.06619444357863769,0.0005569580977680045,4.653119000572369e-09,15.41536337163052,7935,4.447184144282801,4933.22005443669,4.608931764774837,0.0670383575617807,0.0007432174936057292,5.4625325580027505e-09,17.28391489552905,3969,4.06425775702246,3699.788229659589,4.169757345152902,0.06731846451186324,0.0004059918082750968,4.8825304025285e-09,16.11289863009624,3961
residual,residual_w100_physics_s9,physics,9,100,4,57,8.872223198704836e-07,True,1650.8,3.248261283943066,2329.2209509373383,3.533215710739057,0.05577188716093112,0.0004002858417259189,5.81279597375139e-09,15.41536337163052,7935,3.659308791153393,4318.596019698539,4.065805231206809,0.05801880913968577,0.0007312101149543229,6.514435304640945e-09,17.28391489552905,3969,3.372323405528732,3638.8046070514974,3.8145247900729373,0.05705623693419426,0.0006630218697840094,5.5678424788765055e-09,16.11289863009624,3961
residual,residual_w50_data_s0,data,0,50,4,100,1.3698873300543886e-05,True,1451.0,0.03870757621715626,3054.30044762351,0.04021552126687311,0.0009833916695817235,6.069053662477325e-06,4.5434591926781905e-13,15.41536337163052,7935,0.07338796973499484,5165.145459893438,0.07280395612951907,0.0014757838686721425,0.0003013242648103054,1.3121969929454007e-12,17.28391489552905,3969,0.06750448551429145,4576.801492508821,0.06861116082745866,0.0014335205710536147,0.00016356129393154414,1.365416714178447e-12,16.11289863009624,3961
residual,residual_w50_data_s1,data,1,50,4,112,8.568993904746479e-06,True,1634.2,0.027782520177765946,2561.6079198522793,0.02816360790802719,0.0007061489292747858,4.702126717954377e-06,3.021977548540372e-13,15.41536337163052,7935,0.05352858526563864,4561.6966426340605,0.0522083491318881,0.0011370942052946198,0.0005451939723010715,7.941841877875507e-13,17.28391489552905,3969,0.04575271177209572,3962.399225454078,0.046801701138576846,0.0010348672087011346,0.0002485542118098254,7.888021291108051e-13,16.11289863009624,3961
