tag,mode,seed,width,depth,leg,node,node_c,is_endpoint,med_um,p95_um,n
w100_data_s0,data,0,100,4,A,0,0.019855071751231912,False,251.78039845151528,5569.617671420201,604
w100_data_s0,data,0,100,4,A,1,0.10166676129318664,False,204.68798769992145,4208.946649379171,604
w100_data_s0,data,0,100,4,A,2,0.2372337950418355,False,201.18166897995326,4442.988111112247,604
w100_data_s0,data,0,100,4,A,3,0.4082826787521751,False,252.44986580253624,5529.494265993549,604
w100_data_s0,data,0,100,4,A,4,0.5917173212478248,False,271.40177803252266,5917.956100236849,604
w100_data_s0,data,0,100,4,A,5,0.7627662049581645,False,258.1496549551927,6018.548679154885,604
w100_data_s0,data,0,100,4,A,6,0.8983332387068134,False,251.07682085823023,7625.198685066191,604
w100_data_s0,data,0,100,4,A,7,0.9801449282487681,False,352.1556980375692,9608.208801249613,604
w100_data_s0,data,0,100,4,A,8,1.0,True,406.3094961346275,10445.08737291417,604
w100_data_s0,data,0,100,4,B,0,0.019855071751231912,False,871.9900139693344,6285.463607266295,564
w100_data_s0,data,0,100,4,B,1,0.10166676129318664,False,655.4908054967932,4548.0206612702,564
w100_data_s0,data,0,100,4,B,2,0.2372337950418355,False,593.2933108232028,5405.4222743156515,564
w100_data_s0,data,0,100,4,B,3,0.4082826787521751,False,632.7471640887694,7094.73301021564,564
w100_data_s0,data,0,100,4,B,4,0.5917173212478248,False,671.8131231013693,8171.578931484629,564
w100_data_s0,data,0,100,4,B,5,0.7627662049581645,False,743.3265796835968,10042.902220397844,564
w100_data_s0,data,0,100,4,B,6,0.8983332387068134,False,791.4064437174204,11940.826188965731,564
w100_data_s0,data,0,100,4,B,7,0.9801449282487681,False,977.9283302977531,13162.688221829647,564
w100_data_s0,data,0,100,4,B,8,1.0,True,1055.2882376214507,14214.759500395345,564
w100_data_s0,data,0,100,4,C,0,0.019855071751231912,False,253.0516041103823,1940.520169601094,2793
w100_data_s0,data,0,100,4,C,1,0.10166676129318664,False,189.39089001980847,1555.0440022901275,2793
w100_data_s0,data,0,100,4,C,2,0.2372337950418355,False,180.18229887933845,1668.2383690668257,2793
w100_data_s0,data,0,100,4,C,3,0.4082826787521751,False,192.40432388812056,1589.1969504378585,2793
w100_data_s0,data,0,100,4,C,4,0.5917173212478248,False,179.20028405512767,1539.3868763901555,2793
w100_data_s0,data,0,100,4,C,5,0.7627662049581645,False,162.89597442937165,1546.8109479607165,2793
w100_data_s0,data,0,100,4,C,6,0.8983332387068134,False,188.18238646018239,1811.6902991221332,2793
w100_data_s0,data,0,100,4,C,7,0.9801449282487681,False,222.75761145303363,2171.414231329664,2793
w100_data_s0,data,0,100,4,C,8,1.0,True,235.24245647151432,2192.830028219214,2793
w100_data_s1,data,1,100,4,A,0,0.019855071751231912,False,326.67925689479597,5132.508690093144,604
w100_data_s1,data,1,100,4,A,1,0.10166676129318664,False,289.3206868496618,4259.370271706486,604
w100_data_s1,data,1,100,4,A,2,0.2372337950418355,False,284.6176530635423,4409.467711052447,604
w100_data_s1,data,1,100,4,A,3,0.4082826787521751,False,219.2250313582947,5513.603242048745,604
w100_data_s1,data,1,100,4,A,4,0.5917173212478248,False,184.04744874226753,5911.414460772215,604
w100_data_s1,data,1,100,4,A,5,0.7627662049581645,False,284.2960611734003,8471.034687657684,604
w100_data_s1,data,1,100,4,A,6,0.8983332387068134,False,329.00077394544735,9436.228414652785,604
w100_data_s1,data,1,100,4,A,7,0.9801449282487681,False,372.1691234329568,11362.556152974055,604
w100_data_s1,data,1,100,4,A,8,1.0,True,384.7744183834485,12509.131645216677,604
w100_data_s1,data,1,100,4,B,0,0.019855071751231912,False,876.4783145422603,5583.523875171037,564
w100_data_s1,data,1,100,4,B,1,0.10166676129318664,False,661.5333049386561,5094.156767365298,564
w100_data_s1,data,1,100,4,B,2,0.2372337950418355,False,570.029247731938,6069.717237628691,564
w100_data_s1,data,1,100,4,B,3,0.4082826787521751,False,608.3370351074535,6301.274952291451,564
w100_data_s1,data,1,100,4,B,4,0.5917173212478248,False,803.4298080360793,8150.596139652315,564
w100_data_s1,data,1,100,4,B,5,0.7627662049581645,False,855.3892141164638,8566.94332295965,564
w100_data_s1,data,1,100,4,B,6,0.8983332387068134,False,772.8750309204173,14839.381124252359,564
w100_data_s1,data,1,100,4,B,7,0.9801449282487681,False,905.3333110290378,19296.57755916881,564
w100_data_s1,data,1,100,4,B,8,1.0,True,933.283266795712,20127.43778121551,564
w100_data_s1,data,1,100,4,C,0,0.019855071751231912,False,279.24337523886675,2078.3352207572007,2793
w100_data_s1,data,1,100,4,C,1,0.10166676129318664,False,186.11262197041967,1798.455874996604,2793
w100_data_s1,data,1,100,4,C,2,0.2372337950418355,False,205.56871230467522,1652.2899987353646,2793
w100_data_s1,data,1,100,4,C,3,0.4082826787521751,False,189.22589726565775,1579.310655258968,2793
w100_data_s1,data,1,100,4,C,4,0.5917173212478248,False,207.66082394411,1630.21997819984,2793
w100_data_s1,data,1,100,4,C,5,0.7627662049581645,False,202.97194603828572,1769.1678879829867,2793
w100_data_s1,data,1,100,4,C,6,0.8983332387068134,False,202.8506040841762,2064.6222743344206,2793
w100_data_s1,data,1,100,4,C,7,0.9801449282487681,False,251.21210120238402,2198.4178990680803,2793
w100_data_s1,data,1,100,4,C,8,1.0,True,261.9172081449044,2352.5024923948536,2793
w100_data_s2,data,2,100,4,A,0,0.019855071751231912,False,282.405410692258,5380.5878488502685,604
w100_data_s2,data,2,100,4,A,1,0.10166676129318664,False,268.9973807844473,3727.201315843734,604
w100_data_s2,data,2,100,4,A,2,0.2372337950418355,False,271.2434407950759,4248.3539236579245,604
w100_data_s2,data,2,100,4,A,3,0.4082826787521751,False,320.44099959127607,4739.7644736482935,604
w100_data_s2,data,2,100,4,A,4,0.5917173212478248,False,322.9148960332946,5916.364980743989,604
w100_data_s2,data,2,100,4,A,5,0.7627662049581645,False,281.15477580407696,7777.479932685522,604
w100_data_s2,data,2,100,4,A,6,0.8983332387068134,False,257.5805315316775,8245.305256094776,604
w100_data_s2,data,2,100,4,A,7,0.9801449282487681,False,278.44961019684115,9757.541853360937,604
w100_data_s2,data,2,100,4,A,8,1.0,True,294.5872648497457,10172.572078526764,604
w100_data_s2,data,2,100,4,B,0,0.019855071751231912,False,694.8751580532714,5401.41178451345,564
w100_data_s2,data,2,100,4,B,1,0.10166676129318664,False,501.06153419203815,4469.7101108444185,564
w100_data_s2,data,2,100,4,B,2,0.2372337950418355,False,552.8736551485594,5245.146434554414,564
w100_data_s2,data,2,100,4,B,3,0.4082826787521751,False,701.2747945600051,5948.198128274439,564
w100_data_s2,data,2,100,4,B,4,0.5917173212478248,False,762.3784183080371,8192.634366045344,564
w100_data_s2,data,2,100,4,B,5,0.7627662049581645,False,730.6120584464537,9091.62687681162,564
w100_data_s2,data,2,100,4,B,6,0.8983332387068134,False,704.0677411867105,14411.194742807229,564
