arm,tag,mode,seed,width,depth,converged,split,leg,band,endpoint_med_um,endpoint_p95_um,stage_med_um,slope_med_mrad,rho_mean,rho_median,straight_med_um,n,ceiling_leg_um,ceiling_band_um,ceiling_band_n,ceiling_own_um,ceiling_own_p95_um
residual,residual_w100_data_s0,data,0,100,4,True,val,A,1-5GeV,0.20944058733751714,46354.16236487412,0.22158095334701144,0.0016099633643185118,0.0050223744769490025,9.494337062675174e-09,25.804742523524773,350,0.0007444257531519227,0.002909424121233517,19,0.0028088209010346255,7173.877347743397
residual,residual_w100_data_s0,data,0,100,4,True,val,A,5-20GeV,0.034024451567443714,2944.74614754792,0.03629674531463456,0.0002226057439214113,5.591247295803811e-06,5.038579748063971e-10,11.007220319043443,184,0.0007444257531519227,0.020400536357767507,9,0.0005096686157557428,2306.1250752016567
residual,residual_w100_data_s0,data,0,100,4,True,val,A,20-200GeV,0.04373378862643218,722.4929666008879,0.045252397497419494,0.00014326476978571492,4.366459811300557e-05,1.5647224677581282e-09,15.481654977695825,98,0.0007444257531519227,0.0004550318470283865,4,0.0009147414785637409,436.5695393626081
residual,residual_w100_data_s0,data,0,100,4,True,val,A,all,0.07836984920039924,17633.40307326501,0.0759967893085578,0.0005642957372669136,0.0027897768782431226,2.0023606991520136e-09,15.482794052115722,632,0.0007444257531519227,0.0007444257531519227,32,0.0012975941081627695,10095.745280850735
residual,residual_w100_data_s0,data,0,100,4,True,val,B,1-5GeV,2746.5239920190925,67531.34261357493,2887.8630015306044,1.377770793010491,0.0002829603195182833,3.861411074087033e-06,1181464.7237645744,219,29.06626263219181,194.32988753253255,14,239.1203764747729,31863.319386796837
residual,residual_w100_data_s0,data,0,100,4,True,val,B,5-20GeV,302.26345897624185,7398.63092796197,366.34459247169457,0.14877469530181,0.00023200606174926,4.550716091590877e-07,360379.6349347898,268,29.06626263219181,18.868742882830247,13,23.771840872143457,312.6197581884921
residual,residual_w100_data_s0,data,0,100,4,True,val,B,20-200GeV,109.97710806950778,3526.7992765545036,130.97900101414695,0.06410230643025955,0.010744107268329304,4.342106730835547e-07,104397.23230693299,94,29.06626263219181,8.451150669401386,5,6.659794481365111,77.86268877226932
residual,residual_w100_data_s0,data,0,100,4,True,val,B,all,510.88873328103546,27660.776825439825,670.413984376296,0.28000842534045556,0.0019519656071364205,8.216338777741694e-07,468725.43876780034,581,29.06626263219181,29.06626263219181,32,46.362551442712174,10372.636338919856
residual,residual_w100_data_s0,data,0,100,4,True,val,C,1-5GeV,0.04034753409598579,51.04623718074208,0.04002233202982097,0.0011934492191861823,5.276087627691995e-07,7.952939086173301e-14,24.01565099967229,1541,1.9820198815523327e-06,2.8307738375588087e-06,18,6.750537906441423e-06,0.20163025035344614
residual,residual_w100_data_s0,data,0,100,4,True,val,C,5-20GeV,0.005129388910063426,9.12156889123139,0.00520422262439979,0.00010267850839365544,6.026420749803066e-07,1.109336660033561e-14,3.982292308535307,901,1.9820198815523327e-06,6.594778056978612e-07,10,1.7530226159578888e-06,0.14228742605375028
residual,residual_w100_data_s0,data,0,100,4,True,val,C,20-200GeV,0.0029126891898378915,1.3537844938852561,0.0029091989472984636,4.23681608945764e-05,5.769102803663902e-08,3.9060010089130287e-14,0.6156453043622001,314,1.9820198815523327e-06,1.1178560299640594e-06,4,4.790932095488643e-07,0.009702852425164103
residual,residual_w100_data_s0,data,0,100,4,True,val,C,all,0.012430601699975341,28.0700577485149,0.012211187680577495,0.000275142081729296,4.98599635627031e-07,3.9318966348810614e-14,6.048405576626337,2756,1.9820198815523327e-06,1.9820198815523327e-06,32,5.807194725093723e-07,3.303541561407996
