leg,band,q,split,n,n_available,converged_frac,ceiling_med_um,ceiling_p95_um,ceiling_stage_med_um,wall_s
A,1-5GeV,8,test,120,324,1.0,0.0028088209010346255,7173.877347743397,0.002724285732974563,2.2
A,5-20GeV,8,test,120,191,1.0,0.0005096686157557428,2306.1250752016567,0.0005098614663801015,2.4
A,20-200GeV,8,test,89,89,1.0,0.0009147414785637409,436.5695393626081,0.000862378335853009,2.1
A,all,8,test,120,604,1.0,0.0012975941081627695,10095.745280850735,0.001232427898678612,2.4
B,1-5GeV,8,test,120,191,1.0,239.1203764747729,31863.319386796837,205.39494762635968,2.1
B,5-20GeV,8,test,120,278,1.0,23.771840872143457,312.6197581884921,25.992147465018434,2.0
B,20-200GeV,8,test,95,95,1.0,6.659794481365111,77.86268877226932,7.018988215605759,1.5
B,all,8,test,120,564,1.0,46.362551442712174,10372.636338919856,46.42657719055876,2.0
C,1-5GeV,8,test,120,1625,1.0,6.750537906441423e-06,0.20163025035344614,7.670112184277045e-06,2.2
C,5-20GeV,8,test,120,857,1.0,1.7530226159578888e-06,0.14228742605375028,2.1779387182618848e-06,2.3
C,20-200GeV,8,test,120,311,1.0,4.790932095488643e-07,0.009702852425164103,5.366636024461968e-07,2.2
C,all,8,test,120,2793,1.0,5.807194725093723e-07,3.303541561407996,3.141380489068979e-07,2.3
