tag,width,depth,q,mode,seed,n_train,n_parameters,converged,restarts,final_loss,wall_s,val_median_um,val_p95_um,val_stage_um,val_slope_mrad,val_rho,val_straight_um,test_median_um,test_p95_um,test_stage_um,test_slope_mrad,test_rho,test_straight_um
w128_d2_q02_data_s0,128,2,2,data,0,4002,19084,True,179,0.00012617571547477005,1824.1,0.1662215998692318,8459.280065232284,0.10897478676952232,0.10338853962524319,1.2412498181296718e-12,11.660928643891566,0.1644175248998181,8947.797615206006,0.1138251104180199,0.10940577435017765,1.4524917248357774e-12,12.07131072872647
w128_d2_q02_data_s1,128,2,2,data,1,4002,19084,True,184,0.00012242816188670874,2368.7,0.17775617464010907,9476.698831469626,0.11945672128454987,0.1355386114972228,2.987745922384086e-12,11.660928643891566,0.18145061639529558,9609.154384740561,0.1198376717326255,0.141715488357974,2.99424472326429e-12,12.07131072872647
w128_d2_q02_data_s2,128,2,2,data,2,4002,19084,True,174,0.0001606793306094692,1609.5,0.2091634738690118,9118.019710053182,0.13920442975567937,0.1046634703615254,2.608160246850853e-12,11.660928643891566,0.2069961687709565,9355.061242454276,0.13397821959770795,0.11287799489818895,2.4387743468000294e-12,12.07131072872647
w128_d2_q02_physics_s0,128,2,2,physics,0,4002,19084,True,48,1.362873137408853e-06,593.4,1.4148795596895525,21002.510607665306,0.8381489714537338,0.2172218555701981,3.353182164464213e-11,11.660928643891566,1.4849631485027714,23045.770067274072,0.8629372208304176,0.23032123473414046,4.191785295953638e-11,12.07131072872647
w128_d2_q02_physics_s1,128,2,2,physics,1,4002,19084,True,43,1.3548200054505866e-06,596.8,0.9920265506053738,20578.677755002303,0.8069669570054394,0.2181612111923359,1.7422073423452717e-11,11.660928643891566,0.970693236670428,22616.32281688415,0.8025238337765472,0.2205872608061986,1.9504055195582787e-11,12.07131072872647
w128_d2_q02_physics_s2,128,2,2,physics,2,4002,19084,True,56,1.1612067752526222e-06,638.9,1.242211251280878,21292.963672840546,0.930866333462177,0.2146516402554803,2.7119855596196142e-11,11.660928643891566,1.220672725651184,22968.63597763275,0.9596096768653695,0.22447440616926717,3.427141862241411e-11,12.07131072872647
w128_d2_q04_data_s0,128,2,4,data,0,4002,20116,True,153,0.00010121675900454349,1577.5,0.1607802084748755,8818.254190888976,0.1520221506794428,0.05990891955452715,1.0541782137235302e-12,11.660928643891566,0.16126158588880557,8784.25714639841,0.1472425501329866,0.060634603463123604,9.9301781813085e-13,12.07131072872647
w128_d2_q04_data_s1,128,2,4,data,1,4002,20116,True,187,0.00022596705147737457,1350.9,0.16270090711145713,8991.452945348654,0.14988542028504526,0.06882716196476846,9.162925330320576e-13,11.660928643891566,0.15901814461471986,9161.252636482284,0.14602750329828496,0.06697398382532471,8.123012230588543e-13,12.07131072872647
w128_d2_q04_data_s2,128,2,4,data,2,4002,20116,True,169,0.00014136614683767836,1846.2,0.19932318970461438,8151.717945256204,0.1848398710375676,0.07186114799749219,1.849993904890792e-12,11.660928643891566,0.20514182217112875,9012.595049886146,0.18797030910278067,0.07290501917188441,2.0594408946214722e-12,12.07131072872647
w128_d2_q04_physics_s0,128,2,4,physics,0,4002,20116,True,45,1.5297352522756066e-06,661.7,1.2131373160144676,7109.235268481669,1.1904684252783682,0.22530096979214623,1.952801835520072e-11,11.660928643891566,1.1483225421784482,7204.564744774259,1.2387208791059257,0.24582220708553593,2.3463238735913566e-11,12.07131072872647
w128_d2_q04_physics_s1,128,2,4,physics,1,4002,20116,True,49,1.11442041597118e-06,725.4,1.242540683527693,7037.520155441649,1.3456051455591478,0.17333954654406153,2.330863468623152e-11,11.660928643891566,1.2530652685143195,6983.794468305679,1.4763426760850962,0.1838369152886432,2.5565319416203177e-11,12.07131072872647
