row,arm,direction,0.05-0.2 mm,0.5-2 mm,5-20 mm,50-200 mm,500-2000 mm,full crossing
q=2,physics,forward,2.65e-05 [1.37e-05-3.24e-05],0.00295 [0.00143-0.00332],0.228 [0.153-0.288],7.66 [5.93-9.63],242 [220-250],5.13e+03 [4.87e+03-5.23e+03]
q=2,physics,backward,3.01e-05 [1.38e-05-3.24e-05],0.00294 [0.00142-0.00332],0.259 [0.152-0.448],10.1 [7.35-18.4],241 [218-282],2.51e+04 [2.51e+04-2.55e+04]
q=2,twin,forward,2.33e-06 [1.24e-06-2.73e-06],0.000186 [0.000108-0.000225],0.0222 [0.011-0.0317],2.75 [1.23-4.18],427 [220-821],4e+03 [2.9e+03-5.51e+03]
q=2,twin,backward,2.22e-06 [1.25e-06-2.75e-06],0.000232 [0.00012-0.000235],0.023 [0.0109-0.0293],2.16 [1.19-3.1],515 [245-682],4.3e+03 [2.7e+03-8.69e+03]
q=4,physics,forward,3.15e-05 [2.55e-05-3.78e-05],0.00369 [0.00297-0.00416],0.381 [0.344-0.398],14.4 [8.89-19.3],210 [204-220],4.82e+03 [4.74e+03-4.93e+03]
q=4,physics,backward,3.36e-05 [2.43e-05-3.84e-05],0.0033 [0.00241-0.00394],0.308 [0.172-0.392],12.8 [4.41-18.7],213 [192-249],2.6e+03 [2.56e+03-2.75e+03]
q=4,twin,forward,3.36e-06 [2.28e-06-4.75e-06],0.000266 [0.000218-0.000316],0.0279 [0.0267-0.0297],4.36 [3.19-4.92],969 [717-1.12e+03],6.06e+03 [4.89e+03-8.27e+03]
q=4,twin,backward,2.6e-06 [2.34e-06-3.25e-06],0.000274 [0.000195-0.000313],0.0269 [0.0238-0.0336],2.9 [2.37-3.61],786 [605-876],6.66e+03 [6.6e+03-9.07e+03]
q=6,physics,forward,2.16e-05 [1.87e-05-2.63e-05],0.00274 [0.00212-0.00288],0.318 [0.273-0.337],15.5 [14.3-24.6],206 [184-238],752 [750-858]
q=6,physics,backward,2.44e-05 [1.86e-05-2.69e-05],0.00235 [0.00181-0.00285],0.185 [0.167-0.245],7.74 [4.63-17.7],212 [207-227],751 [637-781]
q=6,twin,forward,4.7e-06 [2.01e-06-4.78e-06],0.000251 [0.00019-0.000326],0.0314 [0.0212-0.0347],3.41 [3.31-4.25],1.18e+03 [575-1.22e+03],5.49e+03 [4.62e+03-9.04e+03]
q=6,twin,backward,2.83e-06 [1.7e-06-3.22e-06],0.00036 [0.000206-0.000453],0.0299 [0.0229-0.0562],2.99 [2.29-3.29],858 [579-906],7.57e+03 [5.09e+03-1.12e+04]
q=8,physics,forward,1.41e-05 [1.08e-05-3.93e-05],0.00151 [0.00105-0.00435],0.156 [0.134-0.337],8.43 [7.52-9.35],226 [199-242],602 [597-666]
q=8,physics,backward,1.38e-05 [9.96e-06-4.04e-05],0.00148 [0.001-0.00443],0.134 [0.0986-0.452],7.52 [6.06-13.2],213 [206-252],761 [696-813]
q=8,twin,forward,3.35e-06 [2.27e-06-5.38e-06],0.000212 [0.000206-0.000287],0.0302 [0.0255-0.0328],4.29 [2.84-4.42],657 [530-1.25e+03],6.76e+03 [5.39e+03-8.1e+03]
q=8,twin,backward,2.8e-06 [2.41e-06-4.34e-06],0.000298 [0.000195-0.000503],0.0236 [0.0217-0.051],2.88 [2.48-3.39],547 [370-852],7.52e+03 [5.33e+03-7.56e+03]
q=10,physics,forward,3.57e-05 [2.05e-05-4.5e-05],0.00416 [0.00204-0.00522],0.445 [0.176-0.455],16.2 [5.44-18.5],228 [217-239],756 [691-804]
q=10,physics,backward,3.74e-05 [2.09e-05-4.8e-05],0.00376 [0.00212-0.00495],0.298 [0.262-0.475],9.05 [6.35-22.1],226 [196-253],658 [645-763]
q=10,twin,forward,2.58e-06 [2.23e-06-3.73e-06],0.000226 [0.000165-0.00036],0.0241 [0.0184-0.0276],3.98 [2.75-4.24],1.18e+03 [511-1.24e+03],4.38e+03 [3.52e+03-7.39e+03]
q=10,twin,backward,3.15e-06 [2.3e-06-3.58e-06],0.00034 [0.00018-0.000351],0.0338 [0.0213-0.0341],3.31 [2.48-3.96],706 [379-883],8.75e+03 [4.99e+03-1.01e+04]
q=12,physics,forward,3.61e-05 [2.03e-05-3.64e-05],0.00405 [0.00229-0.00409],0.437 [0.265-0.448],22.1 [10.6-36.7],227 [216-246],691 [612-881]
q=12,physics,backward,3.8e-05 [2e-05-3.8e-05],0.00376 [0.00187-0.00386],0.325 [0.147-0.342],11.1 [4.81-12.5],214 [196-216],750 [711-789]
q=12,twin,forward,3.7e-06 [3.37e-06-4.05e-06],0.0003 [0.000293-0.00031],0.0225 [0.0212-0.0285],4.27 [3.93-5.01],1.21e+03 [880-1.22e+03],5.22e+03 [5.08e+03-1.05e+04]
q=12,twin,backward,3.77e-06 [3.68e-06-4.92e-06],0.000338 [0.000313-0.000392],0.0274 [0.0261-0.0339],3.29 [2.83-4.17],796 [689-809],7.33e+03 [5.87e+03-8.39e+03]
q=14,physics,forward,1.74e-05 [1.7e-05-5.67e-05],0.00181 [0.00173-0.00613],0.196 [0.145-0.606],13.5 [6.46-21.7],216 [198-250],694 [674-882]
q=14,physics,backward,1.8e-05 [1.61e-05-5.91e-05],0.00185 [0.00165-0.00596],0.226 [0.18-0.566],17.6 [14.5-21.1],225 [221-271],780 [690-788]
q=14,twin,forward,2.74e-06 [2.57e-06-3.45e-06],0.000222 [0.000184-0.000315],0.0298 [0.0221-0.0339],3.07 [2.73-3.86],684 [444-747],5.19e+03 [4.27e+03-5.39e+03]
q=14,twin,backward,2.88e-06 [2.86e-06-3.13e-06],0.000239 [0.000235-0.00028],0.0218 [0.0211-0.0301],2.56 [2.48-3],607 [415-622],5.41e+03 [4.75e+03-5.52e+03]
q=16,physics,forward,2.04e-05 [7.56e-06-4.91e-05],0.00235 [0.000757-0.00526],0.256 [0.0905-0.52],13.4 [12.3-33.4],211 [204-225],739 [733-741]
q=16,physics,backward,2.09e-05 [7.11e-06-4.79e-05],0.00203 [0.000717-0.00498],0.179 [0.0755-0.486],6.93 [4.65-20.3],231 [188-238],755 [702-820]
q=16,twin,forward,4.04e-06 [2.89e-06-4.27e-06],0.000296 [0.000212-0.000313],0.0318 [0.0311-0.0328],3.94 [2.96-4.06],1.24e+03 [547-1.25e+03],6.71e+03 [5.57e+03-1.06e+04]
q=16,twin,backward,3.48e-06 [3.16e-06-3.89e-06],0.000349 [0.000259-0.0004],0.0366 [0.0265-0.0381],3.38 [3.01-3.55],846 [454-896],7.8e+03 [7.71e+03-1.14e+04]
q=18,physics,forward,2.27e-05 [1.36e-05-2.3e-05],0.00265 [0.00144-0.00293],0.27 [0.138-0.331],16.4 [9.53-25.3],211 [190-220],648 [635-758]
q=18,physics,backward,2.36e-05 [1.42e-05-2.37e-05],0.00233 [0.00142-0.00242],0.192 [0.151-0.211],5.07 [4.69-6.16],190 [168-204],646 [531-724]
q=18,twin,forward,3.88e-06 [3.55e-06-4.09e-06],0.000284 [0.000226-0.000367],0.0315 [0.0315-0.0361],4.02 [3.94-4.12],1.23e+03 [816-1.25e+03],7.3e+03 [5.6e+03-7.73e+03]
q=18,twin,backward,3.8e-06 [2.81e-06-4.68e-06],0.00029 [0.000287-0.000402],0.0339 [0.0273-0.0363],3.67 [3.39-3.88],869 [703-873],9.03e+03 [8.84e+03-1.13e+04]
q=20,physics,forward,1.47e-05 [1.18e-05-3.22e-05],0.00161 [0.00134-0.00379],0.195 [0.173-0.417],16.6 [13.4-34.4],203 [188-265],634 [601-791]
q=20,physics,backward,1.51e-05 [1.17e-05-3.46e-05],0.00158 [0.00122-0.00354],0.126 [0.098-0.316],8.67 [4.86-11.1],219 [206-254],707 [624-876]
