row,arm,direction,0.05-0.2 mm,0.5-2 mm,5-20 mm,50-200 mm,500-2000 mm,full crossing
q=2,physics,forward,2.01e-05 [9.76e-06-2.94e-05],0.00223 [0.00111-0.00306],0.227 [0.118-0.268],10.2 [7.19-10.9],265 [230-281],5.24e+03 [5.17e+03-5.33e+03]
q=2,physics,backward,2.06e-05 [1.05e-05-2.81e-05],0.00195 [0.00107-0.00301],0.185 [0.0989-0.339],12.7 [7.9-41.5],278 [206-279],2.51e+04 [2.5e+04-2.53e+04]
q=2,twin,forward,2.16e-06 [2e-06-2.62e-06],0.000243 [0.000162-0.000316],0.0338 [0.0161-0.0422],4.42 [3.1-4.62],860 [386-1.27e+03],4.97e+03 [4.73e+03-8.17e+03]
q=2,twin,backward,2.5e-06 [1.95e-06-4.06e-06],0.000288 [0.000192-0.00029],0.0309 [0.0153-0.0329],2.71 [2.22-3.23],745 [386-860],7.26e+03 [4.17e+03-1.01e+04]
q=4,physics,forward,1.48e-05 [5.65e-06-2.15e-05],0.00154 [0.00056-0.00217],0.152 [0.0559-0.18],6.48 [3.69-12.5],260 [203-279],4.91e+03 [4.87e+03-4.96e+03]
q=4,physics,backward,1.45e-05 [5.69e-06-2.05e-05],0.00152 [0.000604-0.00219],0.168 [0.0626-0.26],21.8 [6.24-23.4],259 [237-299],2.66e+03 [2.52e+03-2.88e+03]
q=4,twin,forward,2.87e-06 [2.68e-06-3.23e-06],0.000237 [0.000203-0.000252],0.0235 [0.02-0.0249],2.86 [2.85-6.31],415 [360-787],5.95e+03 [4.97e+03-7.18e+03]
q=4,twin,backward,2.73e-06 [2.15e-06-3.34e-06],0.000204 [0.000194-0.000235],0.0235 [0.0231-0.0288],2.62 [2.27-2.77],519 [454-796],5.11e+03 [4.81e+03-6.75e+03]
q=6,physics,forward,9.56e-06 [7.71e-06-3.13e-05],0.00105 [0.000788-0.00325],0.0929 [0.0803-0.343],8.22 [5.37-15.7],290 [265-298],852 [846-988]
q=6,physics,backward,9.58e-06 [7.44e-06-3.16e-05],0.00105 [0.000795-0.00313],0.113 [0.0868-0.307],13.9 [12.9-13.9],281 [263-323],865 [834-899]
q=6,twin,forward,2.51e-06 [2.19e-06-3.86e-06],0.000215 [0.000215-0.000266],0.0226 [0.0179-0.0276],4.27 [4.13-5.07],633 [551-694],5.37e+03 [4.78e+03-5.62e+03]
q=6,twin,backward,2.56e-06 [2.45e-06-3.34e-06],0.000247 [0.000204-0.000291],0.0276 [0.0252-0.0308],2.87 [2.61-3.93],620 [611-648],8.31e+03 [8.21e+03-8.7e+03]
q=8,physics,forward,1.08e-05 [5.79e-06-1.27e-05],0.0012 [0.000648-0.00139],0.116 [0.0697-0.148],11.2 [6.55-11.4],271 [244-407],897 [725-991]
q=8,physics,backward,1.05e-05 [6.16e-06-1.21e-05],0.00108 [0.000652-0.00121],0.109 [0.0562-0.113],8.38 [5.4-12.9],285 [231-358],935 [743-962]
q=8,twin,forward,2.51e-06 [2.32e-06-2.96e-06],0.000253 [0.000204-0.000305],0.03 [0.0255-0.0326],4.04 [3.79-4.59],1.21e+03 [618-1.25e+03],6.92e+03 [5.85e+03-8.94e+03]
q=8,twin,backward,2.64e-06 [2.25e-06-3.18e-06],0.000286 [0.000263-0.000296],0.0286 [0.0243-0.0359],2.93 [2.76-3.19],773 [573-897],7.95e+03 [5.56e+03-1.19e+04]
q=10,physics,forward,1.56e-05 [1.22e-05-1.92e-05],0.00154 [0.00112-0.00205],0.127 [0.0896-0.223],11.8 [6.28-25.5],310 [276-324],807 [699-1.04e+03]
q=10,physics,backward,1.57e-05 [1.12e-05-1.75e-05],0.00158 [0.00129-0.00193],0.17 [0.169-0.207],15.1 [12.9-23.4],299 [275-446],968 [897-1.01e+03]
q=10,twin,forward,2.62e-06 [2.62e-06-3.47e-06],0.000301 [0.000178-0.000307],0.0282 [0.0273-0.0352],3.86 [3.35-3.95],643 [635-1.2e+03],7.5e+03 [4.25e+03-7.78e+03]
q=10,twin,backward,3.83e-06 [2.16e-06-4.29e-06],0.000233 [0.000199-0.000302],0.0215 [0.0197-0.0306],2.86 [2.35-3.27],638 [420-675],5.9e+03 [5.39e+03-9.24e+03]
q=12,physics,forward,1.31e-05 [1.19e-05-2e-05],0.00136 [0.00112-0.00209],0.141 [0.13-0.176],15.3 [8.89-16.4],321 [302-336],899 [815-931]
q=12,physics,backward,1.27e-05 [1.06e-05-2.14e-05],0.00132 [0.00114-0.0021],0.124 [0.112-0.273],10.3 [9.28-20.1],328 [318-363],832 [782-1.11e+03]
q=12,twin,forward,2.19e-06 [1.77e-06-2.97e-06],0.000237 [0.000143-0.000242],0.0188 [0.0149-0.0315],3.17 [2.37-4.02],560 [470-746],6.8e+03 [5.77e+03-9.27e+03]
q=12,twin,backward,1.71e-06 [1.5e-06-2.77e-06],0.000197 [0.000158-0.000223],0.0219 [0.0169-0.0257],2.28 [2.27-3.12],441 [386-589],6.01e+03 [5.9e+03-6.15e+03]
q=14,physics,forward,8.91e-06 [8.04e-06-1.44e-05],0.00102 [0.000785-0.0015],0.119 [0.0767-0.144],10.4 [6.7-12.1],255 [232-381],949 [852-1.17e+03]
