row,arm,direction,0.05-0.2 mm,0.5-2 mm,5-20 mm,50-200 mm,500-2000 mm,full crossing
q=2,physics,forward,2.38e-05 [1.06e-05-3.14e-05],0.00246 [0.00115-0.00313],0.235 [0.114-0.299],10.9 [9.46-12.4],303 [278-363],5.13e+03 [4.82e+03-5.28e+03]
q=2,physics,backward,2.54e-05 [1.16e-05-3.15e-05],0.00239 [0.00114-0.0031],0.29 [0.123-0.378],13.1 [11.5-37.3],379 [322-439],2.54e+04 [2.53e+04-2.56e+04]
q=2,twin,forward,9.87e-07 [8.44e-07-1.13e-06],7.59e-05 [7.21e-05-8.38e-05],0.00799 [0.00715-0.00823],1.23 [1.06-1.38],161 [147-168],1.39e+03 [969-1.42e+03]
q=2,twin,backward,8.9e-07 [7.26e-07-1.01e-06],7.32e-05 [6.49e-05-8.17e-05],0.00874 [0.0064-0.0105],1.19 [0.947-1.44],157 [148-221],1.32e+03 [970-1.84e+03]
q=4,physics,forward,1.26e-05 [5.74e-06-4.52e-05],0.00135 [0.000627-0.00472],0.131 [0.0641-0.485],11.1 [6.02-45.1],299 [291-316],4.98e+03 [4.94e+03-5.15e+03]
q=4,physics,backward,1.2e-05 [5.91e-06-4.32e-05],0.00123 [0.000563-0.00459],0.138 [0.0546-0.442],14.8 [6.27-22],353 [333-356],2.63e+03 [2.6e+03-2.76e+03]
q=4,twin,forward,7.59e-07 [6.46e-07-8.61e-07],5.95e-05 [4.29e-05-5.99e-05],0.00554 [0.00495-0.00665],0.936 [0.781-1.03],129 [124-145],968 [884-1.5e+03]
q=4,twin,backward,7.32e-07 [6.98e-07-8.32e-07],5.52e-05 [4.84e-05-6.13e-05],0.00727 [0.0068-0.00731],0.968 [0.759-1.09],135 [112-151],996 [938-1.26e+03]
q=6,physics,forward,2.13e-05 [1.16e-05-4.21e-05],0.0024 [0.00132-0.00456],0.255 [0.13-0.462],25.5 [13-46.6],337 [300-450],732 [679-872]
q=6,physics,backward,2.08e-05 [1.16e-05-3.99e-05],0.00229 [0.00129-0.00437],0.211 [0.12-0.403],12.9 [11.1-27.5],314 [301-315],765 [728-811]
q=6,twin,forward,7.93e-07 [7.78e-07-1.93e-06],8.37e-05 [6.12e-05-0.000232],0.00834 [0.00758-0.0233],1.18 [1.03-2.81],140 [140-493],1.34e+03 [1.11e+03-5.24e+03]
q=6,twin,backward,7.88e-07 [7.42e-07-1.98e-06],8.26e-05 [7.54e-05-0.000196],0.00841 [0.00753-0.0189],1.06 [1.01-2.86],180 [172-424],1.56e+03 [1.39e+03-6.37e+03]
q=8,physics,forward,2.62e-05 [1.6e-05-2.71e-05],0.00283 [0.00164-0.00285],0.288 [0.156-0.293],15.6 [10.1-15.8],305 [244-316],766 [636-975]
q=8,physics,backward,2.61e-05 [1.58e-05-2.71e-05],0.0027 [0.00154-0.0028],0.248 [0.176-0.284],21.6 [13.9-24.2],309 [298-336],817 [782-880]
q=8,twin,forward,1.25e-06 [1.07e-06-1.58e-06],0.000125 [8.32e-05-0.000133],0.0133 [0.00694-0.0187],1.75 [1.06-2.27],280 [163-395],2.91e+03 [1.91e+03-5.99e+03]
q=8,twin,backward,1.22e-06 [1.18e-06-1.53e-06],0.00013 [8.63e-05-0.000161],0.0124 [0.00787-0.0157],1.46 [1.02-1.91],263 [159-361],1.91e+03 [1.58e+03-4.53e+03]
q=10,physics,forward,1.57e-05 [1.39e-05-1.88e-05],0.00164 [0.00146-0.00209],0.171 [0.148-0.204],9.1 [7.66-21.7],296 [294-394],639 [614-681]
q=10,physics,backward,1.47e-05 [1.41e-05-1.89e-05],0.00154 [0.0014-0.00189],0.156 [0.151-0.191],12.4 [10.3-17.8],345 [297-368],865 [799-880]
q=10,twin,forward,1.16e-06 [1.11e-06-1.31e-06],0.000101 [7.48e-05-0.000112],0.0102 [0.00928-0.0145],1.45 [1.28-1.5],222 [170-285],2.46e+03 [1.15e+03-2.46e+03]
q=10,twin,backward,1.09e-06 [9.95e-07-1.17e-06],8.46e-05 [7.73e-05-0.000114],0.0127 [0.00743-0.0135],1.4 [1.2-1.45],263 [154-277],2.67e+03 [1.58e+03-2.79e+03]
q=12,physics,forward,1.17e-05 [1.11e-05-1.56e-05],0.0012 [0.00116-0.0016],0.113 [0.112-0.133],9.39 [7.99-12.2],277 [265-296],687 [614-689]
q=12,physics,backward,1.12e-05 [1.11e-05-1.48e-05],0.00107 [0.00106-0.0016],0.128 [0.127-0.174],15.9 [10-18.2],319 [278-355],859 [735-963]
q=12,twin,forward,2.28e-06 [1.26e-06-2.43e-06],0.000215 [9.34e-05-0.000215],0.0178 [0.0115-0.022],2.24 [1.56-2.88],295 [195-494],4.51e+03 [1.82e+03-6.07e+03]
q=12,twin,backward,2.08e-06 [1.27e-06-2.21e-06],0.0002 [9.51e-05-0.000217],0.0209 [0.00958-0.0216],2.53 [1.66-2.72],435 [222-525],3.53e+03 [2.24e+03-6.21e+03]
q=14,physics,forward,2.17e-05 [1.28e-05-2.51e-05],0.00235 [0.00135-0.00275],0.23 [0.155-0.268],18 [13-18.6],279 [250-282],748 [596-859]
q=14,physics,backward,2.23e-05 [1.2e-05-2.5e-05],0.00217 [0.00123-0.00262],0.239 [0.118-0.268],21.8 [8.14-22],288 [279-367],794 [751-886]
q=14,twin,forward,1.32e-06 [1.06e-06-3.09e-06],6.83e-05 [6.79e-05-0.000191],0.00772 [0.007-0.0216],1.19 [1.04-2.39],170 [168-537],1.17e+03 [1.08e+03-5.47e+03]
q=14,twin,backward,1.39e-06 [1.09e-06-3.09e-06],8.32e-05 [7.34e-05-0.00025],0.0109 [0.00671-0.0251],1.33 [1.15-2.7],183 [182-424],1.48e+03 [1.29e+03-4.69e+03]
q=16,physics,forward,2.24e-05 [1.46e-05-2.77e-05],0.00245 [0.00157-0.003],0.259 [0.159-0.28],20.1 [12.9-27.7],299 [296-343],681 [546-735]
q=16,physics,backward,2.1e-05 [1.41e-05-2.71e-05],0.00223 [0.00147-0.00282],0.22 [0.154-0.297],17.6 [11.5-30.4],320 [315-351],812 [736-873]
q=16,twin,forward,1.24e-06 [1.1e-06-1.52e-06],8.92e-05 [8.19e-05-0.000126],0.01 [0.00858-0.0142],1.54 [1.48-1.79],230 [185-254],2.09e+03 [1.48e+03-2.25e+03]
