tag,width,depth,q,mode,seed,wall_s,host,created
w256_d4_q02_data_s0,256,4,2,data,0,1025.1,wn-knek-005.nikhef.nl,2026-09-08 13:46:40
w256_d4_q02_data_s1,256,4,2,data,1,1011.4,wn-lot-050.nikhef.nl,2026-09-08 13:46:25
w256_d4_q02_data_s2,256,4,2,data,2,1019.9,wn-lot-045.nikhef.nl,2026-09-08 13:46:37
w256_d4_q02_physics_s0,256,4,2,physics,0,1027.3,wn-knek-009.nikhef.nl,2026-09-08 13:46:40
w256_d4_q02_physics_s1,256,4,2,physics,1,1028.4,wn-knek-017.nikhef.nl,2026-09-08 13:46:43
w256_d4_q02_physics_s2,256,4,2,physics,2,1026.1,wn-knek-017.nikhef.nl,2026-09-08 13:46:40
w256_d4_q04_data_s0,256,4,4,data,0,1075.5,wn-lot-038.nikhef.nl,2026-09-08 13:47:37
w256_d4_q04_data_s1,256,4,4,data,1,1036.3,wn-knek-015.nikhef.nl,2026-09-08 13:47:00
w256_d4_q04_data_s2,256,4,4,data,2,1087.1,wn-lot-049.nikhef.nl,2026-09-08 13:47:50
w256_d4_q04_physics_s0,256,4,4,physics,0,1087.8,wn-lot-049.nikhef.nl,2026-09-08 13:47:47
w256_d4_q04_physics_s1,256,4,4,physics,1,1238.9,wn-lot-004.nikhef.nl,2026-09-08 13:50:19
w256_d4_q04_physics_s2,256,4,4,physics,2,1349.2,wn-sate-069.nikhef.nl,2026-09-08 13:52:11
w256_d4_q06_data_s0,256,4,6,data,0,1056.9,wn-lot-048.nikhef.nl,2026-09-08 13:47:21
w256_d4_q06_data_s1,256,4,6,data,1,1059.9,wn-knek-004.nikhef.nl,2026-09-08 13:47:25
w256_d4_q06_data_s2,256,4,6,data,2,1075.8,wn-lot-046.nikhef.nl,2026-09-08 13:47:41
w256_d4_q06_physics_s0,256,4,6,physics,0,1046.1,wn-lot-045.nikhef.nl,2026-09-08 13:47:09
w256_d4_q06_physics_s1,256,4,6,physics,1,1042.4,wn-knek-005.nikhef.nl,2026-09-08 13:47:06
w256_d4_q06_physics_s2,256,4,6,physics,2,1072.4,wn-lot-051.nikhef.nl,2026-09-08 13:47:37
w256_d4_q08_data_s0,256,4,8,data,0,1070.5,wn-lot-059.nikhef.nl,2026-09-08 13:47:39
w256_d4_q08_data_s1,256,4,8,data,1,1084.5,wn-lot-046.nikhef.nl,2026-09-08 13:47:51
w256_d4_q08_data_s2,256,4,8,data,2,1045,wn-knek-013.nikhef.nl,2026-09-08 13:47:14
w256_d4_q08_physics_s0,256,4,8,physics,0,1061.4,wn-lot-044.nikhef.nl,2026-09-08 13:47:29
w256_d4_q08_physics_s1,256,4,8,physics,1,1091.2,wn-lot-037.nikhef.nl,2026-09-08 13:47:59
w256_d4_q08_physics_s2,256,4,8,physics,2,1082,wn-lot-046.nikhef.nl,2026-09-08 13:47:48
w256_d4_q10_data_s0,256,4,10,data,0,1100.9,wn-lot-049.nikhef.nl,2026-09-08 13:48:10
w256_d4_q10_data_s1,256,4,10,data,1,1077.8,wn-lot-047.nikhef.nl,2026-09-08 13:47:48
w256_d4_q10_data_s2,256,4,10,data,2,1068.9,wn-lot-048.nikhef.nl,2026-09-08 13:47:38
w256_d4_q10_physics_s0,256,4,10,physics,0,1079.4,wn-lot-059.nikhef.nl,2026-09-08 13:47:48
w256_d4_q10_physics_s1,256,4,10,physics,1,1099.4,wn-lot-057.nikhef.nl,2026-09-08 13:48:08
w256_d4_q10_physics_s2,256,4,10,physics,2,1099.9,wn-lot-051.nikhef.nl,2026-09-08 13:48:09
w256_d4_q12_data_s0,256,4,12,data,0,1094.9,wn-lot-055.nikhef.nl,2026-09-08 13:48:07
w256_d4_q12_data_s1,256,4,12,data,1,1078.8,wn-lot-053.nikhef.nl,2026-09-08 13:47:51
w256_d4_q12_data_s2,256,4,12,data,2,1094.3,wn-lot-038.nikhef.nl,2026-09-08 13:48:05
w256_d4_q12_physics_s0,256,4,12,physics,0,1096.3,wn-lot-046.nikhef.nl,2026-09-08 13:48:06
w256_d4_q12_physics_s1,256,4,12,physics,1,1066.1,wn-lot-047.nikhef.nl,2026-09-08 13:47:37
w256_d4_q12_physics_s2,256,4,12,physics,2,1096.2,wn-lot-055.nikhef.nl,2026-09-08 13:48:08
w256_d4_q14_data_s0,256,4,14,data,0,1066.7,wn-lot-044.nikhef.nl,2026-09-08 13:47:39
w256_d4_q14_data_s1,256,4,14,data,1,1069.8,wn-lot-047.nikhef.nl,2026-09-08 13:47:42
w256_d4_q14_data_s2,256,4,14,data,2,1122,wn-lot-064.nikhef.nl,2026-09-08 13:48:36
w256_d4_q14_physics_s0,256,4,14,physics,0,1095.6,wn-lot-057.nikhef.nl,2026-09-08 13:48:07
w256_d4_q14_physics_s1,256,4,14,physics,1,1075.2,wn-lot-053.nikhef.nl,2026-09-08 13:47:47
w256_d4_q14_physics_s2,256,4,14,physics,2,1088.4,wn-lot-038.nikhef.nl,2026-09-08 13:48:00
w256_d4_q16_data_s0,256,4,16,data,0,1131.6,wn-lot-064.nikhef.nl,2026-09-08 13:48:46
w256_d4_q16_data_s1,256,4,16,data,1,1137.2,wn-lot-064.nikhef.nl,2026-09-08 13:48:52
w256_d4_q16_data_s2,256,4,16,data,2,1120.1,wn-lot-049.nikhef.nl,2026-09-08 13:48:35
w256_d4_q16_physics_s0,256,4,16,physics,0,1093.2,wn-lot-059.nikhef.nl,2026-09-08 13:48:07
w256_d4_q16_physics_s1,256,4,16,physics,1,1058,wn-knek-017.nikhef.nl,2026-09-08 13:47:32
w256_d4_q16_physics_s2,256,4,16,physics,2,1100.2,wn-lot-055.nikhef.nl,2026-09-08 13:48:14
w256_d4_q18_data_s0,256,4,18,data,0,1115.3,wn-lot-057.nikhef.nl,2026-09-08 13:48:31
w256_d4_q18_data_s1,256,4,18,data,1,1145.8,wn-lot-064.nikhef.nl,2026-09-08 13:49:02
w256_d4_q18_data_s2,256,4,18,data,2,1105.9,wn-lot-055.nikhef.nl,2026-09-08 13:48:22
w256_d4_q18_physics_s0,256,4,18,physics,0,1098.2,wn-lot-059.nikhef.nl,2026-09-08 13:48:13
w256_d4_q18_physics_s1,256,4,18,physics,1,1114.1,wn-lot-049.nikhef.nl,2026-09-08 13:48:29
w256_d4_q18_physics_s2,256,4,18,physics,2,1116.6,wn-lot-049.nikhef.nl,2026-09-08 13:48:31
w256_d4_q20_data_s0,256,4,20,data,0,1135,wn-lot-064.nikhef.nl,2026-09-08 13:48:51
w256_d4_q20_data_s1,256,4,20,data,1,1114.9,wn-lot-057.nikhef.nl,2026-09-08 13:48:31
w256_d4_q20_data_s2,256,4,20,data,2,1146.2,wn-lot-064.nikhef.nl,2026-09-08 13:49:03
w256_d4_q20_physics_s0,256,4,20,physics,0,1104.2,wn-lot-049.nikhef.nl,2026-09-08 13:48:20
w256_d4_q20_physics_s1,256,4,20,physics,1,1112,wn-lot-038.nikhef.nl,2026-09-08 13:48:28
w256_d4_q20_physics_s2,256,4,20,physics,2,1087.2,wn-lot-053.nikhef.nl,2026-09-08 13:48:04
w256_d8_q02_data_s0,256,8,2,data,0,1910.5,wn-lot-046.nikhef.nl,2026-09-08 14:01:48
w256_d8_q02_data_s1,256,8,2,data,1,1971.1,wn-lot-064.nikhef.nl,2026-09-08 14:02:49
w256_d8_q02_data_s2,256,8,2,data,2,1911.6,wn-lot-049.nikhef.nl,2026-09-08 14:01:49
w256_d8_q02_physics_s0,256,8,2,physics,0,1882.7,wn-lot-038.nikhef.nl,2026-09-08 14:01:20
w256_d8_q02_physics_s1,256,8,2,physics,1,1905,wn-lot-055.nikhef.nl,2026-09-08 14:01:42
w256_d8_q02_physics_s2,256,8,2,physics,2,1900,wn-lot-046.nikhef.nl,2026-09-08 14:01:37
w256_d8_q04_data_s0,256,8,4,data,0,2566.5,wn-sate-064.nikhef.nl,2026-09-08 14:12:51
w256_d8_q04_data_s1,256,8,4,data,1,1903.3,wn-lot-038.nikhef.nl,2026-09-08 14:01:45
w256_d8_q04_data_s2,256,8,4,data,2,1885.4,wn-lot-048.nikhef.nl,2026-09-08 14:01:26
w256_d8_q04_physics_s0,256,8,4,physics,0,1952.1,wn-lot-037.nikhef.nl,2026-09-08 14:02:31
w256_d8_q04_physics_s1,256,8,4,physics,1,1923.4,wn-lot-055.nikhef.nl,2026-09-08 14:02:02
w256_d8_q04_physics_s2,256,8,4,physics,2,1925.2,wn-lot-049.nikhef.nl,2026-09-08 14:02:05
w256_d8_q06_data_s0,256,8,6,data,0,1917.5,wn-lot-057.nikhef.nl,2026-09-08 14:01:59
w256_d8_q06_data_s1,256,8,6,data,1,1951.5,wn-lot-064.nikhef.nl,2026-09-08 14:02:33
w256_d8_q06_data_s2,256,8,6,data,2,2175.5,wn-lot-004.nikhef.nl,2026-09-08 14:06:17
w256_d8_q06_physics_s0,256,8,6,physics,0,1864.9,wn-knek-001.nikhef.nl,2026-09-08 14:01:07
w256_d8_q06_physics_s1,256,8,6,physics,1,1875.5,wn-lot-045.nikhef.nl,2026-09-08 14:01:16
w256_d8_q06_physics_s2,256,8,6,physics,2,1925,wn-lot-049.nikhef.nl,2026-09-08 14:02:06
w256_d8_q08_data_s0,256,8,8,data,0,1923,wn-lot-046.nikhef.nl,2026-09-08 14:02:04
w256_d8_q08_data_s1,256,8,8,data,1,1928.8,wn-lot-057.nikhef.nl,2026-09-08 14:02:10
w256_d8_q08_data_s2,256,8,8,data,2,1936.6,wn-lot-049.nikhef.nl,2026-09-08 14:02:18
w256_d8_q08_physics_s0,256,8,8,physics,0,1915.8,wn-lot-046.nikhef.nl,2026-09-08 14:01:57
w256_d8_q08_physics_s1,256,8,8,physics,1,1916.5,wn-lot-046.nikhef.nl,2026-09-08 14:01:58
w256_d8_q08_physics_s2,256,8,8,physics,2,1947.5,wn-lot-064.nikhef.nl,2026-09-08 14:02:29
w256_d8_q10_data_s0,256,8,10,data,0,1981.1,wn-lot-064.nikhef.nl,2026-09-08 14:03:04
w256_d8_q10_data_s1,256,8,10,data,1,1894.2,wn-lot-051.nikhef.nl,2026-09-08 14:01:37
w256_d8_q10_data_s2,256,8,10,data,2,1947.1,wn-lot-055.nikhef.nl,2026-09-08 14:02:30
w256_d8_q10_physics_s0,256,8,10,physics,0,1893.3,wn-lot-045.nikhef.nl,2026-09-08 14:01:34
w256_d8_q10_physics_s1,256,8,10,physics,1,1978.9,wn-lot-064.nikhef.nl,2026-09-08 14:03:00
w256_d8_q10_physics_s2,256,8,10,physics,2,1929.4,wn-lot-046.nikhef.nl,2026-09-08 14:02:11
w256_d8_q12_data_s0,256,8,12,data,0,1906.2,wn-lot-044.nikhef.nl,2026-09-08 14:01:54
w256_d8_q12_data_s1,256,8,12,data,1,1940.8,wn-lot-057.nikhef.nl,2026-09-08 14:02:30
w256_d8_q12_data_s2,256,8,12,data,2,1928.8,wn-lot-053.nikhef.nl,2026-09-08 14:02:18
w256_d8_q12_physics_s0,256,8,12,physics,0,2012.3,wn-lot-064.nikhef.nl,2026-09-08 14:03:37
w256_d8_q12_physics_s1,256,8,12,physics,1,1986.7,wn-lot-064.nikhef.nl,2026-09-08 14:03:13
w256_d8_q12_physics_s2,256,8,12,physics,2,1927.1,wn-lot-055.nikhef.nl,2026-09-08 14:02:14
w256_d8_q14_data_s0,256,8,14,data,0,1882.8,wn-knek-015.nikhef.nl,2026-09-08 14:02:01
w256_d8_q14_data_s1,256,8,14,data,1,2600.7,wn-sate-067.nikhef.nl,2026-09-08 14:14:02
w256_d8_q14_data_s2,256,8,14,data,2,2621.9,wn-sate-065.nikhef.nl,2026-09-08 14:14:26
w256_d8_q14_physics_s0,256,8,14,physics,0,1904.9,wn-lot-053.nikhef.nl,2026-09-08 14:01:57
w256_d8_q14_physics_s1,256,8,14,physics,1,1994.4,wn-lot-064.nikhef.nl,2026-09-08 14:03:27
w256_d8_q14_physics_s2,256,8,14,physics,2,1901.8,wn-lot-051.nikhef.nl,2026-09-08 14:02:16
w256_d8_q16_data_s0,256,8,16,data,0,1910.6,wn-lot-048.nikhef.nl,2026-09-08 14:02:40
w256_d8_q16_data_s1,256,8,16,data,1,1949.7,wn-lot-046.nikhef.nl,2026-09-08 14:03:21
w256_d8_q16_data_s2,256,8,16,data,2,2602.9,wn-sate-069.nikhef.nl,2026-09-08 14:14:15
w256_d8_q16_physics_s0,256,8,16,physics,0,1909.3,wn-lot-045.nikhef.nl,2026-09-08 14:02:34
w256_d8_q16_physics_s1,256,8,16,physics,1,1954.7,wn-lot-049.nikhef.nl,2026-09-08 14:03:23
w256_d8_q16_physics_s2,256,8,16,physics,2,1988.6,wn-lot-064.nikhef.nl,2026-09-08 14:03:57
w256_d8_q18_data_s0,256,8,18,data,0,1930.9,wn-lot-059.nikhef.nl,2026-09-08 14:03:09
w256_d8_q18_data_s1,256,8,18,data,1,1915,wn-lot-053.nikhef.nl,2026-09-08 14:02:56
w256_d8_q18_data_s2,256,8,18,data,2,1945.8,wn-lot-055.nikhef.nl,2026-09-08 14:03:27
w256_d8_q18_physics_s0,256,8,18,physics,0,1984.7,wn-lot-037.nikhef.nl,2026-09-08 14:03:58
w256_d8_q18_physics_s1,256,8,18,physics,1,1679,wn-lot-060.nikhef.nl,2026-09-08 13:58:52
w256_d8_q18_physics_s2,256,8,18,physics,2,1935.6,wn-lot-047.nikhef.nl,2026-09-08 14:03:10
w256_d8_q20_data_s0,256,8,20,data,0,1934.1,wn-lot-059.nikhef.nl,2026-09-08 14:03:16
w256_d8_q20_data_s1,256,8,20,data,1,1967.1,wn-lot-055.nikhef.nl,2026-09-08 14:03:49
w256_d8_q20_data_s2,256,8,20,data,2,1940.7,wn-lot-053.nikhef.nl,2026-09-08 14:03:23
w256_d8_q20_physics_s0,256,8,20,physics,0,1935.7,wn-lot-038.nikhef.nl,2026-09-08 14:03:17
w256_d8_q20_physics_s1,256,8,20,physics,1,2650.7,wn-sate-061.nikhef.nl,2026-09-08 14:15:14
w256_d8_q20_physics_s2,256,8,20,physics,2,1936.3,wn-lot-057.nikhef.nl,2026-09-08 14:03:19
w32_d2_q02_data_s0,32,2,2,data,0,276.4,wn-knek-013.nikhef.nl,2026-09-08 13:26:18
w32_d2_q02_data_s1,32,2,2,data,1,277.6,wn-knek-003.nikhef.nl,2026-09-08 13:26:20
w32_d2_q02_data_s2,32,2,2,data,2,276.7,wn-knek-009.nikhef.nl,2026-09-08 13:26:16
w32_d2_q02_physics_s0,32,2,2,physics,0,219.8,wn-lot-009.nikhef.nl,2026-09-08 13:25:22
w32_d2_q02_physics_s1,32,2,2,physics,1,275.3,wn-knek-012.nikhef.nl,2026-09-08 13:26:16
w32_d2_q02_physics_s2,32,2,2,physics,2,281.3,wn-lot-038.nikhef.nl,2026-09-08 13:26:24
w32_d2_q04_data_s0,32,2,4,data,0,281.3,wn-knek-014.nikhef.nl,2026-09-08 13:26:21
w32_d2_q04_data_s1,32,2,4,data,1,283.6,wn-lot-049.nikhef.nl,2026-09-08 13:26:24
w32_d2_q04_data_s2,32,2,4,data,2,287,wn-knek-017.nikhef.nl,2026-09-08 13:26:28
w32_d2_q04_physics_s0,32,2,4,physics,0,297.9,wn-knek-004.nikhef.nl,2026-09-08 13:26:39
w32_d2_q04_physics_s1,32,2,4,physics,1,281.9,wn-knek-010.nikhef.nl,2026-09-08 13:26:18
w32_d2_q04_physics_s2,32,2,4,physics,2,261.2,wn-lot-061.nikhef.nl,2026-09-08 13:26:04
w32_d2_q06_data_s0,32,2,6,data,0,287.5,wn-knek-005.nikhef.nl,2026-09-08 13:26:25
w32_d2_q06_data_s1,32,2,6,data,1,356.2,wn-lot-003.nikhef.nl,2026-09-08 13:27:39
w32_d2_q06_data_s2,32,2,6,data,2,288.4,wn-lot-045.nikhef.nl,2026-09-08 13:26:29
w32_d2_q06_physics_s0,32,2,6,physics,0,281.1,wn-knek-015.nikhef.nl,2026-09-08 13:26:18
w32_d2_q06_physics_s1,32,2,6,physics,1,300.5,wn-lot-037.nikhef.nl,2026-09-08 13:26:43
w32_d2_q06_physics_s2,32,2,6,physics,2,287.6,wn-knek-007.nikhef.nl,2026-09-08 13:26:26
w32_d2_q08_data_s0,32,2,8,data,0,293.9,wn-lot-046.nikhef.nl,2026-09-08 13:26:33
w32_d2_q08_data_s1,32,2,8,data,1,291.8,wn-lot-044.nikhef.nl,2026-09-08 13:26:30
w32_d2_q08_data_s2,32,2,8,data,2,297.5,wn-lot-064.nikhef.nl,2026-09-08 13:26:39
w32_d2_q08_physics_s0,32,2,8,physics,0,287.2,wn-lot-059.nikhef.nl,2026-09-08 13:26:28
w32_d2_q08_physics_s1,32,2,8,physics,1,282.5,wn-lot-050.nikhef.nl,2026-09-08 13:26:18
w32_d2_q08_physics_s2,32,2,8,physics,2,294.8,wn-lot-055.nikhef.nl,2026-09-08 13:26:34
w32_d2_q10_data_s0,32,2,10,data,0,293.8,wn-lot-048.nikhef.nl,2026-09-08 13:26:33
w32_d2_q10_data_s1,32,2,10,data,1,293.5,wn-lot-048.nikhef.nl,2026-09-08 13:26:33
w32_d2_q10_data_s2,32,2,10,data,2,386.8,wn-lot-004.nikhef.nl,2026-09-08 13:28:06
w32_d2_q10_physics_s0,32,2,10,physics,0,295.8,wn-lot-053.nikhef.nl,2026-09-08 13:26:35
w32_d2_q10_physics_s1,32,2,10,physics,1,297.9,wn-lot-047.nikhef.nl,2026-09-08 13:26:35
w32_d2_q10_physics_s2,32,2,10,physics,2,375.6,wn-lot-004.nikhef.nl,2026-09-08 13:27:55
w32_d2_q12_data_s0,32,2,12,data,0,392.7,wn-lot-004.nikhef.nl,2026-09-08 13:28:12
w32_d2_q12_data_s1,32,2,12,data,1,306.9,wn-lot-064.nikhef.nl,2026-09-08 13:26:48
w32_d2_q12_data_s2,32,2,12,data,2,302.2,wn-lot-047.nikhef.nl,2026-09-08 13:26:39
w32_d2_q12_physics_s0,32,2,12,physics,0,302.8,wn-lot-047.nikhef.nl,2026-09-08 13:26:39
w32_d2_q12_physics_s1,32,2,12,physics,1,303.9,wn-lot-053.nikhef.nl,2026-09-08 13:26:43
w32_d2_q12_physics_s2,32,2,12,physics,2,300.4,wn-lot-048.nikhef.nl,2026-09-08 13:26:39
w32_d2_q14_data_s0,32,2,14,data,0,297.3,wn-lot-048.nikhef.nl,2026-09-08 13:26:36
w32_d2_q14_data_s1,32,2,14,data,1,306.1,wn-lot-055.nikhef.nl,2026-09-08 13:26:45
w32_d2_q14_data_s2,32,2,14,data,2,291.4,wn-lot-050.nikhef.nl,2026-09-08 13:26:27
w32_d2_q14_physics_s0,32,2,14,physics,0,298.9,wn-lot-044.nikhef.nl,2026-09-08 13:26:37
w32_d2_q14_physics_s1,32,2,14,physics,1,298.5,wn-lot-053.nikhef.nl,2026-09-08 13:26:37
w32_d2_q14_physics_s2,32,2,14,physics,2,300.3,wn-lot-046.nikhef.nl,2026-09-08 13:26:40
w32_d2_q16_data_s0,32,2,16,data,0,307.2,wn-lot-044.nikhef.nl,2026-09-08 13:26:46
w32_d2_q16_data_s1,32,2,16,data,1,304.1,wn-lot-053.nikhef.nl,2026-09-08 13:26:43
w32_d2_q16_data_s2,32,2,16,data,2,303,wn-lot-046.nikhef.nl,2026-09-08 13:26:42
w32_d2_q16_physics_s0,32,2,16,physics,0,418.1,wn-lot-004.nikhef.nl,2026-09-08 13:28:37
w32_d2_q16_physics_s1,32,2,16,physics,1,315.3,wn-lot-064.nikhef.nl,2026-09-08 13:26:56
w32_d2_q16_physics_s2,32,2,16,physics,2,308.9,wn-lot-047.nikhef.nl,2026-09-08 13:26:46
w32_d2_q18_data_s0,32,2,18,data,0,297,wn-lot-050.nikhef.nl,2026-09-08 13:26:33
w32_d2_q18_data_s1,32,2,18,data,1,303.3,wn-lot-045.nikhef.nl,2026-09-08 13:26:44
w32_d2_q18_data_s2,32,2,18,data,2,382.1,wn-lot-003.nikhef.nl,2026-09-08 13:28:05
w32_d2_q18_physics_s0,32,2,18,physics,0,298.4,wn-lot-048.nikhef.nl,2026-09-08 13:26:37
w32_d2_q18_physics_s1,32,2,18,physics,1,304.4,wn-lot-055.nikhef.nl,2026-09-08 13:26:44
w32_d2_q18_physics_s2,32,2,18,physics,2,301.8,wn-lot-059.nikhef.nl,2026-09-08 13:26:43
w32_d2_q20_data_s0,32,2,20,data,0,307,wn-lot-064.nikhef.nl,2026-09-08 13:26:48
w32_d2_q20_data_s1,32,2,20,data,1,317.7,wn-lot-047.nikhef.nl,2026-09-08 13:26:54
w32_d2_q20_data_s2,32,2,20,data,2,303.9,wn-lot-044.nikhef.nl,2026-09-08 13:26:42
w32_d2_q20_physics_s0,32,2,20,physics,0,306.1,wn-knek-005.nikhef.nl,2026-09-08 13:26:44
w32_d2_q20_physics_s1,32,2,20,physics,1,306.5,wn-knek-007.nikhef.nl,2026-09-08 13:26:45
w32_d2_q20_physics_s2,32,2,20,physics,2,319.4,wn-lot-037.nikhef.nl,2026-09-08 13:27:02
w32_d4_q02_data_s0,32,4,2,data,0,315.9,wn-lot-046.nikhef.nl,2026-09-08 13:26:55
w32_d4_q02_data_s1,32,4,2,data,1,318,wn-lot-048.nikhef.nl,2026-09-08 13:26:57
w32_d4_q02_data_s2,32,4,2,data,2,312,wn-lot-055.nikhef.nl,2026-09-08 13:26:51
w32_d4_q02_physics_s0,32,4,2,physics,0,310.1,wn-knek-015.nikhef.nl,2026-09-08 13:26:47
w32_d4_q02_physics_s1,32,4,2,physics,1,308.7,wn-knek-017.nikhef.nl,2026-09-08 13:26:50
w32_d4_q02_physics_s2,32,4,2,physics,2,317.8,wn-lot-053.nikhef.nl,2026-09-08 13:26:57
w32_d4_q04_data_s0,32,4,4,data,0,319.8,wn-lot-045.nikhef.nl,2026-09-08 13:27:01
w32_d4_q04_data_s1,32,4,4,data,1,311,wn-knek-014.nikhef.nl,2026-09-08 13:26:50
w32_d4_q04_data_s2,32,4,4,data,2,238.5,wn-lot-009.nikhef.nl,2026-09-08 13:25:41
w32_d4_q04_physics_s0,32,4,4,physics,0,320.5,wn-lot-059.nikhef.nl,2026-09-08 13:27:01
w32_d4_q04_physics_s1,32,4,4,physics,1,319.5,wn-lot-049.nikhef.nl,2026-09-08 13:27:00
w32_d4_q04_physics_s2,32,4,4,physics,2,316,wn-lot-050.nikhef.nl,2026-09-08 13:26:52
w32_d4_q06_data_s0,32,4,6,data,0,313.1,wn-knek-015.nikhef.nl,2026-09-08 13:27:28
w32_d4_q06_data_s1,32,4,6,data,1,337.5,wn-lot-037.nikhef.nl,2026-09-08 13:27:53
w32_d4_q06_data_s2,32,4,6,data,2,294.3,wn-lot-061.nikhef.nl,2026-09-08 13:27:09
w32_d4_q06_physics_s0,32,4,6,physics,0,312,wn-knek-014.nikhef.nl,2026-09-08 13:27:27
w32_d4_q06_physics_s1,32,4,6,physics,1,315.2,wn-lot-050.nikhef.nl,2026-09-08 13:27:30
w32_d4_q06_physics_s2,32,4,6,physics,2,317.4,wn-lot-053.nikhef.nl,2026-09-08 13:27:33
w32_d4_q08_data_s0,32,4,8,data,0,330,wn-lot-064.nikhef.nl,2026-09-08 13:27:42
w32_d4_q08_data_s1,32,4,8,data,1,321.4,wn-knek-008.nikhef.nl,2026-09-08 13:27:37
w32_d4_q08_data_s2,32,4,8,data,2,318,wn-knek-007.nikhef.nl,2026-09-08 13:27:32
w32_d4_q08_physics_s0,32,4,8,physics,0,321.4,wn-lot-049.nikhef.nl,2026-09-08 13:27:34
w32_d4_q08_physics_s1,32,4,8,physics,1,327.8,wn-lot-048.nikhef.nl,2026-09-08 13:27:41
w32_d4_q08_physics_s2,32,4,8,physics,2,324.2,wn-lot-046.nikhef.nl,2026-09-08 13:27:37
w32_d4_q10_data_s0,32,4,10,data,0,321.5,wn-knek-017.nikhef.nl,2026-09-08 13:27:34
w32_d4_q10_data_s1,32,4,10,data,1,328.5,wn-lot-047.nikhef.nl,2026-09-08 13:27:40
w32_d4_q10_data_s2,32,4,10,data,2,443.5,wn-lot-004.nikhef.nl,2026-09-08 13:29:36
w32_d4_q10_physics_s0,32,4,10,physics,0,328,wn-lot-051.nikhef.nl,2026-09-08 13:27:44
w32_d4_q10_physics_s1,32,4,10,physics,1,326.4,wn-lot-055.nikhef.nl,2026-09-08 13:27:37
w32_d4_q10_physics_s2,32,4,10,physics,2,320.2,wn-knek-013.nikhef.nl,2026-09-08 13:27:33
w32_d4_q12_data_s0,32,4,12,data,0,324.5,wn-lot-059.nikhef.nl,2026-09-08 13:27:34
w32_d4_q12_data_s1,32,4,12,data,1,326.2,wn-lot-044.nikhef.nl,2026-09-08 13:27:37
w32_d4_q12_data_s2,32,4,12,data,2,261.8,wn-lot-005.nikhef.nl,2026-09-08 13:26:39
w32_d4_q12_physics_s0,32,4,12,physics,0,330.8,wn-lot-045.nikhef.nl,2026-09-08 13:27:41
w32_d4_q12_physics_s1,32,4,12,physics,1,319.7,wn-lot-038.nikhef.nl,2026-09-08 13:27:29
w32_d4_q12_physics_s2,32,4,12,physics,2,328.7,wn-lot-057.nikhef.nl,2026-09-08 13:27:44
w32_d4_q14_data_s0,32,4,14,data,0,326.9,wn-lot-057.nikhef.nl,2026-09-08 13:27:43
w32_d4_q14_data_s1,32,4,14,data,1,330.7,wn-lot-038.nikhef.nl,2026-09-08 13:27:40
w32_d4_q14_data_s2,32,4,14,data,2,328.3,wn-lot-045.nikhef.nl,2026-09-08 13:27:38
w32_d4_q14_physics_s0,32,4,14,physics,0,332.6,wn-lot-044.nikhef.nl,2026-09-08 13:27:43
w32_d4_q14_physics_s1,32,4,14,physics,1,329.8,wn-lot-044.nikhef.nl,2026-09-08 13:27:40
w32_d4_q14_physics_s2,32,4,14,physics,2,327.4,wn-lot-059.nikhef.nl,2026-09-08 13:27:37
w32_d4_q16_data_s0,32,4,16,data,0,327.2,wn-knek-017.nikhef.nl,2026-09-08 13:27:40
w32_d4_q16_data_s1,32,4,16,data,1,326.3,wn-knek-013.nikhef.nl,2026-09-08 13:27:39
w32_d4_q16_data_s2,32,4,16,data,2,332.1,wn-lot-055.nikhef.nl,2026-09-08 13:27:43
w32_d4_q16_physics_s0,32,4,16,physics,0,423.8,wn-lot-004.nikhef.nl,2026-09-08 13:29:16
w32_d4_q16_physics_s1,32,4,16,physics,1,330.7,wn-lot-047.nikhef.nl,2026-09-08 13:27:42
w32_d4_q16_physics_s2,32,4,16,physics,2,339.3,wn-lot-044.nikhef.nl,2026-09-08 13:27:50
w32_d4_q18_data_s0,32,4,18,data,0,326.1,wn-lot-045.nikhef.nl,2026-09-08 13:27:36
w32_d4_q18_data_s1,32,4,18,data,1,329.5,wn-lot-051.nikhef.nl,2026-09-08 13:27:46
w32_d4_q18_data_s2,32,4,18,data,2,333.2,wn-knek-007.nikhef.nl,2026-09-08 13:27:47
w32_d4_q18_physics_s0,32,4,18,physics,0,334.7,wn-lot-059.nikhef.nl,2026-09-08 13:27:44
w32_d4_q18_physics_s1,32,4,18,physics,1,330.3,wn-lot-057.nikhef.nl,2026-09-08 13:27:46
w32_d4_q18_physics_s2,32,4,18,physics,2,342.6,wn-lot-038.nikhef.nl,2026-09-08 13:27:52
w32_d4_q20_data_s0,32,4,20,data,0,339.3,wn-lot-044.nikhef.nl,2026-09-08 13:27:50
w32_d4_q20_data_s1,32,4,20,data,1,340.3,wn-knek-017.nikhef.nl,2026-09-08 13:27:53
w32_d4_q20_data_s2,32,4,20,data,2,328.8,wn-knek-013.nikhef.nl,2026-09-08 13:27:42
w32_d4_q20_physics_s0,32,4,20,physics,0,333.2,wn-knek-008.nikhef.nl,2026-09-08 13:27:49
w32_d4_q20_physics_s1,32,4,20,physics,1,336.1,wn-lot-064.nikhef.nl,2026-09-08 13:27:48
