tag,width,depth,q,mode,seed,wall_s,host,created
w128_d2_q18_data_s0,128,2,18,data,0,455.5,wn-lot-055.nikhef.nl,2026-09-08 13:34:30
w128_d2_q18_data_s1,128,2,18,data,1,428.3,wn-lot-050.nikhef.nl,2026-09-08 13:34:03
w128_d2_q18_data_s2,128,2,18,data,2,450.2,wn-lot-047.nikhef.nl,2026-09-08 13:34:28
w128_d2_q18_physics_s0,128,2,18,physics,0,475.7,wn-lot-064.nikhef.nl,2026-09-08 13:34:47
w128_d2_q18_physics_s1,128,2,18,physics,1,425.3,wn-knek-017.nikhef.nl,2026-09-08 13:33:58
w128_d2_q18_physics_s2,128,2,18,physics,2,415.9,wn-knek-014.nikhef.nl,2026-09-08 13:33:50
w128_d2_q20_data_s0,128,2,20,data,0,442,wn-lot-048.nikhef.nl,2026-09-08 13:34:22
w128_d2_q20_data_s1,128,2,20,data,1,510.2,wn-sate-063.nikhef.nl,2026-09-08 13:35:36
w128_d2_q20_data_s2,128,2,20,data,2,312.7,wn-lot-009.nikhef.nl,2026-09-08 13:32:18
w128_d2_q20_physics_s0,128,2,20,physics,0,449.8,wn-lot-046.nikhef.nl,2026-09-08 13:34:28
w128_d2_q20_physics_s1,128,2,20,physics,1,461.4,wn-lot-064.nikhef.nl,2026-09-08 13:34:41
w128_d2_q20_physics_s2,128,2,20,physics,2,453.8,wn-lot-053.nikhef.nl,2026-09-08 13:34:34
w128_d4_q02_data_s0,128,4,2,data,0,587.1,wn-lot-048.nikhef.nl,2026-09-08 13:36:48
w128_d4_q02_data_s1,128,4,2,data,1,572.9,wn-knek-013.nikhef.nl,2026-09-08 13:36:37
w128_d4_q02_data_s2,128,4,2,data,2,566.4,wn-knek-017.nikhef.nl,2026-09-08 13:36:30
w128_d4_q02_physics_s0,128,4,2,physics,0,671.8,wn-sate-057.nikhef.nl,2026-09-08 13:38:18
w128_d4_q02_physics_s1,128,4,2,physics,1,562,wn-knek-014.nikhef.nl,2026-09-08 13:36:26
w128_d4_q02_physics_s2,128,4,2,physics,2,570.5,wn-lot-050.nikhef.nl,2026-09-08 13:36:31
w128_d4_q04_data_s0,128,4,4,data,0,595.6,wn-lot-059.nikhef.nl,2026-09-08 13:36:57
w128_d4_q04_data_s1,128,4,4,data,1,616.7,wn-lot-055.nikhef.nl,2026-09-08 13:37:18
w128_d4_q04_data_s2,128,4,4,data,2,602.9,wn-lot-046.nikhef.nl,2026-09-08 13:37:05
w128_d4_q04_physics_s0,128,4,4,physics,0,567.4,wn-knek-010.nikhef.nl,2026-09-08 13:36:32
w128_d4_q04_physics_s1,128,4,4,physics,1,674.6,wn-lot-003.nikhef.nl,2026-09-08 13:38:20
w128_d4_q04_physics_s2,128,4,4,physics,2,609.3,wn-lot-049.nikhef.nl,2026-09-08 13:37:13
w128_d4_q06_data_s0,128,4,6,data,0,712.8,wn-lot-004.nikhef.nl,2026-09-08 13:38:57
w128_d4_q06_data_s1,128,4,6,data,1,605.8,wn-lot-045.nikhef.nl,2026-09-08 13:37:07
w128_d4_q06_data_s2,128,4,6,data,2,610.9,wn-lot-038.nikhef.nl,2026-09-08 13:37:14
w128_d4_q06_physics_s0,128,4,6,physics,0,596.7,wn-lot-053.nikhef.nl,2026-09-08 13:36:58
w128_d4_q06_physics_s1,128,4,6,physics,1,592.8,wn-lot-044.nikhef.nl,2026-09-08 13:36:54
w128_d4_q06_physics_s2,128,4,6,physics,2,619.1,wn-lot-064.nikhef.nl,2026-09-08 13:37:21
w128_d4_q08_data_s0,128,4,8,data,0,614.4,wn-lot-057.nikhef.nl,2026-09-08 13:37:18
w128_d4_q08_data_s1,128,4,8,data,1,609.2,wn-lot-057.nikhef.nl,2026-09-08 13:37:12
w128_d4_q08_data_s2,128,4,8,data,2,617.7,wn-lot-057.nikhef.nl,2026-09-08 13:37:21
w128_d4_q08_physics_s0,128,4,8,physics,0,614.8,wn-lot-057.nikhef.nl,2026-09-08 13:37:18
w128_d4_q08_physics_s1,128,4,8,physics,1,621.2,wn-lot-057.nikhef.nl,2026-09-08 13:37:24
w128_d4_q08_physics_s2,128,4,8,physics,2,623.9,wn-lot-057.nikhef.nl,2026-09-08 13:37:27
w128_d4_q10_data_s0,128,4,10,data,0,614.2,wn-lot-038.nikhef.nl,2026-09-08 13:37:17
w128_d4_q10_data_s1,128,4,10,data,1,613.8,wn-lot-045.nikhef.nl,2026-09-08 13:37:15
w128_d4_q10_data_s2,128,4,10,data,2,723.6,wn-lot-004.nikhef.nl,2026-09-08 13:39:08
w128_d4_q10_physics_s0,128,4,10,physics,0,628.6,wn-lot-038.nikhef.nl,2026-09-08 13:37:31
w128_d4_q10_physics_s1,128,4,10,physics,1,608.7,wn-lot-045.nikhef.nl,2026-09-08 13:37:10
w128_d4_q10_physics_s2,128,4,10,physics,2,639.8,wn-lot-057.nikhef.nl,2026-09-08 13:37:43
w128_d4_q12_data_s0,128,4,12,data,0,621.8,wn-lot-064.nikhef.nl,2026-09-08 13:37:23
w128_d4_q12_data_s1,128,4,12,data,1,601.3,wn-lot-044.nikhef.nl,2026-09-08 13:37:03
w128_d4_q12_data_s2,128,4,12,data,2,612.8,wn-lot-053.nikhef.nl,2026-09-08 13:37:14
w128_d4_q12_physics_s0,128,4,12,physics,0,629.9,wn-lot-057.nikhef.nl,2026-09-08 13:37:33
w128_d4_q12_physics_s1,128,4,12,physics,1,626.9,wn-lot-038.nikhef.nl,2026-09-08 13:37:30
w128_d4_q12_physics_s2,128,4,12,physics,2,613.8,wn-lot-045.nikhef.nl,2026-09-08 13:37:15
w128_d4_q14_data_s0,128,4,14,data,0,631.9,wn-lot-057.nikhef.nl,2026-09-08 13:37:35
